"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"D64MWEA6","journalArticle","2023","Saccomanno, Sabina; Saran, Stefano; Coceani Paskay, Licia; De Luca, Martina; Tricerri, Augusto; Mafucci Orlandini, Samuele; Greco, Francesca; Messina, Giuseppe","Risk factors and prevention of choking.","European journal of translational myology","","2037-7452 2037-7460","10.4081/ejtm.2023.11471","","Choking (or foreign body airway obstruction) is a widespread phenomenon with serious consequences of morbidity and mortality. Choking (often also called  suffocation) can be caused by food or inedible objects and leads to various  degrees of asphyxiation or lack of oxygen in the blood stream. The incidence is  very high in both young children and adults, especially seniors. However, since  not all choking episodes end up in the emergency room or become fatalities, they  often escape statistics. Although episodes of choking from non-edible bodies are  infrequent, they affect mostly young children. Three of the most common risks for  choking in general are neurological disorders, dysphagia and dental issues (few  or no teeth, unstable or unsuitable prosthesis or orthodontic appliances).  The  purpose of this study was to evaluate the risk factors of choking and ways to  reduce/avoid this event. We reported data on a series of 138 patients admitted to  the emergency department following a choking event, at a hospital in Rome, Italy.  The age group of the analyzed population ranged from 1 to 88 years, with the most  represented age group of these between 40 and 59, with a similar distribution  between males and females. The types of foods on which people choked reflected  the seasonal, traditional and local foods: 67% of patients reported choking on  fish bones followed by meat bones (9%)  and artichokes (3%). Three relevant  non-food choking elements reported were: orthodontic items, toothpicks and pins  (one occurrence each). We also reported on two clinical cases of patients choking  on meat and a chicken bone. In conclusion, choking awareness and prevention are  essential for implementing potential life-saving precautions. Prevention is the  first tool to reduce the occurrence of this event, therefore it is necessary to  analyze the risk factors and educate the population to eliminate them. Proper  chewing and oral manipulation are paramount functions in preventing choking,  along with meal-time supervision if little children and elderly. Then, it  behooves the healthcare professionals to disseminate knowledge.","2023-10-27","2024-12-18 04:02:31","2024-12-18 04:02:31","","","","4","33","","Eur J Transl Myol","","","","","","","","eng","","","","","","","Place: Italy PMID: 37905785  PMCID: PMC10811631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXLR8WNU","journalArticle","2013","Fitzgerald, Kevin T.; Bronstein, Alvin C.","Polyurethane adhesive ingestion.","Topics in companion animal medicine","","1946-9837","10.1053/j.tcam.2013.03.007","","Polyurethane adhesives are found in a large number of household products in the United States and are used for a variety of purposes. Several brands of these  expanding wood glues (those containing diphenylmethane diisocyanate [MDI]) have  the potential to form gastrointestinal (GI) foreign bodies if ingested. The  ingested adhesive forms an expanding ball of glue in the esophagus and gastric  lumen. This expansion is caused by a polymerization reaction using the heat,  water, and gastric acids of the stomach. A firm mass is created that can be 4-8  times its original volume. As little as 2 oz of glue have been reported to  develop gastric foreign bodies. The obstructive mass is reported to form within  minutes of ingestion of the adhesive. The foreign body can lead to esophageal  impaction and obstruction, airway obstruction, gastric outflow obstruction,  mucosal hemorrhage, ulceration, laceration, perforation of the esophageal and  gastric linings, and death. Clinical signs following ingestion include anorexia,  lethargy, vomiting, tachypnea, and abdominal distention and pain, and typically  develop within 12 hours. Clinical signs may depend upon the size of the mass. If  left untreated, perforation and rupture of the esophagus or stomach can occur.  The glue mass does not stick to the GI mucosa and is not always detectable on  abdominal palpation. Radiographs are recommended to confirm the presence of the  ""glue-ball"" foreign body, and radiographic evidence of the obstruction may be  seen as early as 4-6 hours following ingestion. Emesis is contraindicated owing  to the risk of aspiration of the glue into the respiratory tree or the subsequent  lodging of the expanding glue mass in the esophagus. Likewise, efforts to dilute  the glue and prevent the formation of the foreign body through administration of  liquids, activated charcoal, or bulk-forming products to push the foreign body  through the GI tract have proven ineffective. Even endoscopy performed to remove  the foreign body has been shown to be unreliable. The safest, most effective, and  successful therapy is surgical intervention to remove the GI foreign body. If  performed early enough, complete recovery of the animal can be expected.  Differential diagnoses for polyurethane adhesive ingestion include any potential  cause of GI obstruction. The public is largely unaware of the hazards that  ingestion of this product may produce. Public education efforts are needed to  inform pet owners about the hazards of these glues and the overall importance of  providing our companion animals with safe, poison-free environments.","2013-02","2024-12-18 04:02:31","2024-12-18 04:02:31","","28-31","","1","28","","Top Companion Anim Med","","","","","","","","eng","Copyright © 2013. Published by Elsevier Inc.","","","","","","Place: United States PMID: 23796486","","","","Animals; Prognosis; *Pets; Adhesives/*poisoning; Dog Diseases/*chemically induced; Dogs; Foreign Bodies/metabolism/therapy/*veterinary; Polyurethanes/*poisoning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAFXKPKK","journalArticle","2023","Raju, Rajkiran S.; Raj, A. John Michael; Shubha, A. M.","Impacted esophageal foreign bodies in children.","Pediatric surgery international","","1437-9813 0179-0358","10.1007/s00383-022-05360-3","","PURPOSE: Foreign body (FB) ingestion in children has varied presentation. When unwitnessed, it poses therapeutic and diagnostic challenges especially in the  presence of pre-existing anatomical pathology. We aim to analyze the clinical  course, management, and outcome of children with impacted esophageal FBs.  METHODS: Retrospective chart review (Jan 2000-Feb 2018) recruiting children with  impacted esophageal FBs. FBs in cricopharynx and those that moved to stomach were  excluded. Investigations/management were based on underlying anatomical  pathology, duration of impaction, and difficult FBs. Clinical details,  management, and outcomes were collated. RESULTS: Of 86 children, N1 = 31 had  identifiable predisposing anatomic pathology and N2 = 55 had impactions in normal  esophagus or difficult FBs. N1 group presented early (42 months), had recurrent  impactions (1-6), and needed multiple dilatations (0-8) and longer follow-up (avg  35 months). Food matter was commonest impaction. Many had persistent symptoms. N2  group had commonly coin impactions and strictures developed in long standing or  corrosive FBs. Most were asymptomatic. CONCLUSION: Abnormal esophageal anatomy  predisposes to impaction with organic food bolus. Age of presentation is earlier  with recurrent impactions requiring multiple dilatations/surgery and longer  follow-up. Metallic FBs commonly impact in normal esophagus and are often  innocuous. Atypical/multiple FBs may mirror an underlying psychiatric illness.","2023-01-08","2024-12-18 04:02:31","2024-12-18 04:02:31","","73","","1","39","","Pediatr Surg Int","","","","","","","","eng","© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","","","","","","Place: Germany PMID: 36617341","","","","Humans; Retrospective Studies; Child; Stomach; Foreign body; *Esophagus/diagnostic imaging/surgery; *Foreign Bodies/diagnostic imaging/surgery; Dilatation; Esophageal; Impacted; Stricture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q66ZIUZP","journalArticle","2015","Tseng, Hsiang-Jer; Hanna, Tarek N.; Shuaib, Waqas; Aized, Majid; Khosa, Faisal; Linnau, Ken F.","Imaging Foreign Bodies: Ingested, Aspirated, and Inserted.","Annals of emergency medicine","","1097-6760 0196-0644","10.1016/j.annemergmed.2015.07.499","","Foreign bodies can gain entrance to the body through several mechanisms, ie, ingestion, aspiration, and purposeful insertion. For each of these common entry  mechanisms, this article examines the epidemiology, clinical presentation,  anatomic considerations, and key imaging characteristics associated with  clinically relevant foreign bodies seen in the emergency department (ED) setting.  We detail optimal use of multiple imaging techniques, including radiography,  ultrasonography, fluoroscopy, and computed tomography to evaluate foreign bodies  and their associated complications. Important imaging and clinical features of  foreign bodies that can alter clinical management or may necessitate emergency  intervention are discussed.","2015-12","2024-12-18 04:02:31","2024-12-18 04:02:31","","570-582.e5","","6","66","","Ann Emerg Med","","","","","","","","eng","Copyright © 2015 American College of Emergency Physicians. Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 26320521","","","","Humans; Emergency Service, Hospital; Ultrasonography; Tomography, X-Ray Computed; Fluoroscopy; Foreign Bodies/*diagnosis/diagnostic imaging/etiology; Gastrointestinal Tract/diagnostic imaging; Respiratory System/diagnostic imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQ226FMU","journalArticle","2017","Kurowski, Jacob A.; Kay, Marsha","Caustic Ingestions and Foreign Bodies Ingestions in Pediatric Patients.","Pediatric clinics of North America","","1557-8240 0031-3955","10.1016/j.pcl.2017.01.004","","Children inevitably swallow foreign material accidentally or intentionally. Each type of ingestion carries their own set of risks and complications, short and  long term, some requiring immediate attention while others close monitoring.  Alkalotic household cleaning products and lithium button batteries are  increasingly common and damage the esophagus quickly. While many toys with  rare-earth metals are banned, they are already present in many households and can  cause necrosis of bowel that is between the magnets. This article reviews the  incidence and assessment along with current literature to provide guidelines for  management of pediatric patients with suspected caustic or foreign body  ingestion.","2017-06","2024-12-18 04:02:31","2024-12-18 04:02:31","","507-524","","3","64","","Pediatr Clin North Am","","","","","","","","eng","Copyright © 2017 Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 28502435","","","","Humans; Child; Pediatric; Child, Preschool; Foreign body; Endoscopy; Button batteries; Esophagus/*injuries; Burns, Chemical/*diagnosis/therapy; Caustic ingestion; Caustics/*toxicity; Coins; Esophageal Diseases/diagnosis/*etiology/therapy; Foreign Bodies/*diagnosis/therapy; Magnets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GC5CIUKB","journalArticle","2019","Robertson, Alexander R.","Self-harm by Sharp Foreign Body Ingestion.","Suicide & life-threatening behavior","","1943-278X 0363-0234","10.1111/sltb.12474","","OBJECTIVE: Ingestion of sharp foreign bodies is a less frequently encountered method of selfharm. This study aims to follow up patients presenting with foreign  body (FB) ingestion requiring urgent endoscopic intervention under general  anaesthetic in theatre, characterise each patient and establish whether admission  or removal of the FB promotes further self-harm. METHOD: Eleven adult patients,  totalling 38 presentations over a 28-month period were identified. Each was  followed up from an initial presentation requiring endoscopy. RESULT: 9/11  (81.9%) where transferred either from prison or psychiatric care with an  extensive history of multimodal and usually violent self-harm. Of these 8/9  (88.9%) had a formal psychiatric diagnosis linked to their previous self-harm.  Objects retrieved included pens, razor blades, cutlery, wiring, batteries, a  metal screw and a TV aerial. The median time between presentations with self-harm  was 11 days. Those discharged from the emergency department re-presented after a  median of 7.5 days. This was longer, at 14 days, if admitted to hospital; with  those having endoscopic procedures re-presenting after a median of 11 days.  CONCLUSIONS: Inpatient endoscopic removal of the FB was not associated with an  earlier presentation with further self-harm when compared with discharge straight  form A+E, but was frequently repeated, often in a characterised manner.","2019-06","2024-12-18 04:02:31","2024-12-18 04:02:31","","735-738","","3","49","","Suicide Life Threat Behav","","","","","","","","eng","© 2018 The American Association of Suicidology.","","","","","","Place: England PMID: 29900648","","","","Humans; Adult; Female; Male; Emergency Service, Hospital; Prisons; Prisoners/*psychology; *Self-Injurious Behavior; *Foreign Bodies; Mental Disorders/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXGER7MW","journalArticle","2017","Eliason, Michael J.; Ricca, Robert L.; Gallagher, Thomas Q.","Button battery ingestion in children.","Current opinion in otolaryngology & head and neck surgery","","1531-6998 1068-9508","10.1097/MOO.0000000000000410","","PURPOSE OF REVIEW: As the demand for small electronics continues to grow so does the risk of oesophageal ingestion of button batteries. These small but powerful  sources of energy are ubiquitous in every household and when swallowed,  especially in small children, have been shown to create significant injury in a  short amount of time leading to long-term morbidity and possible death. This  review highlights the latest findings regarding epidemiology, pathophysiology,  diagnosis and management of ingested button batteries. RECENT FINDINGS: Updated  epidemiology from the National Capital Poison Center, new bench research looking  at injury patterns and possible mitigation strategies, updated ideas on  management algorithms including the use of a trauma protocol, close-look second  endoscopy and management of button batteries in the lower gastrointestinal tract  are reviewed in this paper. SUMMARY: Despite advances in the understanding of  injury mechanics and innovations leading to early diagnosis and improved  management of button battery ingestion, parental and provider education remain  the most important tools to keep children well tolerated from the sequelae of  these potentially fatal events. Collaboration between healthcare experts, public  health and industry is essential to find a safe answer to this ongoing threat.","2017-12","2024-12-18 04:02:31","2024-12-18 04:02:31","","520-526","","6","25","","Curr Opin Otolaryngol Head Neck Surg","","","","","","","","eng","","","","","","","Place: United States PMID: 28858893","","","","Humans; Female; Male; Treatment Outcome; Prognosis; Child, Preschool; Infant; Incidence; *Esophagus; Eating; Risk Assessment; Device Removal/*methods; Electric Power Supplies/*adverse effects; Foreign Bodies/diagnosis/epidemiology/*surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7HWEBM8","journalArticle","2014","Guelfguat, Mark; Kaplinskiy, Vladimir; Reddy, Srinivas H.; DiPoce, Jason","Clinical guidelines for imaging and reporting ingested foreign bodies.","AJR. American journal of roentgenology","","1546-3141 0361-803X","10.2214/AJR.13.12185","","OBJECTIVE: The purpose of this article is to familiarize radiologists with the specific characteristics of foreign bodies, obtained from image interpretation,  to guide further management. Details of object morphologic characteristics and  location in the body gained through imaging form the backbone of the  classification used in the treatment of ingested foreign bodies. CONCLUSION: The  characteristics of foreign bodies and predisposing bowel abnormalities affect the  decision to follow ingested objects radiographically, perform additional imaging,  or proceed with endoscopic or surgical removal.","2014-07","2024-12-18 04:02:31","2024-12-18 04:02:31","","37-53","","1","203","","AJR Am J Roentgenol","","","","","","","","eng","","","","","","","Place: United States PMID: 24951194","","","","Humans; Diagnosis, Differential; gastrointestinal tract; foreign bodies; ingestion; *Deglutition; Foreign Bodies/*diagnosis/therapy; *Diagnostic Imaging; Contrast Media; Gastrointestinal Diseases/*diagnosis/therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIXDNDF4","journalArticle","2006","Waltzman, Mark L.","Management of esophageal coins.","Current opinion in pediatrics","","1040-8703","10.1097/01.mop.0000245361.91077.b5","","PURPOSE OF REVIEW: Coins are the most commonly ingested foreign body encountered in the pediatric population. Coins that are in the esophagus and are causing  symptoms (cough, stridor, respiratory distress, drooling or pain) are managed  with immediate removal via various methods. Asymptomatic coins have been a  perplexing problem to the clinician for decades, with some advocating for  immediate removal while others are proponents of ""watchful waiting"". RECENT  FINDINGS: This article will provide a review of the current literature on  management options for symptomatic and asymptomatic esophageal coins. The article  will discuss clinical decision-making strategies for the diagnosis of the  unwitnessed ingestion, as well as diagnostic studies, such as plain radiographs,  as well as novel modalities, such as metal detectors. Discussion of the anatomic  issues related to esophageal foreign bodies will be addressed. Treatment options  for asymptomatic patients will be reviewed utilizing data from retrospective  studies as well as a prospective randomized trial. SUMMARY: In the symptomatic  patient with an esophageal coin, immediate removal via endoscopy is recommended.  For the asymptomatic patient with an esophageal coin, current data support  expectant management for a period of 12-24 h with the hope of spontaneous passage  and avoidance of general anesthesia and surgical procedure.","2006-10","2024-12-18 04:02:31","2024-12-18 04:02:31","","571-574","","5","18","","Curr Opin Pediatr","","","","","","","","eng","","","","","","","Place: United States PMID: 16969175","","","","Humans; Child; *Esophagus; Foreign Bodies/*diagnosis/*therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHL79MC7","journalArticle","2022","Jackson, Richard; Chabrillac, Emilien; Bell, Alexandra; Edafe, Ovie","Rigid versus flexible endoscopy for managing ingested foreign bodies-can we improve pathways?","European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the  German Society for Oto-Rhino-Laryngology - Head and Neck Surgery","","1434-4726 0937-4477","10.1007/s00405-022-07285-y","","PURPOSE: This study aims to evaluate management pathways, outcomes and safety of rigid endoscopy (RE) and flexible endoscopy (FE) for the treatment of impacted  foreign bodies of the upper gastrointestinal tract (UGIT) in adults. METHODS:  Retrospective study, included all patients undergoing RE or FE for impacted UGIT  foreign body over an 11-year-period. RESULTS: A total of 144 patients were  included (95 FE and 49 RE). FE were performed under local anaesthetic or  sedation, and RE under GA. Success rate of FE and RE were 95.8% and 95.9%  respectively. During FE an intra-procedural biopsy was performed in 45/95  (47.3%); with 26/95(27.4%) identifying mucosal pathology. Complications was  significantly higher in patients having RE (40.8% versus 6.3%, p = .001).  CONCLUSION: FE and RE are effective for the therapeutic management of impacted  UGIT foreign bodies. However, FE can be performed under LA and was associated  with fewer complications, favouring FE where possible as a first line option.","2022-05","2024-12-18 04:02:31","2024-12-18 04:02:31","","2695-2700","","5","279","","Eur Arch Otorhinolaryngol","","","","","","","","eng","© 2022. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","","","","","","Place: Germany PMID: 35122508","","","","Humans; Adult; Retrospective Studies; Anesthesia, Local; Foreign body; Endoscopy; Endoscopy, Gastrointestinal; Oesophagus; *Foreign Bodies/diagnostic imaging/surgery; *Esophagus/surgery; Flexible endoscopy; Food bolus; Rigid endoscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
