Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1886,"RICHARDSON, M.",MH RICHARDSON,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",The Boston Medical and Surgical Journal,"A Case of Gastrotomy. Digital Exploration of Œsophagus, and Removal of Plate of Teeth; Recovery: Remarks upon the Operation, and Observations upon the …","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at …",https://www.nejm.org/doi/pdf/10.1056/NEJM188612161152403,Google Scholar,,,
1895,"MORRISON, W.",WA MORRISON,"WA MORRISON - The Boston Medical and Surgical Journal, 1895 - Mass Medical Soc",The Boston Medical and Surgical Journal,"The value of the stomach-tube in feeding after intubation, based upon twenty-eight cases; also its use in post-diphtheritic paralysis","By this method I fed the child with the tube for four weeks, giving six ounces of cream, two ounces of brandy, three drops, three times a day, of tincture of uux vómica, and a digestive …",https://www.nejm.org/doi/pdf/10.1056/NEJM189502071320604,Google Scholar,,,
1907,"Killian, G.",G Killian,"G Killian - Annals of Otology, Rhinology & Laryngology, 1907 - journals.sagepub.com",Annals of Otology,XX. The Treatment of Foreign Bodies in the Respiratory Tract and Esophagus: An Address Delivered before the American Laryngological. Rhinological and Otological …,"The invitation of your President to deliver an address on the treatment of foreign bodies in the air-passages and esophagus is accepted with great pleasure, inasmuch as it relates to a …",https://journals.sagepub.com/doi/abs/10.1177/000348940701600201,Google Scholar,,,
1917,"BENEDETTO, M.",M DI BENEDETTO,"M DI BENEDETTO - REHABILITATION OF THE INJURED …, 1917 - upload.wikimedia.org",REHABILITATION OF THE INJURED …,CRANIAL NEUROPATHIES: ELECTRO-DIAGNOSIS AND MANAGEMENT,"CONCLUSION * Colonel Medical Corps, US Army (Ret); formerly, Assistant to the Deputy Commanding General, US Army Training Command, Fort Monroe, Virginia; currently, Professor…",https://upload.wikimedia.org/wikipedia/commons/8/8d/Rehabilitation_Of_The_Injured_Combatant_Volume_1_%28IA_RehabilitationOfTheInjuredCombatantVolume1%29.pdf#page=287,Google Scholar,,,
1917,"Ritter, T.",TJ Ritter,"TJ Ritter - Nursing, 1917 - uk.i-scream.org",Nursing,Mother's Remedies,╨╧*αí▒*ß>*■ *¡zV*|V*╠U*═U╬U╧U╨U╤U╥U╙U╘U╒U╓U╫U╪U┘U┌U█U▄U▌U▐U▀UαUßUΓUπUΣUσUµUτUΦUΘUΩUδU∞UφUεU∩U≡U±U≥U≤U⌠U⌡U÷U≈UU∙U·…,ftp://ftp.uk.i-scream.org/sites/gutenberg.org/1/7/4/3/17439/17439-doc.doc,Google Scholar,,,
1919,"Walsh, J.",JJ Walsh,"JJ Walsh - Annals of Medical History, 1919 - ncbi.nlm.nih.gov",Annals of Medical History,Two Chapters in the History of Laryngology and Rhinology,HE writings and addresses of Dr. D. Bryson Delavan have been especially important in calling at tention to the fact that the spe cial chapter in the history of medicine of which physicians …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7944726/,Google Scholar,,,
1925,"Richards, L.",L Richards,"L Richards - The Boston Medical and Surgical Journal, 1925 - Mass Medical Soc",The Boston Medical and Surgical Journal,A Year of Endoscopy,has of lateyears become increasingly serviceable inthe examination of the upper respiratory and alimentary tracts. With the progress in efficiency of the instruments and the technical …,https://www.nejm.org/doi/pdf/10.1056/NEJM192510221931702,Google Scholar,,,
1945,"Samuel, D.","DB McGrigor, E Samuel","DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",The British Journal of Radiology,War wounds of the chest,"That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars. …",https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,Google Scholar,,,
1974,"Rosenow, E.",EC Rosenow,"EC Rosenow - The esophagus. Philadelphia: Lea & Febiger, 1974",The esophagus. Philadelphia: Lea & Febiger,Foreign bodies of the esophagus,,,Google Scholar,,,
1975,"Samson, R.","RJ Jones, PC Samson","RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",The Annals of Thoracic Surgery,Esophageal injury,The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover …,https://www.sciencedirect.com/science/article/pii/S0003497510640076,Google Scholar,,,
1976,"Kottmeier, P.",PK Kottmeier,"PK Kottmeier - Current problems in pediatrics, 1976 - Elsevier",Current problems in pediatrics,What the pediatrician should know about pediatric trauma,"To study incidence and cause-and-effect relationship in pediatric trauma, we reviewed all accidental deaths which occurred in children under the age of 13 years from 1968 to 1972 in …",https://www.sciencedirect.com/science/article/pii/S0045938076800047,Google Scholar,,,
1977,"Chasin, W.",WD Chasin,"WD Chasin - Hospital Practice, 1977 - Taylor & Francis",Hospital Practice,Pediatric otolaryngologic crises,"In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of …",https://www.tandfonline.com/doi/abs/10.1080/21548331.1977.11707097,Google Scholar,,,
1979,"Kruter, J.",JS Kruter,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Issues in Comprehensive Pediatric Nursing,A comprehensive nursing approach to pediatric facial injuries,"E. Sunburn It is important to remember that often these categories overlap. For example, an injury resulting from a purposeful push is an intended injury. A flame burn to a child who was …",https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,Google Scholar,,,
1982,"Putman, G.","GE Newman, EL Effman, CE Putman","GE Newman, EL Effman, CE Putman - Current Problems in Diagnostic …, 1982 - Elsevier",Current Problems in Diagnostic …,Pulmonary aspiration complexes in adults,The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever…,https://www.sciencedirect.com/science/article/pii/0363018882900287,Google Scholar,,,
1983,"Teplick, L.","LR Goodman, SK Teplick","LR Goodman, SK Teplick - Radiologic Clinics of North America, 1983 - Elsevier",Radiologic Clinics of North America,Computed tomography in acute cardiopulmonary disease,"With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging …",https://www.sciencedirect.com/science/article/pii/S003383892201123X,Google Scholar,,,
1984,"Weher, A.",AL Weher,"AL Weher - Otolaryngologic Clinics of North America, 1984 - Elsevier",Otolaryngologic Clinics of North America,Radiology of the larynx,Diseases of the larynx cover a wide spectrum of different entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations …,https://www.sciencedirect.com/science/article/pii/S0030666520319897,Google Scholar,,,
1986,"Wagner, P.","PJ Mariani, DK Wagner","PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",The Journal of emergency medicine,Foley catheter extraction of blunt esophageal foreign bodies,The case is reported of a successful Foley catheter extraction of two superimposed coins from the esophagus of an 8-year-old girl. The presence of the second coin was suspected only …,https://www.sciencedirect.com/science/article/pii/0736467986900065,Google Scholar,,,
1986,"Johnston, J.",JFW Johnston,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Journal of Psychoactive Drugs,The narcotics we indulge in. Part II,"In a previous number we treated of tobacco and the hop, the two narcotics of the most general and acknowledged use among our British population. But there are many others in …",https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,Google Scholar,,,
1986,"Wetli, R.","R Beerman, D Nunez, CV Wetli","R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Gastrointestinal radiology,Radiographic evaluation of the cocaine smuggler,A retrospective analysis of the plain abdominal films of 53 “ body packer ” drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and …,https://link.springer.com/article/10.1007/BF02035108,Google Scholar,,,
1988,"Strife, J.",JL Strife,"JL Strife - Radiologic Clinics of North America, 1988 - Elsevier",Radiologic Clinics of North America,Upper airway and tracheal obstruction in infants and children,"The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and …",https://www.sciencedirect.com/science/article/pii/S0033838922009873,Google Scholar,,,
1988,"Kozarek, R.",RA Kozarek,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",The Esophagus. Philadelphia: WB Saunders,Esophageal foreign bodies and food impaction,,,Google Scholar,,,
1989,"Bolte, J.","JE Schunk, H Corneli, R Bolte","JE Schunk, H Corneli, R Bolte - American Journal of Diseases of …, 1989 - jamanetwork.com",American Journal of Diseases of …,Pediatric coin ingestions: a prospective study of coin location and symptoms,• Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of …,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514589,Google Scholar,,,
1989,"Garlick, D.","D Dayan, A Buchner, J Garlick","D Dayan, A Buchner, J Garlick - Journal of endodontics, 1989 - jendodon.com",Journal of endodontics,Touton-like giant cells in periapical granulomas,"Two types of multinucleated giant cells were observed in periapical granulomas—th foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, …",https://www.jendodon.com/article/S0099-2399(89)80237-7/abstract,Google Scholar,,,
1989,"Cristol, M.","MK Mountford, RE Cristol","MK Mountford, RE Cristol - Food, Drug, Cosmetic Law Journal, 1989 - JSTOR",Food,The enteral formula market in the United States,The role of nutrition in the maintenance of optimal health has recognized for centuries. An understanding of the unique nutritiona quirements for certain medical conditions and diseases…,https://www.jstor.org/stable/26659397,Google Scholar,,,
1992,"Clarkston, W.",WK Clarkston,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Postgraduate medicine,"Gastrointestinal foreign bodies: When to remove them, when to watch and wait","Preview Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest …",https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,Google Scholar,,,
1993,"Tomoo…, T.","T Ken, Y Sunichi, U Toshiro, T Tomoo…","T Ken, Y Sunichi, U Toshiro, T Tomoo… - Chinese Medical …, 1993 - mednexus.org",Chinese Medical …,Endoscopic removal of foreign bodies in the mentally and physically handicapped,"Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of …",https://mednexus.org/doi/abs/10.5555/cmj.0366-6999.106.10.p788.01,Google Scholar,,,
1993,"Towbin, R.","RD Kaye, RG Grifka, R Towbin","RD Kaye, RG Grifka, R Towbin - Radiologic Clinics of North America, 1993 - Elsevier",Radiologic Clinics of North America,Intervention in the thorax in children,"The techniques and tools of interventional radiology have had a significant effect on the management of adult patients. The 1970s and 1980s have been a period of active development, …",https://www.sciencedirect.com/science/article/pii/S0033838922026148,Google Scholar,,,
1994,"Lan, R.",RS Lan,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",European Respiratory Journal,Non-asphyxiating tracheobronchial foreign bodies in adults,,,Google Scholar,,,
1995,"Mäurer…, J.","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer…","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer… - Abdominal …, 1995 - Springer",Abdominal …,Drug smuggling by ingested cocaine-filled packages: conventional x-ray and ultrasound,Purpose To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in “…,https://link.springer.com/article/10.1007/BF00203366,Google Scholar,,,
1996,"Darrow…, P.","PS Lemberg, DH Darrow…","PS Lemberg, DH Darrow… - Annals of Otology …, 1996 - journals.sagepub.com",Annals of Otology …,Aerodigestive tract foreign bodies in the older child and adolescent,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances …",https://journals.sagepub.com/doi/abs/10.1177/000348949610500404,Google Scholar,,,
1996,"Armstrong, M.",M Armstrong,"M Armstrong - The Journal of Aesthetics and Art Criticism, 1996 - JSTOR",The Journal of Aesthetics and Art Criticism,""" The Effects of Blackness"": Gender, Race, and the Sublime in Aesthetic Theories of Burke and Kant","Stereotypes, however inaccurate, are one form of representation. Like fictions, they are created to serve as substitutions, standing in for what is real. They are there not to tell it like it is …",https://www.jstor.org/stable/431624,Google Scholar,,,
1996,"Loughlin, M.","MA Lefton-Greif, GM Loughlin","MA Lefton-Greif, GM Loughlin - Seminars in Speech and …, 1996 - thieme-connect.com",Seminars in Speech and …,Specialized studies in pediatric dysphagia,The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing …,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2008-1064106,Google Scholar,,,
1997,"Coren…, B.","BF Gilchrist, EP Valerie, M Nguyen, C Coren…","BF Gilchrist, EP Valerie, M Nguyen, C Coren… - Journal of pediatric …, 1997 - Elsevier",Journal of pediatric …,"Pearls and perils in the management of prolonged, peculiar, penetrating esophageal foreign bodies in children",Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks …,https://www.sciencedirect.com/science/article/pii/S0022346897905546,Google Scholar,,,
1997,"Ozanne-Smith, A.","AE Altmann, J Ozanne-Smith","AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Injury Prevention,Non-fatal asphyxiation and foreign body ingestion in children 0-14 years.,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify …",https://injuryprevention.bmj.com/content/3/3/176.short,Google Scholar,,,
