Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,DOI,Duplicate,Exclude,Reason ID,Abstract2,
1886,"Richardson, M.",MH RICHARDSON,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",The Boston Medical And Surgical Journal,"A Case Of Gastrotomy. Digital Exploration Of sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at ...",https://www.nejm.org/doi/pdf/10.1056/nejm188612161152403,Google Scholar,10.1056/NEJM188612161152403,,FALSE,,Abstract not available,
1895,"Morrison, W.",WA MORRISON,"WA MORRISON - The Boston Medical and Surgical Journal, 1895 - Mass Medical Soc",The Boston Medical And Surgical Journal,"The Value Of The Stomach-Tube In Feeding After Intubation, Based Upon Twenty-Eight Cases; Also Its Use In Post-Diphtheritic Paralysis","By this method I fed the child with the tube for four weeks, giving six ounces of cream, two ounces of brandy, three drops, three times a day, of tincture of uux vómica, and a digestive ...",https://www.nejm.org/doi/pdf/10.1056/nejm189502071320604,Google Scholar,10.1056/NEJM189502071320604,,TRUE,2,Abstract not available,
1907,"Killian, G.",G Killian,"G Killian - Annals of Otology, Rhinology & Laryngology, 1907 - journals.sagepub.com",Annals Of Otology,Xx. The Treatment Of Foreign Bodies In The Respiratory Tract And Esophagus: An Address Delivered Before The American Laryngological. Rhinological And Otological ...,"The invitation of your President to deliver an address on the treatment of foreign bodies in the air-passages and esophagus is accepted with great pleasure, inasmuch as it relates to a ...",https://journals.sagepub.com/doi/abs/10.1177/000348940701600201,Google Scholar,10.1177/000348940701600201,,FALSE,,Abstract not available,
1917,"Benedetto, M.",M DI BENEDETTO,"M DI BENEDETTO - REHABILITATION OF THE INJURED ..., 1917 - upload.wikimedia.org",Rehabilitation Of The Injured ...,Cranial Neuropathies: Electro-Diagnosis And Management,"CONCLUSION * Colonel Medical Corps, US Army (Ret); formerly, Assistant to the Deputy Commanding General, US Army Training Command, Fort Monroe, Virginia; currently, Professor...",https://upload.wikimedia.org/wikipedia/commons/8/8d/rehabilitation_of_the_injured_combatant_volume_1_%28ia_rehabilitationoftheinjuredcombatantvolume1%29.pdf#page=287,Google Scholar,None,,TRUE,5,Abstract not available,
1917,"Ritter, T.",TJ Ritter,"TJ Ritter - Nursing, 1917 - uk.i-scream.org",Nursing,Mother'S Remedies,╨╧*αí▒*ß>*■ *¡zV*|V*╠U*═U╬U╧U╨U╤U╥U╙U╘U╒U╓U╫U╪U┘U┌U█U▄U▌U▐U▀UαUßUΓUπUΣUσUµUτUΦUΘUΩUδU∞UφUεU∩U≡U±U≥U≤U⌠U⌡U÷U≈UU∙U·...,ftp://ftp.uk.i-scream.org/sites/gutenberg.org/1/7/4/3/17439/17439-doc.doc,Google Scholar,None,,TRUE,5,Abstract not available,
1919,"Walsh, J.",JJ Walsh,"JJ Walsh - Annals of Medical History, 1919 - ncbi.nlm.nih.gov",Annals Of Medical History,Two Chapters In The History Of Laryngology And Rhinology,HE writings and addresses of Dr. D. Bryson Delavan have been especially important in calling at tention to the fact that the spe cial chapter in the history of medicine of which physicians ...,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7944726/,Google Scholar,None,,TRUE,5,Abstract not available,
1925,"Richards, L.",L Richards,"L Richards - The Boston Medical and Surgical Journal, 1925 - Mass Medical Soc",The Boston Medical And Surgical Journal,A Year Of Endoscopy,has of lateyears become increasingly serviceable inthe examination of the upper respiratory and alimentary tracts. With the progress in efficiency of the instruments and the technical ...,https://www.nejm.org/doi/pdf/10.1056/nejm192510221931702,Google Scholar,10.1056/NEJM192510221931702,,FALSE,,Abstract not available,
1945,"Samuel, D.","DB McGrigor, E Samuel","DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",The British Journal Of Radiology,War Wounds Of The Chest,"That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars. ...",https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,Google Scholar,10.1259/0007-1285-18-209-133,,TRUE,3,"Abstract

That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars.

In forward areas the surgery of chest injuries is confined to emergency measures, such as the closing of sucking pneumothoraces and the relieving of tension pneumothoraces, etc., and is undertaken by the general surgeon, whilst the definitive surgery is performed by specialist surgeons at the base chest centres. Likewise, radiology in the forward areas is generally confined to scout films of the thorax, the special investigations being left to the radiologist at the special chest centres.

In modern warfare, the radiological investigation of a chest wound falls into two main classes:

(a) At Advanced Surgical Centres and C.C.S's

Films at this stage will generally be in the nature of scout films, to give a general estimation of the intra-thoracic damage. There is little place for complicated radiological examinations at this stage. Many of the patients are severely ill, often with multiple wounds, and as the portability of the apparatus (W.D. 85/15 unit) used of necessity limits its output, recourse to short distance technique must be made.

Using this technique, the anode film distance may be reduced to 30 in. or even less, to eliminate movement. The resulting distortion is no bar to correct interpretation as the lesion, unfortunately, is seldom minimal, whilst on the other hand the slightest movement may obscure even the most massive of lesions.",
1974,"Rosenow, E.",EC Rosenow,"EC Rosenow - The esophagus. Philadelphia: Lea & Febiger, 1974",The Esophagus. Philadelphia: Lea & Febiger,Foreign Bodies Of The Esophagus,,None,Google Scholar,None,,TRUE,1,Abstract not available,
1975,"Samson, R.","RJ Jones, PC Samson","RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",The Annals Of Thoracic Surgery,Esophageal Injury,The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover ...,https://www.sciencedirect.com/science/article/pii/s0003497510640076,Google Scholar,10.1016/S0003-4975(10)64007-6,,FALSE,,"Abstract
The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover damages for esophageal perforation in which negligent endoscopy was claimed; (2) suits following endoscopic accidents in which lack of informed consent was claimed; and (3) suits for professional liability based on misdiagnosis, delayed diagnosis, or wrong treatment of esophageal perforation.
This review considers all possible modes of esophageal injury, based on a schema originally published in 1954 and more recently modified in 1970. For each category of injury there are detailed discussions of diagnosis and treatment. The best available knowledge of present-day modalities has been based on a survey of the literature for the past decade. When diverse methods of treatment were encountered, we have made comments consistent with our personal experience, when appropriate.",
1976,"Kottmeier, P.",PK Kottmeier,"PK Kottmeier - Current problems in pediatrics, 1976 - Elsevier",Current Problems In Pediatrics,What The Pediatrician Should Know About Pediatric Trauma,"To study incidence and cause-and-effect relationship in pediatric trauma, we reviewed all accidental deaths which occurred in children under the age of 13 years from 1968 to 1972 in ...",https://www.sciencedirect.com/science/article/pii/s0045938076800047,Google Scholar,10.1016/S0045-9380(76)80004-7,,FALSE,,"Peter K. Kottmeier is Professor and Chief of Pediatric Surgery at Kings County-Downstate Medical Center, State University of New York. Doctor Kottmeier received his M.D. degree from the Medical University of Munich. After a four-year residency in pathology he obtained training in general and thoracic surgery at Downstate Medical Center and in pediatric surgery at Childrens Hospital (Ohio State University, Columbus), where he also received a Masters Degree in Medical Science. A founding member",
1977,"Chasin, W.",WD Chasin,"WD Chasin - Hospital Practice, 1977 - Taylor & Francis",Hospital Practice,Pediatric Otolaryngologic Crises,"In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of ...",https://www.tandfonline.com/doi/abs/10.1080/21548331.1977.11707097,Google Scholar,10.1080/21548331.1977.11707097,,FALSE,,"In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of parents in preventing emergencies is recommended.",
1979,"Kruter, J.",JS Kruter,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Issues In Comprehensive Pediatric Nursing,A Comprehensive Nursing Approach To Pediatric Facial Injuries,"E. Sunburn It is important to remember that often these categories overlap. For example, an injury resulting from a purposeful push is an intended injury. A flame burn to a child who was ...",https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,Google Scholar,10.3109/01460867909110999,,FALSE,,Abstract not available,
1982,"Putman, G.","GE Newman, EL Effman, CE Putman","GE Newman, EL Effman, CE Putman - Current Problems in Diagnostic ..., 1982 - Elsevier",Current Problems In Diagnostic ...,Pulmonary Aspiration Complexes In Adults,The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever...,https://www.sciencedirect.com/science/article/pii/0363018882900287,Google Scholar,10.1016/0363-0188(82)90028-7,,FALSE,,"The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever-threatening clinical problem even though knowledge of lung defense mechanisms and predisposing factors of aspiration has been advanced to a point which allows identification of patients at risk of suffering pulmonary aspiration. The identification of patients at risk however has not permitted adequate preventive measures from being exercised. This problem persists in part because few of the predisposing factors are reversible or controllable to a degree which would preclude pulmonary aspiration. In addition, the clinical diagnosis of pulmonary aspiration is more often tentative than absolute and based on the clinical setting and changes demonstrated on serial chest radiographs. This situation emphasizes the role of the radiologist and his knowledge of radiographic findings in pulmonary aspiration in suggesting the diagnosis of pulmonary aspiration. The diagnosis may then be confirmed by additional chest radiographs or by bronchoscopy and the retrieval of the aspirated material.
An understanding of the pathophysiology of the types of pulmonary aspiration serves to increase the awareness of certain pulmonary complications from aspiration, to select appropriate diagnostic studies, and to institute specific therapy. However, the nature of the material aspirated by a patient may not be obvious initially unless the episode is witnessed and may only be determined in retrospect in some cases. Thus, radiologists play a primary role in the diagnosis of pulmonary aspiration. Frequently, radiologists must integrate the chest radiographic findings of pulmonary aspirationthe distribution, types of parenchymal opacities, and the expected temporal changes in these opacities, with the patient's clinical situation to establish a diagnosis of pulmonary aspiration (Tables 5, 6).
Until recently, therapy of pulmonary aspiration was standardized, pragmatic, and frequently lacked an understanding of the distinct types of pulmonary aspiration. Controversy still surrounds some aspects of therapy. Perhaps, with additional efforts.",
1983,"Teplick, L.","LR Goodman, SK Teplick","LR Goodman, SK Teplick - Radiologic Clinics of North America, 1983 - Elsevier",Radiologic Clinics Of North America,Computed Tomography In Acute Cardiopulmonary Disease,"With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging ...",https://www.sciencedirect.com/science/article/pii/s003383892201123x,Google Scholar,10.1016/S0033-8389(22)01123-X,,FALSE,,"With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging examination most likely to give a definitive answer with a minimum of patient trauma. We anticipate that over the next few years the role of CT will expand in the diagnosis of specific acute mediastinal, parenchymal, and pleural diseases and will decrease in the evaluation of suspected vascular abnormalities, as digital angiography becomes more widely available.",
