Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1886,"RICHARDSON, M.",MH RICHARDSON,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",The Boston Medical and Surgical Journal,"A Case of Gastrotomy. Digital Exploration of Œsophagus, and Removal of Plate of Teeth; Recovery: Remarks upon the Operation, and Observations upon the …","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at …",https://www.nejm.org/doi/pdf/10.1056/NEJM188612161152403,Google Scholar,,,
1945,"Samuel, D.","DB McGrigor, E Samuel","DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",The British Journal of Radiology,War wounds of the chest,"That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars. …",https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,Google Scholar,,,
1975,"Samson, R.","RJ Jones, PC Samson","RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",The Annals of Thoracic Surgery,Esophageal injury,The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover …,https://www.sciencedirect.com/science/article/pii/S0003497510640076,Google Scholar,,,
1976,"Kottmeier, P.",PK Kottmeier,"PK Kottmeier - Current problems in pediatrics, 1976 - Elsevier",Current problems in pediatrics,What the pediatrician should know about pediatric trauma,"To study incidence and cause-and-effect relationship in pediatric trauma, we reviewed all accidental deaths which occurred in children under the age of 13 years from 1968 to 1972 in …",https://www.sciencedirect.com/science/article/pii/S0045938076800047,Google Scholar,,,
1979,"Kruter, J.",JS Kruter,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Issues in Comprehensive Pediatric Nursing,A comprehensive nursing approach to pediatric facial injuries,"E. Sunburn It is important to remember that often these categories overlap. For example, an injury resulting from a purposeful push is an intended injury. A flame burn to a child who was …",https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,Google Scholar,,,
1982,"Putman, G.","GE Newman, EL Effman, CE Putman","GE Newman, EL Effman, CE Putman - Current Problems in Diagnostic …, 1982 - Elsevier",Current Problems in Diagnostic …,Pulmonary aspiration complexes in adults,The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever…,https://www.sciencedirect.com/science/article/pii/0363018882900287,Google Scholar,,,
1983,"Teplick, L.","LR Goodman, SK Teplick","LR Goodman, SK Teplick - Radiologic Clinics of North America, 1983 - Elsevier",Radiologic Clinics of North America,Computed tomography in acute cardiopulmonary disease,"With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging …",https://www.sciencedirect.com/science/article/pii/S003383892201123X,Google Scholar,,,
1986,"Wagner, P.","PJ Mariani, DK Wagner","PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",The Journal of emergency medicine,Foley catheter extraction of blunt esophageal foreign bodies,The case is reported of a successful Foley catheter extraction of two superimposed coins from the esophagus of an 8-year-old girl. The presence of the second coin was suspected only …,https://www.sciencedirect.com/science/article/pii/0736467986900065,Google Scholar,,,
1988,"Strife, J.",JL Strife,"JL Strife - Radiologic Clinics of North America, 1988 - Elsevier",Radiologic Clinics of North America,Upper airway and tracheal obstruction in infants and children,"The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and …",https://www.sciencedirect.com/science/article/pii/S0033838922009873,Google Scholar,,,
1989,"Bolte, J.","JE Schunk, H Corneli, R Bolte","JE Schunk, H Corneli, R Bolte - American Journal of Diseases of …, 1989 - jamanetwork.com",American Journal of Diseases of …,Pediatric coin ingestions: a prospective study of coin location and symptoms,• Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of …,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514589,Google Scholar,,,
1989,"Cristol, M.","MK Mountford, RE Cristol","MK Mountford, RE Cristol - Food, Drug, Cosmetic Law Journal, 1989 - JSTOR",Food,The enteral formula market in the United States,The role of nutrition in the maintenance of optimal health has recognized for centuries. An understanding of the unique nutritiona quirements for certain medical conditions and diseases…,https://www.jstor.org/stable/26659397,Google Scholar,,,
1992,"Clarkston, W.",WK Clarkston,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Postgraduate medicine,"Gastrointestinal foreign bodies: When to remove them, when to watch and wait","Preview Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest …",https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,Google Scholar,,,
