Study_ID,N_Prisoner,N_Inpatient_Psych,N_Historic_Ingestors,N_Repeat_Ingesters,N_Prisoner_Repeat_Ingesters,N_Psych_Repeat_Ingesters,N_Psych_History,%_Psych_History,%_Repeat_Ingester
3,,,,,,,1.0,,
39,,,,,,,0.0,,
46,20.0,10.0,2.0,12.0,6.0,6.0,2.0,,38.9
51,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
101,,,,,,,5.0,,
113,,,,,,,1.0,,
131,0.0,,219.0,,0.0,,222.0,85.0,84.0
