Study_ID,First_Author,Year,Title,DOI,Country,Study_Type,Setting,Sample_Size,Age_Low_Years,Age_Mean_Years,Age_High_Years,N_Gender_Female,N_Gender_Male,N_Gender_Unknown,N_No_Intervention,Unnamed: 16,Unnamed: 17,Unnamed: 18,N_Surgery,N_Complication,N_Mortality,N_Recurrence,N_Time_Exam_To_Intervention_1_12hrs,N_Time_Exam_To_Intervention_12_24hrs,N_Time_Exam_To_Intervention_24_48hrs,N_Time_Exam_To_Intervention_48hrs_more,N_Time_Exam_To_Intervention_Unknown,Mortality_Count,Mortality_Rate
3,"Richardson, M.H.",1886,"A Case Of Gastrotomy. Digital Exploration Of Sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The Anatomy Of The Oesphagus",10.1056/NEJM188612161152403,USA,Case Series,Mixed Historical Setting,17,16.0,28.625,50.0,4,7,6,,,,,,,,,,,,,,3,0.17647058823529413
39,"Tanigawa, K.",1993,Endoscopic Removal of Foreign Bodies in the Mentally and Physically Handicapped,10.5555/cmj.0366-6999.106.10.p788.01,China,Case Report,,1,31.0,31.0,31.0,0,1,0,,,,,,,,,,,,,,0,0.0
46,"O'Sullivan, S.T.",1996,Deliberate Ingestion Of Foreign Bodies By Institutionalised Psychiatric Hospital Patients And Prison Inmates,10.1007/bf02943095,Ireland,Case Series,Single Centre Case Series of Deliberate Ingestion of Foreign Bodies by Institutionalised Psychiatric Hospital Patients and Prison Inmates,36,15.0,25.8,69.0,11,25,0,,,,,,,,,,,,,,0,0.0
51,"Losanoff, J.E.",1996,Gastrointestinal 'Crosses' - A New Shade From an Old Palette,10.1001/archsurg.1996.01430140056015,Bulgaroa,Case Series,Single Centre University Hospital in Bulgaria,5,19.0,21.8,29.0,0,5,0,,,,,1.0,,0.0,0.0,,,,,,0,0.0
54,"Losanoff, J.E.",1997,"Oesophageal ""cross"" a sinister foreign body",10.1136/emj.14.1.54,Bulgaria,Case Report,Single Centre University Hospital in Bulgaria,1,23.0,23.0,23.0,0,1,0,,,,,1.0,,0.0,0.0,,,,,,0,0.0
60,"Goldman, R.D.",1998,A bizarre bezoar: case report and review of the literature,10.1007/s003830050492,Israel,Case Report,Single Centre,1,16.0,16.0,16.0,1,0,0,,,,,0.0,,0.0,0.0,,,,,,0,0.0
61,"Csaky, G.",1998,Laparoscopic Removal of a Foreign Body from the Jejunum,10.1097/00019509-199802000-00016,Hungary,Case Report,Single Centre Surgical,1,22.0,22.0,22.0,0,1,0,,,,,1.0,,0.0,0.0,,,,,,0,0.0
85,"Tupesis, J.P.",2004,A penny for your thoughts: Small bowel obstruction secondary to coin ingestion,10.1016/j.jemermed.2004.03.013,USA,Case Report,Single Centre Surgical,1,22.0,22.0,22.0,1,0,0,,,,,1.0,,0.0,0.0,,,,,,0,0.0
92,"Alao, A.O.",2006,Foreign body ingestions in a schizophrenic patient,10.4314/wajm.v25i3.28286,USA,Case Report,Single Centre Teaching Hospital ED ,1,30.0,30.0,30.0,0,1,0,,,,,1.0,0.0,0.0,0.0,,,,,,0,0.0
99,"Hunt, I.",2007,Aortoesophageal perforation following ingestion of razorblades with massive haemothorax,10.1016/j.ejcts.2007.01.073,UK,Case Report,Single Centre Teaching Hospital ED ,1,44.0,44.0,44.0,1,0,0,,,,,1.0,,1.0,0.0,,,,,,1,1.0
101,"Gitlin, D.F.",2007,Foreign-Body Ingestion in Patients With Personality Disorders,10.1176/appi.psy.48.2.162,USA,Case Series,Single Centre Psychiatric,5,27.0,34.6,53.0,4,1,0,,,,,,,,,,,,,,0,0.0
113,"Sakellaridis, T.",2007,An Unusual Case of a Swallowed Thermometer Perforated in the Mediastinum,10.1016/j.athoracsur.2007.07.027,Greece,Case Report,Single Centre Cardiothoracic Surgery,1,39.0,39.0,39.0,1,0,0,,,,,,,,,,,,,,0,0.0
131,"Palta, R.",2009,Foreign-body ingestion: characteristics and outcomes in a lower socioeconomic population with predominantly intentional ingestion,10.1016/j.gie.2008.05.072,USA,Retrospective Case Series,Single Centre Urban Country Hospital Review of Medical Records,262,17.0,33.0,82.0,0,0,0,35.0,,,,0.3,,,,,,,,,0,0.0
