,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
0,0,"Listed, N.",Yee A,,A Yee,Google Scholar,,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&inst=7421307413561760588&q=K9+Tactical+Emergency+Casualty+Care+a+yee&btnG=,K9 Tactical Emergency Casualty Care,,Abstract not available,,
1,1849,"Ri, Q.",Q Ri,,Q RI - search.proquest.com,Google Scholar,,https://www.proquest.com/openview/eb41c2191c533ca1cb12666be281b98b/1?pq-origsite=gscholar&cbl=41361,"Quarterly Summary Of The Improvements And Discoveries In The Medical Sciences.: Anatomy And Physiology. Organic Chemistry. Materia Medica And Pharmacy. Medical Pathology And Therapeutics, And Practical Medicine. Surgical Pathology And Therapeutics, And Practical Surgery. Ophthalmology. Midwifery. Cholera. Medical Jurisprudence And Toxicology. Miscellaneous.","Impr Ovments And D 1Scov Erie S Page 1 Quarte Ri, Y Su Mmary Of ""The Impr Ovments And D 1Scov Erie S In The Mi Edical, Sciences . Anatomy And ...",Abstract not available,,
2,1883,"Howe, A.",Aj Howe,,AJ Howe - 1883 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=Ytbwai27-EMC&oi=fnd&pg=PR9&dq=A+Practical+And+Systematic+Treatise+On+Fractures+And+Dislocations+a+howe+1883&ots=ewjRr1KPpS&sig=kwjZ1Fue_VActBkABNAKBanP3eU&redir_esc=y#v=onepage&q=A%20Practical%20And%20Systematic%20Treatise%20On%20Fractures%20And%20Dislocations%20a%20howe%201883&f=false,A Practical And Systematic Treatise On Fractures And Dislocations,"37. Fracture Of The Shaft Of The Humerus...... Page. 123 124 38. Dressing For Fracture Of The Shaft Of The Humerus............. 39. Diastasis, Or Separation Of The Lower Epiphysis Of The Humerus.....",Abstract not available,,
3,1886,"Richardson, M.",Mh Richardson,The Boston Medical And Surgical Journal,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",Google Scholar,10.1056/NEJM188612161152403,https://www.nejm.org/doi/pdf/10.1056/nejm188612161152403,"A Case Of Gastrotomy. Digital Exploration Of Sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...","Many Cases Have Been Recorded Where Foreign Bod-Ies Have Become Lodged In The Oesophagus. The Most Common Seat Of Impaction Or Lodgement Is The Very Beginning Of The Tube, At ...",Abstract not available,,
4,1892,"Otologists, L.",L Otologists,,L OTOLOGISTS - 1892 - cambridge.org,Google Scholar,10.1017/S1755146300162523 ,https://www.cambridge.org/core/journals/journal-of-laryngology-and-otology/article/association-meetings/d299ab7dffb53713a05750f7d0cf041a,Association Meetings.,"About Twenty-Five Belgian Physicians Comprised The Meeting, Which Was Presided Over By Dr. Schiffers. Among The Strangers Present Were Drs. Gouguenheim (Paris), Noquet (Lille), ...",Abstract not available,,
5,1895,"Morrison, W.",Wa Morrison,The Boston Medical And Surgical Journal,"WA MORRISON - The Boston Medical and Surgical Journal, 1895 - Mass Medical Soc",Google Scholar,10.1056/NEJM189502071320604,https://www.nejm.org/doi/pdf/10.1056/nejm189502071320604,"The Value Of The Stomach-Tube In Feeding After Intubation, Based Upon Twenty-Eight Cases; Also Its Use In Post-Diphtheritic Paralysis","By This Method I Fed The Child With The Tube For Four Weeks, Giving Six Ounces Of Cream, Two Ounces Of Brandy, Three Drops, Three Times A Day, Of Tincture Of Uux Vómica, And A Digestive ...",Abstract not available,,
6,1901,"Roger, H.",H Roger,,H Roger - 1901 - books.google.com,Google Scholar,,https://books.google.com/books?hl=en&lr=&id=x78raaaayaaj&oi=fnd&pg=pa1&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=gzx7vpc-go&sig=-v1pc5c-qclk-kxqn_guzdzjitc,Introduction To The Study Of Medicine,"The Rapid And Marvellous Developments Recently Made Along The Lines Of Medical Sciences Have Rendered The Task Of Both Teacher And Student Increasingly Difficult. It Is Not Strange, ...",Abstract not available,,
7,1907,"Killian, G.",G Killian,Annals Of Otology,"G Killian - Annals of Otology, Rhinology & Laryngology, 1907 - journals.sagepub.com",Google Scholar,10.1177/000348940701600201,https://journals.sagepub.com/doi/abs/10.1177/000348940701600201,Xx. The Treatment Of Foreign Bodies In The Respiratory Tract And Esophagus: An Address Delivered Before The American Laryngological. Rhinological And Otological ...,"The Invitation Of Your President To Deliver An Address On The Treatment Of Foreign Bodies In The Air-Passages And Esophagus Is Accepted With Great Pleasure, Inasmuch As It Relates To A ...",Abstract not available,,
8,1913,"Lundberg, P.","Pb Fontanarosa, Gd Lundberg",,"PB Fontanarosa, GD Lundberg - academia.edu",Google Scholar,,https://d1wqtxts1xzle7.cloudfront.net/52883075/_5BDavid_W._Ramey__Bernard_E._Rollin_5D_Complementary_BookZZ.org-libre.pdf?1493539141=&response-content-disposition=inline%3B+filename%3DComplementary_and_Alternative_Veterinary.pdf&Expires=1736931407&Signature=Bt03do3z32VbKnOSmcszCVi~TpSGQNXtcsp50gPrGpuaen1RP0AIXnjk7130GisuEhTu7O65XPY~XJMYoNED7uXPZ0KqVlABsCXfc91N-19E5DR52tYoSKLRQ-Jh~pE71BzgKukLJUa-IOrH-9mxZGCNcyjRo-6o5bW2gIu01aMnQ4u~AU9H9vRHXlTyfsMofByZjTqbhOYRWy23SB-ZW49wYBVtsY6NooGbfLin2jlXI7R7h7RC0NKF3RCJ4vC91RZVdYcKGTxgj3ngpBP4ZCf9SurvSrBrcYWlg6gFf-WLmP~7DUNmibKsVBRIxjOSTV9vQWzsEJuBDLd8IxujEg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,"Complementary
And Alternative
Veterinary
Medicine
Considered","Now That I Have Spent 25 Years Teaching Veterinary Ethics And Working Closely With Veterinarians In Virtually Every Area Of Veterinary Medicine, It Seems Appropriate To Make Some ...",Abstract not available,,
9,1915,"Jackson, C.",C Jackson,,C Jackson - 1915 - books.google.com,Google Scholar,10.1288/00005537-191707000-00009,https://books.google.com/books?hl=en&lr=&id=eva0aqaamaaj&oi=fnd&pg=pa11&dq=++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)++++++++++++++++++++++++&ots=ikdep_zegs&sig=bqezqzl_e7z3lhwvp-tf8mfxy0a,Peroral Endoscopy And Laryngeal Surgery,A Number Of Repetitions Of Fundamental Facts Have Been Necessary In Order To Facilitate Ready Reference In The Limited Time Available For The Busy Surgeon Without Perusing The Entire Book...,Abstract not available,,
