Study_ID,Publication_Year,Author,Title,Publication_Title,Database,Exclude,Reason_ID,Paediatric,Intention_Reported,Deliberate_Intention,Unclear,Accessed,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bib_Search_Complete,Comments
495,1969,"Johnson, Wilbur E.",On Ingestion of Razor Blades,JAMA,Bibliography Search,False,,True,True,True,True,2025-04-14 14:35:26,Case Report,Single prisoner,"New Jersey State Prison Hospital, Trenton","Trenton, New Jersey, USA",10.1001/jama.1969.03160110135030,Y,N,
498,1974,"Witzel, L.; Scheurer, U.; M√ºhlemann, A.; Halter, F.",Removal of razor blades from stomach with fibreoptic endoscope,British Medical Journal,Bibliography Search,False,,False,True,True,True,2025-04-15 10:39:00,Case Report,Single prisoner,Department of Surgery,"Berne, Switzerland",10.1136/bmj.2.5918.539,Y,N,
499,1977,"Devanesan, J.; Pisani, A.; Sharma, P.; Kazarian, K. K.; Mersheimer, W. L.",Metallic foreign bodies in the stomach,"Archives of Surgery (Chicago, Ill.: 1960)",Bibliography Search,False,,False,True,True,True,2025-04-15 10:45:00,Case Report,Single psychiatric inpatient,"New York Medical College-Metropolitan Hospital Center, New York","New York, USA",10.1001/archsurg.1977.01370050124025,Y,N,
504,1982,"James, A. H.; Allen-Mersh, T. G.",Recognition and management of patients who repeatedly swallow foreign bodies,Journal of the Royal Society of Medicine,Bibliography Search,False,,True,True,True,True,2025-04-15 11:35:00,Retrospective Case Series,Mixed psychiatric and non-psychiatric,"Department of Surgery, Charing Cross Hospital,","London, UK",10.1177/014107688207500207,Y,N,
507,1983,"Roark, G D; Subramanyam, K; Patterson, M",Ingested foreign material in mentally disturbed patients,Southern medical journal,Bibliography Search,False,,True,True,True,True,2025-04-10 09:01:14,Retrospective Case Series,Psychiatric patients,University of Texas,"Galveston, Texas, USA",10.1097/00007611-198309000-00015,Y,N,
509,1984,"Gracia, C.; Frey, C. F.; Bodai, B. I.",Diagnosis and management of ingested foreign bodies: a ten-year experience,Annals of Emergency Medicine,Bibliography Search,False,,True,True,True,True,2025-04-15 12:12:00,Retrospective Chart Review,"Mixed population, adult and child with inteional and non-intentional ingestion","University of California, Davis, Medical Center","Davis, California, USA",10.1016/s0196-0644(84)80380-7,Y,N,
522,1991,"Barros, J. L.; Caballero, A.; Rueda, J. C.; Monturiol, J. M.",Foreign body ingestion: management of 167 cases,World Journal of Surgery,Bibliography Search,False,,True,True,True,True,2025-04-15 14:28:00,Retrospective Chart Review,Mixed population,The Gregorio Marafirn Memorial Hospital,"Madrid, Spain",10.1007/BF01665320,Y,N,
523,1991,"Karp, J. G.; Whitman, L.; Convit, A.",Intentional ingestion of foreign objects by male prison inmates,Hospital & Community Psychiatry,Bibliography Search,False,,True,True,True,True,2025-04-15 15:15:00,Retrospective Chart Review,"all patients (N= 19) admitted to a medical prison ward for men in a New York City public general hospital for delib erately swallowing objects between September 1, 1985, and October 15,",New York City Public General Hospital,"New York, USA",10.1176/ps.42.5.533,Y,N,
532,1997,"Tsui, B. C.; Mossey, J.",Occult liver abscess following clinically unsuspected ingestion of foreign bodies,Canadian Journal of Gastroenterology = Journal Canadien De Gastroenterologie,Bibliography Search,False,,True,True,True,True,2025-04-15 16:13:00,Case Series,Patients with occult liver abscess,Royal Alexandra Hospital,"Edmonton, Alberta, Canada",10.1155/1997/815876,Y,N,"One intentional, one unitentional"
535,1998,"Beecroft, N.; Bach, L.; Tunstall, N.; Howard, R.",An unusual case of pica,International Journal of Geriatric Psychiatry,Bibliography Search,False,,True,True,True,True,2025-04-16 11:22:00,Case Report,Schizophrenic female with pica,Emergency Department,"London, UK",10.1002/(sici)1099-1166(199809)13:9<638::aid-gps837>3.0.co;2-n,Y,N,
536,1998,"Blaho, Kari E.; Merigian, Kevin S.; Winbery, Stephen L.; Park, Lynda J.; Cockrell, Mike",Retrospective Chart Review,Journal of Emergency Medicine,Bibliography Search,False,,True,True,True,True,2024-04-16 11:25:00,Retrospective Chart Review,,,,,Y,N,
539,1999,"Hindley, Nick; Gordon, Harvey; Newrith, Chris; Mohan, Damian",The management of cylindrical battery ingestion in psychiatric settings,Psychiatric Bulletin,Bibliography Search,False,,True,True,True,True,2025-04-16 12:16:00,Case Series,Patient who ingest batteries at Broadmoor Psychiatric Hospital,Broadmoor Hospital,"Crowthorne, England, UK",10.1192/pb.23.4.224,Y,N,
540,1999,"Kamal, I.; Thompson, J.; Paquette, D. M.",The hazards of vinyl glove ingestion in the mentally retarded patient with pica: new implications for surgical management,Canadian Journal of Surgery. Journal Canadien De Chirurgie,Bibliography Search,False,,True,True,True,True,2025-04-16 12:31:00,Retrospective Case Series,"Five mentally retarded patients, 4 with a history of pica, who were admitted for the management of complications resulting from the ingestion of vinyl gloves",Two university-affiliated hospitals.,"Kingston, Ontaria, Canada",,Y,N,
543,2001,"Kumar, A.; Jazieh, A. R.",Case report of sideroblastic anemia caused by ingestion of coins,American Journal of Hematology,Bibliography Search,False,,True,True,True,True,2025-04-16 15:03:00,Case Report,Single schizophrenic male with history of pica,University of Arkansas for Medical Sciences,"Little Rock, Arkansas, USA",10.1002/1096-8652(200102)66:2<126::AID-AJH1029>3.0.CO;2-J,Y,N,
546,2001,"Mosca, S.; Manes, G.; Martino, R.; Amitrano, L.; Bottino, V.; Bove, A.; Camera, A.; De Nucci, C.; Di Costanzo, G.; Guardascione, M.; Lampasi, F.; Picascia, S.; Picciotto, F. P.; Riccio, E.; Rocco, V. P.; Uomo, G.; Balzano, A.",Endoscopic management of foreign bodies in the upper gastrointestinal tract: report on a series of 414 adult patients,Endoscopy,Bibliography Search,False,,True,True,True,True,2025-04-17 11:19:00,Retrospective Chart Review,All patients with foreign body ingestion admitted to hospital between May 1995 and December 1999.,"a regional referral center for gastrointestinal emergencies, serving a population of about five million people","Naples, Italy",10.1055/s-2001-16212,Y,N,
548,2002,"Cauchi, J. A.; Shawis, R. N.",Multiple magnet ingestion and gastrointestinal morbidity,Archives of Disease in Childhood,Bibliography Search,False,,True,True,True,True,2025-04-16 15:47:00,Case Report,Single 12 year old female ingested magnets to apply external jewelery to,Sheffield Children’s Hospital,,10.1136/adc.87.6.539,Y,N,
553,2002,"Weiland, Steven T; Schurr, Michael J",Conservative Management of Ingested Foreign Bodies,Journal of Gastrointestinal Surgery,Bibliography Search,False,,True,True,True,True,2025-04-16 16:07:00,Retrospective Case Series,All adults requiring admision for foreign body ingestion,University of Wisconsin Hospital,"Wisconsin, USA",10.1016/S1091-255X(01)00027-0,Y,N,
554,2003,"Dumaguing, Noel I.; Singh, Indra; Sethi, Mohammad; Devanand, D. P.",Pica in the geriatric mentally ill: unrelenting and potentially fatal,Journal of Geriatric Psychiatry and Neurology,Bibliography Search,False,,True,True,True,True,2025-04-16 17:00:00,Retrospective Case Series,"3 patients with severe disability, psychiatric disease and pica",Psychiatric inpatients,"New York, USA",10.1177/0891988703256049,Y,N,
556,2004,"Oestreich, Alan E.",Multiple magnet ingestion alert,Radiology,Bibliography Search,False,,True,True,True,True,2024-04-16 17:09:00,Case Report,Single 12 year old autistic male ingested multiple magnets,Cincinnati Children’s Hospital,"Cincinnati, Ohia, USA",10.1148/radiol.2332041446,Y,N,
558,2004,"Tay, Ee Tein; Weinberg, Gerard; Levin, Terry L.",Ingested magnets: the force within,Pediatric Emergency Care,Bibliography Search,False,,True,True,True,True,2025-04-16 17:20:00,Case Report,9M perforation and bowel obstruction after intentional ingestion of magnet earrings to hide from mother,"Montefiore Medical Center, Albert Einstein College of Medicine","Bronx, New York, USA",10.1097/01.pec.0000134926.03030.a7,Y,N,
559,2004,"Vesna, Djokiƒá; Tatjana, Atanasijeviƒá; Slobodan, Saviƒá; Slobodan, Nikoliƒá",Cardiac tamponade caused by migration of a swallowed sewing needle,Forensic Science International,Bibliography Search,False,,False,False,False,True,2025-04-16 17:29:00,Case Report,20-year-old female prisoner who died due to cardiac tamponade caused by a swallowed sewing needle migration,Forensic Case Report,"Belgrade, Serbia",10.1016/j.forsciint.2003.10.013,Y,N,
