,Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason,Abstract2
0,1886,"Richardson, M.",MH RICHARDSON,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",The Boston Medical And Surgical Journal,"A Case Of Gastrotomy. Digital Exploration Of sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at ...",https://www.nejm.org/doi/pdf/10.1056/nejm188612161152403,Google Scholar,FALSE,,,
1,1895,"Morrison, W.",WA MORRISON,"WA MORRISON - The Boston Medical and Surgical Journal, 1895 - Mass Medical Soc",The Boston Medical And Surgical Journal,"The Value Of The Stomach-Tube In Feeding After Intubation, Based Upon Twenty-Eight Cases; Also Its Use In Post-Diphtheritic Paralysis","By this method I fed the child with the tube for four weeks, giving six ounces of cream, two ounces of brandy, three drops, three times a day, of tincture of uux vómica, and a digestive ...",https://www.nejm.org/doi/pdf/10.1056/nejm189502071320604,Google Scholar,TRUE,2,,
2,1907,"Killian, G.",G Killian,"G Killian - Annals of Otology, Rhinology & Laryngology, 1907 - journals.sagepub.com",Annals Of Otology,Xx. The Treatment Of Foreign Bodies In The Respiratory Tract And Esophagus: An Address Delivered Before The American Laryngological. Rhinological And Otological ...,"The invitation of your President to deliver an address on the treatment of foreign bodies in the air-passages and esophagus is accepted with great pleasure, inasmuch as it relates to a ...",https://journals.sagepub.com/doi/abs/10.1177/000348940701600201,Google Scholar,FALSE,,,
3,1917,"Benedetto, M.",M DI BENEDETTO,"M DI BENEDETTO - REHABILITATION OF THE INJURED ..., 1917 - upload.wikimedia.org",Rehabilitation Of The Injured ...,Cranial Neuropathies: Electro-Diagnosis And Management,"CONCLUSION * Colonel Medical Corps, US Army (Ret); formerly, Assistant to the Deputy Commanding General, US Army Training Command, Fort Monroe, Virginia; currently, Professor...",https://upload.wikimedia.org/wikipedia/commons/8/8d/rehabilitation_of_the_injured_combatant_volume_1_%28ia_rehabilitationoftheinjuredcombatantvolume1%29.pdf#page=287,Google Scholar,TRUE,5,,
4,1917,"Ritter, T.",TJ Ritter,"TJ Ritter - Nursing, 1917 - uk.i-scream.org",Nursing,Mother'S Remedies,╨╧*αí▒*ß>*■ *¡zV*|V*╠U*═U╬U╧U╨U╤U╥U╙U╘U╒U╓U╫U╪U┘U┌U█U▄U▌U▐U▀UαUßUΓUπUΣUσUµUτUΦUΘUΩUδU∞UφUεU∩U≡U±U≥U≤U⌠U⌡U÷U≈UU∙U·...,ftp://ftp.uk.i-scream.org/sites/gutenberg.org/1/7/4/3/17439/17439-doc.doc,Google Scholar,TRUE,5,,
5,1919,"Walsh, J.",JJ Walsh,"JJ Walsh - Annals of Medical History, 1919 - ncbi.nlm.nih.gov",Annals Of Medical History,Two Chapters In The History Of Laryngology And Rhinology,HE writings and addresses of Dr. D. Bryson Delavan have been especially important in calling at tention to the fact that the spe cial chapter in the history of medicine of which physicians ...,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7944726/,Google Scholar,TRUE,5,,
6,1925,"Richards, L.",L Richards,"L Richards - The Boston Medical and Surgical Journal, 1925 - Mass Medical Soc",The Boston Medical And Surgical Journal,A Year Of Endoscopy,has of lateyears become increasingly serviceable inthe examination of the upper respiratory and alimentary tracts. With the progress in efficiency of the instruments and the technical ...,https://www.nejm.org/doi/pdf/10.1056/nejm192510221931702,Google Scholar,FALSE,,,
7,1945,"Samuel, D.","DB McGrigor, E Samuel","DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",The British Journal Of Radiology,War Wounds Of The Chest,"That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars. ...",https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,Google Scholar,TRUE,3,,
8,1974,"Rosenow, E.",EC Rosenow,"EC Rosenow - The esophagus. Philadelphia: Lea & Febiger, 1974",The Esophagus. Philadelphia: Lea & Febiger,Foreign Bodies Of The Esophagus,,,Google Scholar,TRUE,1,,
9,1975,"Samson, R.","RJ Jones, PC Samson","RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",The Annals Of Thoracic Surgery,Esophageal Injury,The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover ...,https://www.sciencedirect.com/science/article/pii/s0003497510640076,Google Scholar,FALSE,,,"ABSTRACT This review considers all possible modes of esophageal injury, based on a schema originally published in 1954 and more recently modified in 1970. For each category of injury there are detailed discussions of diagnosis and treatment. The best available knowledge of present-day modalities has been based on a survey of the literature for the past decade. When diverse methods of treatment were encountered, we have made comments consistent with our personal experience, when appropriate. The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover damages for esophageal perforation in which negligent endoscopy was claimed; (2) suits following endoscopic accidents in which lack of informed consent was claimed; and (3) suits for professional liability based on misdiagnosis, delayed diagnosis, or wrong treatment of esophageal perforation."
