Object_ID,Object_Length_cm,Object_Width_cm,Object_Height_cm,Object_Diameter_cm
1,21.0,,,21.0
2,18.0,,1.5,18.062391868188442
3,,,,
4,16.5,,,16.5
5,4.5,,,4.5
6,17.0,,2.0,17.11724276862369
7,,,,
8,,,,
9,25.4,,,25.4
10,21.0,,,21.0
11,2.0,,1.0,2.23606797749979
12,25.4,1.9,1.27,25.4
13,21.0,,,21.0
14,,,,
15,,,,
16,27.0,2.0,,27.073972741361768
17,21.5,,,21.5
18,24.13,,,24.13
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,4.0,1.0,,4.123105625617661
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,18.0,,,18.0
74,,,,
75,,,,
76,,,,
77,,,,
78,4.0,4.0,,5.656854249492381
79,4.0,4.0,,5.656854249492381
80,4.0,4.0,,5.656854249492381
81,4.0,4.0,,5.656854249492381
82,4.0,4.0,,5.656854249492381
83,4.0,4.0,,5.656854249492381
84,4.0,4.0,,5.656854249492381
85,4.0,4.0,,5.656854249492381
86,4.0,4.0,,5.656854249492381
87,4.0,4.0,,5.656854249492381
88,4.0,4.0,,5.656854249492381
89,4.0,4.0,,5.656854249492381
90,4.0,4.0,,5.656854249492381
91,4.0,4.0,,5.656854249492381
92,4.0,4.0,,5.656854249492381
93,4.0,4.0,,5.656854249492381
94,4.0,4.0,,5.656854249492381
95,4.0,4.0,,5.656854249492381
96,4.0,4.0,,5.656854249492381
97,4.0,4.0,,5.656854249492381
98,4.0,4.0,,5.656854249492381
99,,,,
100,9.0,1.5,,9.12414379544733
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
