Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
1991,"Bartels, K.","Bartels, K. E.; Stair, E. L.; Cohen, R. E.",Journal Of The American Veterinary Medical Association,Corrosion potential of steel bird shot in dogs,"Each year many dogs are accidentally or purposely wounded with shotguns. When lead pellets were used exclusively in the past, clinical problems from  chronically embedded shot seldom developed except for rare cases of lead  toxicosis. However, because expended lead shot ingested unintentionally by  waterfowl and other avian species is fatal, the US Fish and Wildlife Service  mandated exclusive use of steel shot for waterfowl hunting beginning in 1991. To  discover the effects of implanted steel shot in a biological system, in vitro and  in vivo studies were performed. Severe surface corrosion was evident when steel  shot was placed in physiologic saline solution and sterile canine plasma. Eight  laboratory dogs were surgically implanted with sterile steel shot in various  superficial locations for intervals of 2 to 26 weeks. Corrosion of implants and  tissue inflammation was observed in all biopsy specimens examined. It has been  shown that steel shot embedded in tissues will corrode and result in a severe  inflammatory response. If the accompanying inflammation is complicated by  bacterial contamination, foreign body reactions resulting in infected, draining  tracts could develop. Veterinarians and dog owners should be aware that treatment  and prognosis for wounds caused by steel shot may differ from those for similar  wounds caused by lead shot.",,PubMed
1997,"Gilchrist, B.","Gilchrist, BF; Valerie, EP; Nguyen, M; Coren, C; Klotz, D; Ramenofsky, ML",Journal Of Pediatric Surgery,"Pearls and perils in the management of prolonged, peculiar, penetrating esophageal foreign bodies in children","Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks to years and present significant problems for retrieval. The purpose of this study was to describe the diagnostic and therapeutic strategies needed to care for children who have chronic esophageal FBs. Methods: Five children were identified as having retained esophageal FBs 2 months to 2 years after ingestion. During the same 3-year period, 100 children who had acute FBs were identified and had their foreign bodies removed endoscopically. The average age of the children was 3 years (range, 2.4 to 3.5). Results: The average age of the five children identified in th is study was 3 years. The items ingested included coins, a heart pendant, a clothespin spring, and a toy soldier. Complications from chronically retained foreign bodies were bronchoesophageal fistula, mediastinitis, esophageal diverticulum,and lobar atelectasis. One patient died from an aortoesophageal fistula. In all children, endoscopic removal was attempted. Barium esophagram was then performed, and foreign bodies were eventually removed via right thoracotomy. Conclusions: Long-retained esophageal FBs are extremely morbid and life threatening. History most often identifies excess salivation, new onset asthma, and/or recurrent upper respiratory infections. Three diagnostic adjuncts are helpful in identifying the presence of a long retained FB: (1) Chest x-ray (PA and lateral), (2) barium swallow, and (3) esophagoscopy. Indications for thoracotomy for removal of foreign body include (1) Poor endoscopic visualization of FB because of inflammatory tissue and (2) Herald bleeding during endoscopy. Copyright (C) 7997 by W.B. Saunders Company.",10.1016/s0022-3468(97)90554-6,Web of Science
1998,"Goldman, R.","Goldman, RD; Schachter, P; Katz, M; Bilik, R; Avigad, I",Pediatric Surgery International,A bizarre bezoar: case report and review of the literature,"A bizarre case of a foreign-body bezoar is presented. A 16-year-old girl swallowed large amounts of toilet paper as a means of dieting. She presented with a palpable abdominal mass, multiple bezoars in the bowel, and paper excretion in the feces before admitting intentional ingestion of toilet-paper balls. Administration of Gastrografin via a nasogastric tube and enemas resulted in gradual excretion of the paper balls.",10.1007/s003830050492,Web of Science
1999,"Calkins, C.","Calkins, CM; Christians, KK; Sell, LL",Journal Of Pediatric Surgery,Cost analysis in the management of esophageal coins: endoscopy versus bougienage,"Purpose: The aim of this study was to compare the safety, efficiency, and overall cost effectiveness of esophageal bougienage Versus endoscopy in the retrieval of ingested coins. Methods: Retrospective review of patients treated for esophageal coin ingestion at Children's Hospital of Wisconsin over a 1-year period using bougienage or endoscopic retrieval was conducted. (inclusion criterion) Results: Twenty-seven patients were evaluated over the 1-year study period. Two patients spontaneously passed the coins before arrival and needed no further treatment. Twelve patients met criteria for bougienage, and this treatment was successful in 10 of the 12 patients. Mean length of hospital Stay was 2.15 hours, and the mean cost was $546. Thirteen patients were treated successfully with endoscopy. The mean length of hospital stay was 22.7 hours, and the mean cost was $5,230. There were no complications in any of the 25 patients. Conclusions: Bougienage is equally safe, more efficient, and much less expensive than endoscopy for treatment of esophageal coins in properly selected patients. Nearly half of the patients were excluded from bougienage because of delayed presentation alone. Education of parents and physicians regarding symptoms of coin ingestion would allow primary treatment with bougienage in the majority of cases. Copyright (C) 1999 by W.B. Saunders Company.",10.1016/s0022-3468(99)90488-8,Web of Science
1999,"Cheng, W.","Cheng, W; Tam, PKH",Journal Of Pediatric Surgery,"Foreign-body ingestion in children: experience with 1,265 cases","Background/Purpose: This study aims to elucidate the clinical presentation, the effectiveness of investigations, and treatment of foreign body ingestion in children and to formulate an algorithm of management. Methods: The records of children admitted to a single institution who had a history of foreign body ingestion over 33 years were reviewed. Symptoms, radiological findings, and endoscopic findings were assessed. Results: Foreign bodies were detected in 552 (43%) of the 1,265 children admitted. The age of the children ranged from 6 months to 16 years (mean, 5.2 years). The preschool toddlers (mean age, 3.8 years) were most prone to ingest inanimate objects. The most common objects were coins (49%) and nonmetallic sharp objects (NMSO; 31%). Although x-rays could detect all the metallic objects and 86% of glass objects, the sensitivity of fish bone detection is only 26%. Absence of symptoms was common (50% in metallic group and 29% in NMSO group). Forty-one percent of coins and 95% of NMSO were lodged at sites suitable for removal by direct laryngoscopy alone with success rates of 86% and 77%, respectively. There were 3 disease-related complications and 1 mortality. Two of these children were mentally retarded and presented late. Conclusions: Efforts for prevention of ingestion of inanimate foreign body should focus on the preschool toddler group. Particular attention should be paid to mentally retarded children with vague gastrointestinal symptoms. Absence of symptoms does not preclude presence of foreign body in children. Children with history of NMSO ingestion should undergo direct laryngoscopy despite negative radiological finding, both as a screening procedure or treatment. J Pediatr Surg 34:1472-1476. Copyright (C) 1999 by W,B. Saunders Company.",10.1016/s0022-3468(99)90106-9,Web of Science
2001,"Vicente, Y.","Vicente, Y; Hernandez-Peredo, G; Molina, M; Prieto, G; Tovar, JA",Journal Of Pediatric Surgery,Acute food bolus impaction without stricture in children with gastroesophageal reflux,"Background/Purpose: This report identifies a group of children in whom severe acute food bolus impaction (AFBI) was the leading symptom of gastroesophageal reflux (GER) in the absence of stricture. Methods: The esophageal structure and function of 8 patients treated for AFBI requiring endoscopic removal of alimentary foreign bodies in 6 of them (up to 4 times in 1 case) were investigated by barium meal, esophagoscopy-biopsy, pH-metering, pull-through stationary manometry, and 24-hour ambulatory manometry. The results were compared with those in a group of age-matched regular refluxers (n = 14) without AFBI. Results: Six boys and 2 girls aged 108 +/- 59 months had impaction. Six children had symptoms of GER like vomiting during infancy, heartburn, or respiratory tract disease. Barium swallow ruled out stenosis in all patients and showed small hiatal hernias in 3. All had endoscopic and histologic esophagitis (moderate to severe in 6), and one had Schatzki ring. All but one (who had 8.45 mm Hg) had normal lower esophageal sphincter pressure (16.2 +/- 4.7 mm Hg, mean +/- SID), and all showed normal sphincteric relaxation. Esophageal body motility was not significantly different from that in regular refluxers except in 6 children in whom energetic distal peristalsis after reflux episodes could be seen particularly during the night. Three of them had amazingly powerful distal waves during the day and even stronger, simultaneous, wide and bizarre-shaped waves during sleep. Symptoms improved in all cases after antireflux medication. Four patients were cured after antireflux surgery. Conclusions: AFBI is a dramatic but practically unheard of symptom of GER in children. It should be differentiated from dysphagia and reveals motor dysfunction, sometimes severe, of the esophageal body in the absence of sphincteric obstruction. Antireflux medication or surgery were uniformly successful in our patients. J Pediatr Surg 36:1397-1400, Copyright (C) 2001 by WB, Saunders Company.",10.1053/jpsu.2001.26381,Web of Science
2004,"Tupesis, J.","Tupesis, JP; Kaminski, A; Patel, H; Howes, D",Journal Of Emergency Medicine,A penny for your thoughts: small bowel obstruction secondary to coin ingestion,"We report a case of small bowel obstruction secondary to coin ingestion. A 22-year-old woman presented to the Emergency Department (ED) with a 3-week history of abdominal pain. Upon initial history the patient denied any foreign body ingestion. Only after computed tomography (CT) scanning of the abdomen and pelvis did the patient admit to deliberate ingestion of a single United States penny coin. During surgical evaluation it was found that the coin had lodged near the ileocecal valve and an inflammatory mass had formed around the intraluminal coin, causing a 10 X 7 cm fibrous tumor to completely obstruct the small bowel. It is thought that oxidation of the coin, with subsequent exposure of its high zinc content, instigated the inflammatory cascade. (C) 2004 Elsevier Inc.",10.1016/j.jemermed.2004.03.013,Web of Science
2005,"Abraham, B.","Abraham, B; Alao, AO",International Journal Of Psychiatry In Medicine,An unusual foreign body ingestion in a schizophrenic patient: case report,"The topic of foreign body ingestion has received extensive coverage in the areas of surgery, emergency medicine, and pediatrics. A subset of this topic, the intentional ingestion of foreign bodies, however, is much less common, and requires special evaluation and management. Here, we report a case of ingestion of a rolled, metal tuna can lid in a male prison inmate previously diagnosed with depression and paranoid schizophrenia. Following evaluation by the surgical team, the foreign body was removed by laparotomy and the patient was discharged back to the prison without complication. In many cases, ingestions of this type involve a command hallucination ordering the patient to swallow the foreign body. Interestingly, the patient in the present case reported auditory hallucinations commanding him not to swallow the can lid. On further investigation, we found that patient had a proclivity toward this swallowing behavior even prior to his incarceration. Early identification of inmates with this proclivity has important implications for treatment and prevention.",10.2190/7ae8-3av0-w3ua-tkv4,Web of Science
2005,"Abraham, B.","Abraham, Benjamin; Alao, Adekola O.",International Journal Of Psychiatry In Medicine,An unusual foreign body ingestion in a schizophrenic patient: case report,"The topic of foreign body ingestion has received extensive coverage in the areas of surgery, emergency medicine, and pediatrics. A subset of this topic, the intentional ingestion of foreign bodies, however, is much less common, and requires special evaluation and management. Here, we report a case of ingestion of a rolled, metal tuna can lid in a male prison inmate previously diagnosed with depression and paranoid schizophrenia. Following evaluation by the surgical team, the foreign body was removed by laparotomy and the patient was discharged back to the prison without complication. In many cases, ingestions of this type involve a command hallucination ordering the patient to swallow the foreign body. Interestingly, the patient in the present case reported auditory hallucinations commanding him not to swallow the can lid. On further investigation, we found that patient had a proclivity toward this swallowing behavior even prior to his incarceration. Early identification of inmates with this proclivity has important implications for treatment and prevention. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",10.2190/7ae8-3av0-w3ua-tkv4,PsycINFO
2005,"Louie, J.","Louie, JP; Alpern, ER; Windreich, RM",Pediatric Emergency Care,Witnessed and unwitnessed esophageal foreign bodies in children,"Objective: The purpose of this study was to describe the clinical presentation of children with either an unwitnessed or witnessed esophageal foreign body. Methods: Retrospective chart review was performed. Patients were identified using ICD-9 code for esophageal foreign body. Clinical data and management techniques, along with complications were abstracted. Results: For the 5-year period of review, 255 patients were identified with an esophageal foreign body. 214 children had a witnessed ingestion. The mean age of the unwitnessed ingestion group was 2.3 years, compared to 4.6 years for a witnessed ingestion. In both groups, mates and females were distributed equally and the most common ingested object was a coin. Bivariate, unadjusted analysis revealed history of wheeze (OR, 4.35) and fever (OR, 11.15) had the largest association with patients who had an unwitnessed ingestion. Multivariate analysis indicated any physical findings of wheeze, rhonchi, stridor, or retractions were associated significantly with a diagnosis of an unwitnessed foreign body. Children less than 2 years of age and with a documented fever are also predictive of an unwitnessed ingestion. Eleven children (4.3%) with esophageal abnormalities were also noted to have foreign bodies. Conclusions: Children who present to the emergency department two years old and younger, who have a documented fever and with respiratory findings should be considered at risk for having a retained esophageal foreign body. Children with esophageal abnormalities may also be at risk for retained esophageal foreign bodies.",10.1097/01.pec.0000177196.83655.91,Web of Science
