Study_ID,Exclude_JGE,Reason_ID_JGE,Unclear_JGE,Comments_JGE,Exclude_MS,Reason_ID_MS,Unclear_MS,Comments_MS,Exclude_GC,Reason_ID_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
3,True,12.0,,Record of first gastrotomy for intention ingestion. Timeline of further historical ingestions.,,,,,,,,True,12.0
4,True,1.0,,"Pay wall, unable to access via QMUL or Sci-Hub.",,,,,,,,True,1.0
7,True,9.0,,"Case series in 'Oesophagus' Section. Intention not explicitly intentional. All appear to be accidental. Chidlren swallowing coins, adults for food bolus impaction and dental implants.",,,,,,,,True,9.0
15,True,9.0,,Case series. All children. All appear to be coins and pins. Age <4. Intention not explicitly intentional. ,,,,,,,,True,9.0
21,True,5.0,,,,,,,,,,True,5.0
22,True,5.0,,Cool case of baby that swallowed a .38 bullet in utero after obtaining facial gunshot wound.,True,2.0,False,,,,,True,5.0
23,True,5.0,,,,,,,,,,True,5.0
24,True,5.0,,Textbook on paediatric facial injuries.,,,,,,,,True,5.0
25,True,2.0,,Focusses on pulmonary aspiration with case studies.,,,,,,,,True,2.0
26,True,1.0,,"Pay wall, unable to access via QMUL or Sci-Hub.",True,2.0,False,Paywall,,,,True,1.0
27,True,1.0,,"Pay wall, unable to access via QMUL or Sci-Hub.",,,,,,,,True,1.0
32,True,1.0,,"Pay wall, unable to access via QMUL or Sci-Hub.",,,,,,,,True,1.0
33,True,9.0,,Paediatric study. Intention not mentioned.,,,,,,,,True,9.0
38,True,5.0,,"Review Article. Some cases, but no empirical evidence.",,,,,,,,True,5.0
40,True,1.0,,"Pay wall, unable to access via QMUL or Sci-Hub.",,,,,,,,True,1.0
41,True,2.0,,Aspiration focus.,,,,,,,,True,2.0
50,True,9.0,,Paediatric study. Not explicitly intentional. Intention not recorded.,,,,,,,,True,9.0
52,True,6.0,,Duplicate study,,,,,,,,True,6.0
53,True,9.0,,"Paediatric study. Intention explicitly not recorded. Contians cases of retained foreign objects requiring thoracotomy, with retention lengths 2 months to 2 years. All patients didn't undergo a chest x-ray at the time of ingestion.",,,,,,,,True,9.0
55,True,3.0,,Paper states: All cases of intentional injury (self inflicted or interpersonal violence) were excluded.,,,,,,,,True,3.0
