Study_ID,Comments,Patient_Count,Case_Count,Age_Low,Age_High,Age_Mean,Age_Median,Verified_Ingestion_Cases,Verified_Ingestion_Rate,Gender_Male_Cases,Gender_Male_Rate,Gender_Female_Cases,Gender_Female_Rate,Gender_Unknown_Cases,Gender_Unknown_Rate,Is_Intentional_Cases,Is_Intentional_Rate,Is_Prisoner_Cases,Is_Prisoner_Rate,Is_Psych_Inpat_Cases,Is_Psych_Inpat_Rate,Is_Displaced_Person_Cases,Is_Displaced_Person_Rate,Under_Influence_Alcohol_Cases,Under_Influence_Alcohol_Rate,Psych_Hx_Cases,Psych_Hx_Rate,Severe_Disability_Hx_Cases,Severe_Disability_Hx_Rate,Previous_Ingestions_Cases,Previous_Ingestions_Rate,Motivation_Intent_To_Harm_Cases,Motivation_Intent_To_Harm_Rate,Motivation_Protest_Cases,Motivation_Protest_Rate,Motivation_Psychiatric_Cases,Motivation_Psychiatric_Rate,Motivation_Psychosocial_Cases,Motivation_Psychosocial_Rate,Motivation_Unknown_Cases,Motivation_Unknown_Rate,Motivation_Other_Cases,Motivation_Other_Rate,Motivation_Other_Psych_Hx_Cases,Motivation_Other_Psych_Hx_Rate,Motivation_Other_Severe_Disability_Hx_Cases,Motivation_Other_Severe_Disability_Hx_Rate,Object_Count,Object_Button_Battery_Cases,Object_Button_Battery_Rate,Object_Magnet_Cases,Object_Magnet_Rate,Object_Long_Cases,Object_Long_Rate,Object_Diameter_Large_Cases,Object_Diameter_Large_Rate,Object_Sharp_Cases,Object_Sharp_Rate,Object_Multiple_Cases,Object_Multiple_Rate,Object_Long_Sharp_Cases,Object_Long_Sharp_Rate,Object_Short_Cases,Object_Short_Rate,Object_Short_Sharp_Cases,Object_Short_Sharp_Rate,Outcome_Endoscopy_Cases,Outcome_Endoscopy_Rate,Outcome_Surgery_Cases,Outcome_Surgery_Rate,Outcome_Death_Cases,Outcome_Death_Rate,Outcome_Injury_Needing_Intervention_Cases,Outcome_Injury_Needing_Intervention_Rate,Outcome_Perforation_Cases,Outcome_Perforation_Rate,Outcome_Obstruction_Cases,Outcome_Obstruction_Rate,Outcome_Other_Cases,Outcome_Other_Rate,Outcome_Other_Long,Outcome_Conservative_Cases,Outcome_Conservative_Rate,Outcome_Endoscopy_Surgery_Cases,Outcome_Endoscopy_Surgery_Rate,Publication_Year,Authors,Title,Publication_Title,DOI,Study_Country,Study_Design,Citekey
46,,30.0,36.0,15.0,69.0,25.8,,,,25.0,,11.0,,0.0,,36.0,,20.0,,10.0,,0.0,,0.0,,6.0,,,,14.0,,,,,,,,,,36.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,6.0,0.2,6.0,0.2,32.0,1.0666666666666667,14.0,0.4666666666666667,,,30.0,1.0,,,4.0,0.1111111111111111,2.0,0.05555555555555555,0.0,0.0,3.0,0.08333333333333333,1.0,0.027777777777777776,2.0,0.05555555555555555,1.0,0.027777777777777776,Haemorrhage,30.0,0.8333333333333334,1.0,0.027777777777777776,1996,"O'Sullivan, S. T.; Reardon, C. M.; McGreal, G. T.; Hehir, D. J.; Kirwan, W. O.; Brady, M. P.",Deliberate ingestion of foreign bodies by institutionalised psychiatric hospital patients and prison inmates,Irish Journal Of Medical Science,10.1007/bf02943095,Ireland,Case Series,OSullivan_1996b
131,,60.0,262.0,17.0,82.0,33.0,,,,,,,,,,262.0,0.92,,,,,,,,,222.0,0.85,,,219.0,0.84,,,,,,,,,262.0,1.0,,,,,,,,,,,,147.0,0.56,,,,,71.0,0.27,,,46.0,0.18,9.0,0.15,189.0,0.7213740458015268,30.0,0.11450381679389313,0.0,0.0,20.0,0.07633587786259542,16.0,0.061068702290076333,0.0,0.0,4.0,0.0,Bleeding,,,12.0,0.04580152671755725,2009,"Palta, Renee; Sahota, Amandeep; Bemarki, Ali; Salama, Paul; Simpson, Nicole; Laine, Loren",Foreign-body ingestion: characteristics and outcomes in a lower socioeconomic population with predominantly intentional ingestion,Gastrointestinal Endoscopy,10.1016/j.gie.2008.05.072,USA,Case Series,Palta_2009c
139,,33.0,305.0,18.0,56.0,35.4,,,,19.0,0.576,14.0,0.424,0.0,0.0,305.0,1.0,,,,,,,,,,0.79,,,,,,,,,,,,,305.0,1.0,,,,,,,,,,,,146.0,4.424242424242424,,,63.0,1.9090909090909092,,,,,,,,,,,2.0,0.006557377049180328,0.0,0.0,11.0,0.036065573770491806,0.0,0.0,1.0,0.003278688524590164,10.0,0.03278688524590164,3.6%) including mucosal trauma and/or bleeding not requiring transfusion (in 10 cases; 3.3%),,,2.0,0.006557377049180328,2010,"Huang, Brian L.; Rich, Harlan G.; Simundson, Susan E.; Dhingana, Mukesh K.; Harrington, Colin; Moss, Steven F.",Intentional swallowing of foreign bodies is a recurrent and costly problem that rarely causes endoscopy complications,Clinical Gastroenterology And Hepatology : The Official Clinical Practice Journal Of The American Gastroenterological Association,10.1016/j.cgh.2010.07.013,USA,Case Series,Huang_2010k
192,Does not report number of rates of complications for whole population. Or rate of multiple object ingestion.,30.0,141.0,20.0,48.0,27.0,,,,,0.867,,0.133,0.0,0.0,141.0,1.0,141.0,1.0,0.0,0.0,,,,,,0.9,,,,0.3,,,,,,,,,141.0,1.0,,,,,,,228.0,,,0.0,0.0,156.86399999999998,0.688,156.86399999999998,0.688,72.048,0.316,,,,,71.136,0.312,,,97.0,0.66,11.0,0.08,,,,,,,,,,,,36.660000000000004,0.26,4.2299999999999995,0.03,2013,"Dalal, Poorvi P.; Otey, Andrew J.; McGonagle, Emily A.; Whitmill, Melissa L.; Levine, Edward J.; McKimmie, Ryan L.; Thomas, Alicia C.; Cook, Charles H.; Papadimos, Thomas J.; Reilley, Thomas E.; Bergese, Sergio D.; Steinberg, Steven M.; Stawicki, Stanislaw P. A.; Evans, David C.",Intentional foreign object ingestions: need for endoscopy and surgery,Journal Of Surgical Research,10.1016/j.jss.2013.04.078,USA,Case Series,Dalal_2013b
256,"Does not give empirical data on population characteristics, or outcomes (apart from mortality and prisoner status). Does not talk about individual motivation, but gives a qualitative description of the typical patient engaging in self-harm in this prison system. ",762.0,472.0,,,,,,,,,,,472.0,1.0,472.0,1.0,472.0,1.0,0.0,0.0,,,,0.066,,0.46,,,,,,,,,,,,,472.0,1.0,,,,,,,1175.0,,,,,,,,,,,,,,,,,,,,,,,1.8880000000000001,0.004,,,,,,,,,,,,,,2016,"Brezean, I; Moldovan, H; Ferechide, D; Vîlcu, M; Petrea, S",Self-harm in the prison system,Romanian Journal Of Legal Medicine,10.4323/rjlm.2016.194,Romania,Case Series,Brezean_2016g
266,,15.0,21.0,19.0,48.0,33.9,35.0,,,21.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,21.0,1.0,0.0,0.0,,0.133,,,,0.533,,,,,,,,,,,,,21.0,1.0,,,,,,,34.0,4.012,0.118,,,,,,,22.984,0.676,17.816000000000003,0.524,,,,,,,10.017,0.477,1.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995,0.095,because IFO impacted at ileum and it was checked radiologically,6.3,0.3,1.0,0.048,2017,"Volpi, A.; Laforgia, R.; Lozito, C.; Panebianco, A.; Punzo, C.; Ialongo, P.; Carbotta, G.; Sederino, M. G.; Minafra, M.; Paterno, A.; Palasciano, N.",Ingestion of foreign bodies among prisoners: a ten years retrospective study at university hospital of southern italy,Il Giornale Di Chirurgia,10.11138/gchir/2017.38.2.080,Italy,Case Series,Volpi_2017i
288,Mixed suicide attempt population,58.0,17.0,,,36.2,,,,,0.43,,0.57,,0.207,17.0,1.0,0.0,0.0,17.0,1.0,,,,,17.0,1.0,,0.128,,,,,,,,,,,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2018,Tanimoto C.; Yayama S.; Suto S.; Matoba K.; Kajiwara T.; Inoue M.; Endo Y.; Yamakawa M.; Makimoto K.,Self-harm and suicide attempts in a japanese psychiatric hospital,East Asian Archives Of Psychiatry,10.12809/eaapl81732,Japan,Case Series,TanimotoC._2018a
307,,9.0,36.0,,,24.7,,36.0,1.0,,0.333,,0.667,0.0,0.0,9.0,1.0,13.0,0.5,10.0,0.278,,,,,,0.889,0.0,0.0,,0.333,,,,,,,,,36.0,1.0,,,,,,,23.0,,,0.0,0.0,8.993,0.391,,,10.005,0.435,8.993,0.391,4.002,0.174,15.847,0.689,6.003,0.261,36.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,2019,"Robertson, Alexander R.",Self-harm by sharp foreign body ingestion,Suicide & Life-Threatening Behavior,10.1111/sltb.12474,,Case Series,Robertson_2019
312,"IIFO rates were compared according to gender, diagnosis and level of security at a UK inpatient psychiatric facility. Does not report outcomes of interest. ",27.0,133.0,,,,,133.0,1.0,19.0,,114.0,,0.0,0.0,133.0,1.0,0.0,0.0,133.0,1.0,,,,,133.0,1.0,,,,,,,,,,,,,133.0,1.0,,,,,,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,"Tromans, S; Chester, V; Wells, H; Alexander, R",Deliberate ingestion of foreign bodies as a form of self-harm among inpatients within forensic mental health and intellectual disability services,Journal Of Forensic Psychiatry & Psychology,10.1080/14789949.2018.1530287,,Case Series,Tromans_2019
321,,1.0,22.0,24.0,24.0,24.0,24.0,22.0,1.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,,,,22.0,1.0,0.0,0.0,21.0,0.955,22.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,14.0,0.6363636363636364,1.0,0.045454545454545456,0.0,0.0,13.0,0.5909090909090909,,,,,,,,9.0,0.4090909090909091,,,2019,"Ashman, A.; Bola, S.; Topiwala, A.",Managing repeated deliberate foreign body ingestion,"British Journal Of Hospital Medicine (London, England : 2005)",10.12968/hmed.2019.80.9.546,,Case Series,Ashman_2019f
