Study_ID,Exclude_JGE,Reason_ID_JGE,Unclear_JGE,Comments_JGE,Exclude_MS,Reason_ID_MS,Unclear_MS,Comments_MS,Exclude_GC,Reason_ID_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
39,False,,,Case report of endoscopic management of multiple ingestions. Severe mental and physical impairment.,,,,,,,,False,
46,False,,,Case series or 36 prisoners who intentionally ingested objects.,,,,,,,,False,
51,False,,,Case series. Gastrointestinal crosses causing multiple perforation in a prison in one week,,,,,,,,False,
54,False,,,Single case of gastrointestinal cross.,,,,,,,,False,
60,False,,,16 year old female. Toilet paper ingestion as part of diet. Study reports as bezoar.,,,,,,,,False,
61,False,,,"22 year old swallowed blade, suicidal intention.",,,,,,,,False,
85,False,,,"""the patient admit to deliberate ingestion of a single United States penny coin.""",,,,,,,,False,
92,False,,,"""we report a case of ingestion of a rolled, metal tuna can lid in a male prison inmate previously diagnosed with depression and paranoid. schizophrenia"". Command hallucinations. ""Intention to kill kimself.",,,,,,,,False,
99,False,,,"""massive haemothorax following deliberate ingestion of razorblades""",,,,,,,,False,
101,False,,,Contains 5 case studies with empirical data.,,,,,,,,False,
113,False,,,"39F ""deliberate ingestion of a thermometer in a suicide attempt""",,,,,,,,False,
131,False,,,"""Among 262 cases, 92% were intentional""",,,,,,,,False,
138,False,,,"62M Prisoner ""Currently he reported ingestion of multiple plastic spoons and a ballpoint pen three days previously""",,,,,,,,False,
139,False,,,"""Cases of intentional ingestion of FBs (n  305) were identified, retrospectively, from an electronic endoscopy database and followed.""",,,,,,,,False,
148,False,,,"""19 year-old asymptomatic man presented to our emergency room after intentionally ingesting eight sewing needles; he had done so in an attempt to impress his friends.""",,,,,,,,False,
168,False,,,"""This case report describes the case of a 36-year-old man addicted to heroin who purposefully swallowed a lighter (double wrapped in cellophane) and presented with hematemesis and melena 17 months after the ingestion of the foreign body.""",,,,,,,,False,
171,False,,,"""case of a 26-year-old man who was brought from a correctional facility after confessing to have swallowed a few shower curtain hooks""",,,,,,,,False,
172,False,,,12 year old potentially intentional ingestion whilst playing a game with her brother.,,,,,,,,False,
175,False,,,"1 case. 62 year old man, ""swallowed broken scissors in an attempt to commit suicide"".",,,,,,,,False,
182,False,,,2 cases of deliberate ingestion recorded.,,,,,,,,False,
192,False,,,30 patients with 141 episodes of IIFO.,,,,,,,,False,
195,False,,,"""16-year-old adolescent boy with intentional ingestion of a 6-cm-length iron nail in detention center 6 hours ago.""",,,,,,,,False,
214,False,,,"""We presented a case in which a seventeen year-old young man attended emergency department after attempting suicide by cutting his wrist. Incidentally, he was found to have ingested multiple magnets which stayed in the stomach.""",,,,,,,,False,
217,False,,,"""We present a case of 44_year_old male with a history of intentional ingestion of 30 gold pellets as a carrier from Dubai to India.""",,,,,,,,False,
219,False,,,"""The study presented a case of a 33-year-old female patient subjected to surgical treatment, due to deliberate swallowing of a balloon. The above-mentioned was the amateur equivalent of intragastric balloon insertion, inducing weight loss.""",,,,,,,,False,
226,False,,,Syrian refugee who swallowed $1000 for safe keeping whilst fleeing Syria. Endoscopically removed without complication and returned to him.,,,,,,,,False,
231,False,,,"""A 37-year-old incarcerated man presented to the accident and emergency department following the deliberate ingestion of eight cylindrical batteries.""",,,,,,,,False,
238,False,,,"""Mentally retarded"" patient",,,,,,,,False,
256,False,,,Retrospective case series. Extensive records of deliberate self-harm and intentional ingestion.,,,,,,,,False,
260,False,,,Single case of intentional padlock ingestion in female with cerebral palsy and 'self-destructive behaviour',,,,,,,,False,
261,False,,,"""a case of a schizophrenic who ingested large pieces of computer circuit boards, which impacted at the mid-esophagus, in the stomach, and in the cecum""",,,,,,,,False,
266,False,,,"""All pts were males and ingestions were intentional.""",False,,False,,,,,False,
