id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason ID_JGE,Exclude_MS,Reason ID_MS
456,2023.0,"Hardy, J.","Hardy, John C.; Ashcroft, Cody; Kay, Carl; Liane, Billy-Joe; Horn, Christian",Cureus,,PubMed,10.7759/cureus.43093,,Loose Screws: Removal Of Foreign Bodies From The Lower Gastrointestinal Tract,"While Both The American Society For Gastrointestinal Endoscopy (Asge) And The European Society Of Gastrointestinal Endoscopy (Esge) Have Released Guidelines On  The Management Of Ingested Foreign Bodies In The Upper Gastrointestinal (Gi)  Tract, Neither Has Addressed Indications Or Techniques For Endoscopic Removal Of  Foreign Bodies In The Lower Gi Tract, Perhaps Due To The High Likelihood Of  Foreign Body Passage Once The Foreign Body Has Reached The Lower Gi Tract. We  Present The Case Of A 45-Year-Old Woman Presenting To The Emergency Department  Following The Intentional Ingestion Of Multiple Screws And Nails, Complaining Of  Acute Abdominal Pain And Nausea. Imaging Revealed Four Nails In The Colon And Two  Adjacent Screws In The Distal Small Bowel. In The Absence Of Signs Of Acute  Obstruction Or Bowel Perforation, She Was Admitted For Expectant Management But  Subsequently Required Endoscopic Removal Of Two Retained Screws In The Lower Gi  Tract.",,False,,True,2.0
73,2002.0,"Moshfeghi, D.","Moshfeghi, Darius M.; Wilson, Matthew W.; Martin, Terry L.; Haik, Barrett G.",Ophthalmic Plastic And Reconstructive Surgery,,PubMed,10.1097/00002341-200205000-00011,,Swallowed Ocular Prostheses: Report Of Three Cases In Children With Retinoblastoma,Q1211,,False,,True,3.0
333,2020.0,"Mohammed, A.","Mohammed, Ayad Ahmad",International Journal Of Surgery Case Reports,,PubMed,10.1016/j.ijscr.2020.04.019,,Ingestion Of Huge Number Of Metallic Nails Impacted In The Stomach And Cecum In A Mentally Abnormal Woman: Case Report,"Background: Foreign Bodies May Be Ingested Unconsciously, Intentionally Or In Patients Who Have Psychological Abnormalities. The Majority Of Foreign Bodies Are  Passed Smoothly With No Problems If They Passed The Esophagus, However Some May  Be Lodged In Areas Of Anatomical Narrowing Which May Require Endoscopic Or  Surgical Intervention. Case Presentation: A 37-Year -Old Mentally Abnormal Woman  Presented To The Emergency Department Complaining From Abdominal Pain For 2 Days.  The Family Reported A History Of Ingestion Of Multiple Metallic Nails One Week  Before Presentation. Abdominal Examination Showed Generalized Tenderness And  Guarding. Plain Abdominal X-Ray Showed Multiple Metallic Nails In The Upper  Abdomen And The Right Lower Abdomen. Laparotomy Was Performed, One Of The Nails  Was Causing Perforation Of The Gastric Wall, Huge Number Of Metallic Nails Were  Extracted From The Stomach And Cecum, Appendectomy Was Performed. Conclusion:  Ingestion Of Sharp And Long Foreign Bodies Usually Requires Surgical  Intervention, After Surgery Close Observation And Psychological Consultation Is  Required To Prevent Repeated Ingestions.",,False,,True,3.0
204,2014.0,"Kim, A.","Kim, Andrew; Ahn, Kang-Min",Implant Dentistry,,PubMed,10.1097/id.0000000000000100,,Endoscopic Removal Of An Aspirated Healing Abutment And Screwdriver Under Conscious Sedation,"Purpose: Aspiration Of Foreign Bodies During Dental Treatment Is A Medical Emergency That Requires Prompt Removal. In This Study, Aspiration Of Screwdriver  And Healing Abutment Is Reported With Literature Review. Materials And Methods: A  26-Year-Old Male Patient Was Referred From A Local Dental Clinic With The  Suspicion Of Ingestion Of A Screwdriver And Healing Abutment During The  Second-Stage Surgery. The Patient Reported Symptoms Including Dyspnea, Cough, And  Foreign Body Sensation. On The Chest Radiograph, A Radiopaque Foreign Body  Resembling The Screwdriver And Healing Abutment Was Observed At The Right Mid  Lung. Results: Bronchoscopic Examination Using Flexible Cable Was Performed Under  Conscious Sedation, And Microforceps Were Used To Remove The Instruments.  Aspirated Screwdriver And Healing Abutment Were Removed Safely Under Intravenous  Sedation. The Patient Did Not Have Any Symptoms Associated With Lung Aspiration  After Removal Of The Foreign Body During Follow-Up Periods. Conclusion:  Bronchoscopic Removal Is The Most Recommended Procedure For Removal Of The  Aspirated Foreign Body. This Can Be Performed Under Conscious Sedation.  Precautions, Such As Tethering The Screwdriver, Are Recommended During Implant  Procedures.",,False,,True,3.0
55,1997.0,"Ozanne-Smith, A.","Ae Altmann, J Ozanne-Smith",Injury Prevention,"AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Google Scholar,10.1136/ip.3.3.176,https://injuryprevention.bmj.com/content/3/3/176.short,Non-Fatal Asphyxiation And Foreign Body Ingestion In Children 0-14 Years.,"Objectives: To Examine The Frequency And Nature Of Non-Fatal Asphyxiation And Foreign Body Ingestion Injuries Among Children In The State Of Victoria, Australia, And To Identify ...","OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify possible areas for prevention. METHODS: For children under 15 years, all Victorian public hospital admissions, July 1987 to June 1995, due to asphyxiation or 'foreign body entering through other orifice' (which includes ingestions), were reviewed. Emergency department presentations due to asphyxiation and foreign body ingestion provided information on circumstances of, and the type of foreign bodies involved in the injuries. RESULTS: The childhood average annual admission rate for asphyxiation was 15.1 per 100,000. Food related asphyxiation peaked in infants under 1 year, and declined to low levels by 3 years. The main foods involved were nuts, carrot, apple, and candy. The rate of non-food related asphyxiation was relatively constant to 3 years of age and then declined by 6 years. Mechanical suffocation was less common. The annual admission rate for 'foreign body entering through other orifice' was 31.7 per 100,000. These injuries peaked in 2-3 year olds then gradually declined. About 80% of these foreign body admissions were ingestions, with coins being the major object ingested. Admission rates for these causes remained constant over the eight years. Asphyxiation resulted in a higher proportion admitted and longer hospital stays. CONCLUSIONS: Prevention of suffocation and strangulation needs to focus on a safe sleeping environment and avoidance of ropes and cords, while foreign body asphyxiation and ingestion needs a focus on education of parents and child carers regarding age, appropriate food, risk of play with coins, and other small items. Legislation for toy small parts could be extended to those used by children up to the age of 5 years, and to other products marketed for children. Design changes and warning labels also have a place in prevention.",False,,True,3.0
320,2019.0,"Abbas, K.",K Abbas,Ec Paediatrics,"K Abbas - EC Paediatrics, 2019 - researchgate.net",Google Scholar,,https://www.researchgate.net/profile/ali-chaudhry-10/publication/364959034_ec_paediatrics_research_article_is_button_battery_more_dangerous_than_a_bullet/links/6361183d6e0d367d91e7b5df/ec-paediatrics-research-article-is-button-battery-more-dangerous-than-a-bullet.pdf,Is Button Battery More Dangerous Than A Bullet?,Objective: Button Battery In Digestive Tract Has Unpredictable Outcome Ranging From Harmless To Death Around The Globe. Despite Public Awareness Campaigns Its Incidence Is Increasing ...,"Objective: Button battery in digestive tract has unpredictable outcome ranging from harmless to death around the globe. Despite
public awareness campaigns its incidence is increasing with the passage of time. The purpose of this study is to highlight the severe
complications associated with it and to sensitize the community to participate in its prevention to avoid catastrophic outcomes.
Patients and Methods: This study included 47 patients. Protocol includes patient`s age, time of presentation, signs and symptoms
and relevant radiographic investigations. Button batteries were urgently removed under general anesthesia.
Results: The average follow up period is 3 months. Total 47 patients are included in this study. Three patients has BB in stomach and
below, twenty six had BB in cricopharynx and eighteen in hypopharynx. Two patients developed esophageal perforation. One patient
developed aortoesophageal fistula and died.
Conclusion: The mainstay of treatment is the early detection of button batteries. It should be urgently extracted out to avoid lethal
complications. Physician and parental education can significantly reduce the morbidity and mortality associated with its ingestion.
Electronic and print media should be utilized to develop awareness in the community.",False,,True,3.0
250,2016.0,"Konturek, A.","Adam Ga_Czy_Ski, Ewelina Ciepli_Ska, Aleksander Konturek",Polish Journal Of Surgery,"A Gałczyński, E Cieplińska, A Konturek - Polish Journal of Surgery, 2016 - ppch.pl",Google Scholar,10.1515/pjs-2016-0067,https://ppch.pl/api/files/view/69263.pdf,Habitual Intentional Foreign Body Ingestion–A Literature Review,Foreign Body Ingestion Is A Commonly Reported Clinical Problem. There Are No Data To Evaluate The Prevalence Of This Phenomenon In Poland. In The United States The Annual Death Rate ...,"Foreign body ingestion is a commonly re-
ported clinical problem. There are no data to
evaluate the prevalence of this phenomenon
in Poland. In the United States the annual
death rate due to foreign body ingestion is
estimated at up to 1500-2700 (1). In 80% of
cases foreign body ingestion is unintentional
and reported in children (2). Among adults
unintentional foreign body ingestion is re-
ported most commonly in the elderly and al-
cohol-dependent patients (3). Some literature
indicates that intentional foreign body inges-
tion among adults accounts for only 10% of all
cases (4), there are however studies suggesting
that intentional foreign body ingestion ac-
counts for up to 92% of all cases of foreign body
ingestion (5). Multiple retrospective studies
confirm consistently that intentional foreign
body ingestions are most commonly reported
in patients with psychiatric disorders, mental
impairment and in prison inmates (4-7).
Considering all cases together, the major-
ity of foreign bodies pass spontaneously,
10-20% require endoscopic intervention and
only 1% are removed surgically (3). Inten-
tional foreign body ingestion is associated
with much more severe consequences, which
require emergency medical intervention in up
to 76% of patients and surgery in 28% of pa-
tients (8).
Foreign body ingestion management de-
pends on the characteristics of the ingested
foreign body, such as: size, shape, presence of
sharp edges, its location, time from ingestion,
severity of clinical symptoms and development
of potential complications (5). on the other
hand the material the foreign body is made of
determines the usefulness of diagnostic tech-
niques (9, 10).
This literature review presents the extent
of intentional foreign body ingestion with re-
gard to risk group characteristics, usefulness
of imaging diagnostics, management options
and prevention of recurrence.",False,,True,3.0
450,2023.0,"Calini, G.","Calini, Giacomo; Ortolan, Naima; Battistella, Claudio; Marino, Marco; Bresadola, Vittorio; Terrosu, Giovanni",European Journal Of Gastroenterology & Hepatology,,PubMed,10.1097/meg.0000000000002602,,Endoscopic Failure For Foreign Body Ingestion And Food Bolus Impaction In The Upper Gastrointestinal Tract: An Updated Analysis In A European Tertiary Care  Hospital,"Objective: Harmfulness Of Foreign Body Ingestion And Food Bolus Impaction (Fbis) Varies According To Geographical Area, Population, Habits, And Diet. Therefore,  Studies May Not Draw Generalizable Conclusions. Furthermore, Data Regarding Fbis  Management In Europe Are Limited And Outdated. This Study Aimed To Analyze The  Endoscopic Management And Outcomes Of Fbis In An Italian Tertiary Care Hospital  To Identify Risk Factors For Endoscopic Failure. Methods: We Retrospectively  Reviewed Patients Who Underwent Upper Gastrointestinal Endoscopy For Fbis Between  2007 And 2017. Baseline, Clinical, Fbis, And Endoscopic Characteristics And  Outcomes Were Collected And Reported Using Descriptive Statistics And Logistic  Regression Analyses. Results: Of The 381 Endoscopies For Fbis, 288 (75.5%) Were  Emergent Endoscopy And 135 (35,4%) Included Underlying Upper Gastrointestinal  Conditions. The Study Population Included 44 Pediatric Patients (11.5%), 54  Prisoners (15.8%), And 283 Adults (74.2%). The Most Common Type And Location Of  Fbis Were Food Boluses (52.9%) And Upper Esophagus (36.5%), Respectively. While  Eight Patients (2.1%) Developed Major Adverse Events Requiring Hospital  Admission, The Remainder (97.9%) Were Discharged After Observation. No Mortality  Occurred. Endoscopic Success Was Achieved In 263 Of 286 (91.9%) Verified Fbis  Endoscopies. Endoscopic Failure (8.04%) Was Associated With Age, Bone, Disk  Battery, Intentional Ingestion, Razor Blade, Prisoners, And Stomach In The  Univariate Analysis. Multivariate Logistic Regression Revealed That Intentional  Ingestion Was Associated With Endoscopic Failure (Odds Ratio: 7.31; 95%  Confidence Interval = 2.06-25.99; P  = 0.002). Conclusion: Endoscopy For Fbis Is  Safe And Successful, With Low Hospital Admission Rate In Children, Prisoners, And  Adults. Intentional Ingestion Is A Risk Factor Of Endoscopic Failure.",,False,,True,3.0
431,2023.0,"King, A.","King, Audra L.; Velez, David R.; Ahmeti, Mentor",Cureus,,PubMed,10.7759/cureus.39448,,Surgical Management Of An Intentionally Ingested Vape Device Chronically Impacted Within The Duodenum Of An Adult Male,"Most Foreign Body Ingestion Cases Are Accidental In The Adult Population. Intentional Ingestion Of Foreign Bodies In Adults Is Typically Associated With  Psychiatric Disorders Or Developmental Delay. In Most Cases, Foreign Bodies Pass  Spontaneously Through The Gastrointestinal Tract Or Can Be Managed  Endoscopically. Rarely, Surgical Intervention Is Indicated. We Present A Unique  Case Of Surgical Management Of An Intentionally Ingested Vape Device That Was  Chronically Impacted Within The Duodenum Of An Adult Male Present For Six Weeks  Before Intervention Without Associated Perforation. The Foreign Object Was  Removed Via Exploratory Laparotomy With Duodenotomy And Primary Duodenorrhaphy  With An Uncomplicated Postoperative Course. There Are Only Two Previously  Reported Cases Of An Ingested Vape Device. One Was Managed By Observation, And  The Other Was Removed Endoscopically. There Are No Previously Reported Cases Of  An Ingested Vape Device That Required Surgical Management.",,False,,True,2.0
287,2018.0,"Temel..., H.","Hacer Ya_Ar Teke1, Muhammet Can2, Tlay Renklida_3, Nevriye Temel3, Asude Gkmen3",,"HY Teke, M Can, T Renklidağ, N Temel... - p-ISSN 1300-865X e ... - pdfs.semanticscholar.org",Google Scholar,10.17986/blm.2018241707,https://pdfs.semanticscholar.org/f469/fae31b6e729ea75d77e70608d5fd57e2a5b6.pdf,Baby Death Due To Esophagotracheal Fistula Created By An Alkaline Battery: A,There Is A Limited Number Of Case Presentations In Literature Related To Esophagus Burns And Complications As A Result Of Swallowing An Alkaline Battery. The Main Purpose Of This Case ...,"There is a limited number of case presentations in literature re-
lated to esophagus burns and complications as a result of swallow-
ing an alkaline battery. The main purpose of this case presentation
was to discuss the autopsy findings of late-developing complications
of swallowing an alkali battery in the light of the relevant literature.
On the chest radiography of a 9-month old baby with complaints
of vomiting for three days, an opacity was observed consistent with
a foreign body in the esophagus. Esophagoscopy was applied and
the swallowed battery was removed. On the fifth day after the opera-
tion, no complication has been observed to oral feeding was started
and on the following day the patient was discharged. Four days after
discharge, the patient was again brought to hospital with complaints
of blood in vomit and was again hospitalized with a diagnosis of
chemical esophageal burn. The patient died on the following day.
In the performed autopsy, findings of esophagotracheal fistula, cor-
rosive burn and gastrointestinal system bleeding were determined.
As the dimensions of an alkaline battery increase, the contact
surface increases and may this cause greater damage and toxicity. A
long contact period also increases the toxic effect of the battery. Ear-
ly diagnosis is essential to prevent late-developing complications.",False,,True,3.0
