id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
78,2003,"Kieffer, E.","Kieffer, E; Chiche, L; Gomes, D",Annals Of Surgery,,Web of Science,10.1097/01.sla.0000080828.37493.e0,,Aortoesophageal Fistula - Value Of In Situ Aortic Allograft Replacement,"Purpose: The Purpose Of This Report Is To Describe Our Experience In Management Of Aortoesophageal Fistulas (Aef) With Special Emphasis On The Value Of In Situ Aortic Allograft Replacement. Patients: Nine Patients Presenting With Aef Were Observed Between May 1988 And April 2002. There Were 4 Men And 5 Women With A Mean Age Of 54.3 Years (Range, 32-77 Years). Six Patients Presented Secondary Aef After Aortic Repair. Two Patients Presented Primary Aef After Rupture Of An Atherosclerotic Aneurysm Into The Esophagus. In The Remaining Patient, Aef Was Caused By Swallowing A Fishbone. In 6 Cases Involving True Aef With A Direct Communication Between The Aorta And Esophagus, Massive Exsanguinating Hematemesis Occurred. It Was Usually Preceded By Minor Sentinel Bleeding, Two Patients Presented Esophagoparaprosthetic Fistula (Eppf). One Patient Presented Primary Aef That Was Contained By A Large Thrombus In The Communication. The Clinical Picture In These 3 Patients Involved Severe Sepsis Without Hemorrhage. Results: Two Patients Died As A Result Of Massive Hemorrhage Before Assessment And Surgical Treatment Could Be Undertaken. One 77-Year-Old Woman Presenting Eppf Refused To Undergo Surgery And Died Because Of Infection. The Remaining 6 Patients Underwent Surgical Treatment With Various Outcomes. One Man Died During Thoracotomy Caused By Exsanguinating Hemorrhage. One Woman Presenting Eppf Was Treated By Exclusion Followed By Ascending Aorta To Abdominal Aorta Bypass Grafting, Removal Of The Prosthesis, Esophageal Exclusion, And Directed Esophageal Fistula. She Died Of Infection. The Other 4 Patients Were Treated By In Situ Aortic Allograft Replacement. The Damaged Esophagus Was Repaired By Using The Tha1 Technique In 1 Patient. In The Remaining 3 Cases Subtotal Esophagectomy Was Performed In Association With Cervical Esophagostomy, Ligation Of The Abdominal Esophagus, Gastrostomy, And Jejunostomy. One Patient Died Of Sepsis During The First 24 Hours After The Operation. The Other 3 Patients Underwent Secondary Esophagoplasty And Survived With No Further Sign Of Infection. Mean Duration Of Follow-Up In The Survivor Group Was 53 Months (Range, 15-95 Months). Overall 6 Patients, Including 3 That Did Not Undergo Surgical Treatment, Died And 3 Patients Survived. Conclusion: Our Experience Confirms That Aef Is A Rare But Catastrophic Disorder. In Situ Allograft Replacement Usually In Association With Subtotal Esophagectomy Appears To Be An Excellent Salvage Modality Whenever Emergency Surgery Is Feasible.",,,
55,1997,"Ozanne-Smith, A.","Ae Altmann, J Ozanne-Smith",Injury Prevention,"AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Google Scholar,10.1136/ip.3.3.176,https://injuryprevention.bmj.com/content/3/3/176.short,Non-Fatal Asphyxiation And Foreign Body Ingestion In Children 0-14 Years.,"Objectives: To Examine The Frequency And Nature Of Non-Fatal Asphyxiation And Foreign Body Ingestion Injuries Among Children In The State Of Victoria, Australia, And To Identify ...","OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify possible areas for prevention. METHODS: For children under 15 years, all Victorian public hospital admissions, July 1987 to June 1995, due to asphyxiation or 'foreign body entering through other orifice' (which includes ingestions), were reviewed. Emergency department presentations due to asphyxiation and foreign body ingestion provided information on circumstances of, and the type of foreign bodies involved in the injuries. RESULTS: The childhood average annual admission rate for asphyxiation was 15.1 per 100,000. Food related asphyxiation peaked in infants under 1 year, and declined to low levels by 3 years. The main foods involved were nuts, carrot, apple, and candy. The rate of non-food related asphyxiation was relatively constant to 3 years of age and then declined by 6 years. Mechanical suffocation was less common. The annual admission rate for 'foreign body entering through other orifice' was 31.7 per 100,000. These injuries peaked in 2-3 year olds then gradually declined. About 80% of these foreign body admissions were ingestions, with coins being the major object ingested. Admission rates for these causes remained constant over the eight years. Asphyxiation resulted in a higher proportion admitted and longer hospital stays. CONCLUSIONS: Prevention of suffocation and strangulation needs to focus on a safe sleeping environment and avoidance of ropes and cords, while foreign body asphyxiation and ingestion needs a focus on education of parents and child carers regarding age, appropriate food, risk of play with coins, and other small items. Legislation for toy small parts could be extended to those used by children up to the age of 5 years, and to other products marketed for children. Design changes and warning labels also have a place in prevention.",,
272,2017,"Agnihotry, A.","Agnihotry, A; Fedorowicz, Z; Nasser, M; Gill, Ks",Cochrane Database Of Systematic Reviews,,Cochrane,10.1002/14651858.cd006204.pub3,,Resorbable Versus Titanium Plates For Orthognathic Surgery,"Abstract - Background Recognition Of Some Of The Limitations Of Titanium Plates And Screws Used For The Fixation Of Bones Has Led To The Development Of Plates Manufactured From Bioresorbable Materials. Whilst Resorbable Plates Appear To Offer Clinical Advantages Over Metal Plates In Orthognathic Surgery, Concerns Remain About The Stability Of Fixation And The Length Of Time Required For Their Degradation And The Possibility Of Foreign Body Reactions. This Review Compares The Use Of Titanium Versus Bioresorbable Plates In Orthognathic Surgery And Is An Update Of The Cochrane Review First Published In 2007. Objectives To Compare The Effects Of Bioresorbable Fixation Systems With Titanium Systems Used During Orthognathic Surgery. Search Methods Cochrane Oral Health'S Information Specialist Searched The Following Databases: Cochrane Oral Health'S Trials Register (To 20 January 2017); The Cochrane Central Register Of Controlled Trials (Central; 2016, Issue 11) In The Cochrane Library (Searched 20 January 2017); Medline Ovid (1946 To 20 January 2017); And Embase Ovid (1980 To 20 January 2017). We Searched The Us National Institutes Of Health Ongoing Trials Register Clinicaltrials.Gov ( Clinicaltrials.Gov ; Searched 20 January 2017), And The  World Health Organization International Clinical Trials Registry Platform  (Searched 20 January 2017) For Ongoing Trials. No Restrictions Were Placed On The Language Or Date Of Publication When Searching The Electronic Databases. Selection Criteria Randomised Controlled Trials Comparing Bioresorbable Versus Titanium Fixation Systems Used For Orthognathic Surgery In Adults. Data Collection And Analysis Two Review Authors Independently Screened The Results Of The Electronic Searches, Extracted Data And Assessed The Risk Of Bias Of The Included Studies. We Resolved Disagreement By Discussion. Clinical Heterogeneity Between The Included Trials Precluded Pooling Of Data, And Only A Descriptive Summary Is Presented. Main Results This Review Included Two Trials, Involving 103 Participants, One Comparing Titanium With Resorbable Plates And Screws And The Other Titanium With Resorbable Screws. Both Studies Were At High Risk Of Bias And Provided Very Limited Data For The Primary Outcomes Of This Review. All Participants In One Trial Suffered Mild To Moderate Postoperative Discomfort With No Statistically Significant Difference Between The Two Plating Groups At Different Follow‐Up Times. Mean Scores Of Patient Satisfaction Were 7.43 To 8.63 (Range 0 To 10) With No Statistically Significant Difference Between The Two Groups Throughout Follow‐Up. Adverse Effects Reported In One Study Were Two Plate Exposures In Each Group Occurring Between The Third And Ninth Months. Plate Exposures Occurred Mainly In The Posterior Maxillary Region, Except For One Titanium Plate Exposure In The Mandibular Premolar Region. Known Causes Of Infection Were Associated With Loosened Screws And Wound Dehiscence With No Statistically Significant Difference In The Infection Rate Between Titanium (3/196), And Resorbable (3/165) Plates. Authors' Conclusions We Do Not Have Sufficient Evidence To Determine If Titanium Plates Or Resorbable Plates Are Superior For Fixation Of Bones After Orthognathic Surgery. This Review Provides Insufficient Evidence To Show Any Difference In Postoperative Pain And Discomfort, Level Of Patient Satisfaction, Plate Exposure Or Infection For Plate And Screw Fixation Using Either Titanium Or Resorbable Materials. Plain Language Summary Resorbable Versus Titanium Plates For Corrective Jaw Surgery Review Question Are Resorbable (Biodegradable) Plates Better Than Titanium (Metal) Plates For The Fixation Of Facial Bones After Corrective (Orthognathic) Jaw Surgery? Background Under‐ Or Overgrowth Of One Or Both Of The Jaw Bones Can Lead To Reduced Function And An Unattractive Facial Appearance, Either Of Which May Have Lasting And Significant Psychosocial Effects. Treatment Of Severe Cases May Require A Combination Of Orthodontic Appliances And Orthognathic (Corrective Jaw) Surgery. After Surgery The Cut Bone Needs To Be Immobilised To Ensure That Optimal Healing Takes Place. Titanium Plates Used For Fixation Are Recognised To Be The 'Gold Standard' But Recent Developments In Biomaterials Have Led To An Increased Use Of Bioresorbable Plates Or Screws For Corrective Jaw Surgery. The Use Of Bioresorbable Plates For The Fixation Of Facial Bones Might Appear To Reduce The Need For A Further Operation For The Removal Of Metal Plates. However, Whilst Resorbable Plates Do Appear To Offer Certain Advantages Over Metal Plates, Concerns Remain About The Stability Of Fixation, The Length Of Time Required For Their Resorption (Being Reabsorbed), The Possibility Of Foreign Body Reactions, And With Some Of The Technical Difficulties Experienced With Resorbable Plates. Study Characteristics We Included Two Studies That Analysed A Total Of 103 Participants. The Evidence In This Review Is Up To Date As Of 20 January 2017. Study Participants Were Adults Older Than 16 Years Of Age. One Study Compared Titanium With Resorbable Plates And Screws And The Other Titanium With Resorbable Screws. One Study Was Conducted In China, The Other In Germany. Key Results Both Studies Were At High Risk Of Bias And Provided Very Limited Data. We Do Not Have Sufficient Evidence To Determine If Titanium Plates Or Resorbable Plates Are Superior For The Fixation Of Bones After Corrective Jaw Surgery. This Review Provides Insufficient Evidence To Show Any Difference In Postoperative Pain And Discomfort, Level Of Patient Satisfaction, Plate Exposure Or Infection For Plate And Screw Fixation Using Either Titanium Or Resorbable Materials. Quality Of The Evidence Both Included Studies Were Assessed As Being At High Risk Of Bias And The Very Limited And Weak Evidence Was Of Very Low Quality.",,,
286,2018,"Wilcock, B.","B Grahn, R Peiffer, B Wilcock",,"B Grahn, R Peiffer, B Wilcock - 2018 - books.google.com",Google Scholar,,https://www.cabidigitallibrary.org/doi/full/10.5555/20193444833,Histologic Basis Of Ocular Disease In Animals,"Histologic Basis Of Ocular Disease In Animals Ist Ein Umfassendes Referenzwerk Zur Pathologie Der Augen Bei Einer Ganzen Reihe Von Tierarten, Ua Haustiere, Fische, Vögel Und ...","Histologic Basis of Ocular Disease in Animals is a comprehensive reference covering pathology of the eye in a spectrum of animal species, including domestic animals, fish, birds, and laboratory animals. With 464 pages the book highlights the following topics: fixation and processing of ocular tissues; general pathology of the eye; congenital anomalies; histopathology of ocular trauma; diseases of the eyelid, conjunctiva, lacrimal, and nasolacrimal systems; diseases of the cornea; diseases of the episclera and sclera; histologic manifestations of disorders of the uvea; histologic basis of glaucoma; histologic manifestations of acquired and inherited diseases of the lens; acquired diseases of the vitreous; histologic manifestations of retinal disease; acquired diseases of the optic nerve; acquired diseases of the orbit; and intraocular neoplasia.",,
63,1999,"Brady, S.","Brady, S. L.; Hildner, C. D.; Hutchins, B. F.",Dysphagia,,PubMed,10.1007/pl00009596,,Simultaneous Videofluoroscopic Swallow Study And Modified Evans Blue Dye Procedure: An Evaluation Of Blue Dye Visualization In Cases Of Known Aspiration,"The Reliability Of The Modified Evans Blue Dye (Mebd) Test For The Detection Of Aspirated Materials In Patients With Tracheostomy Has Been Questioned. The  Videofluoroscopic Swallow Study (Vfss) Has Been The Standard Procedure Used To  Detect Aspiration, But There Are Known Risks And The Vfss Is Not Always An  Available Evaluation Option For Aspiration Detection. The Purpose Of The Present  Study Was To Investigate The Visualization Of Blue Tracheal Secretions In Cases  Of Known Aspiration As Documented By The Vfss. Twenty Consecutive Simultaneous  Mebd Study And Vfss Were Completed On Patients With Tracheostomies At An Acute  Rehabilitation Hospital. Overall, The Mebd Showed A 50% False-Negative Error  Rate. The Mebd Identified Aspiration In 100% Of Patients Who Aspirated More Than  Trace Amounts But Failed To Identify Aspiration Of Trace Amounts (0%).",,,
182,2012,"Dipoce, J.","Dipoce, J; Guelfguat, M; Dipoce, J",Radiographics,,Web of Science,10.1148/rg.327125035,,Radiologic Findings In Cases Of Attempted Suicide And Other Self-Injurious Behavior,"Suicide Is One Of The Leading Causes Of Death In Multiple Age Groups. Therefore, It Is Important That Radiologists Be Aware Of This Commonly Encountered Entity. Attempted Suicide May Take A Variety Of Forms; Those Discussed By The Authors Include Sharp Force Injury, Immolation And Inhalation, Ingestion, Hanging, Firearm Use, Jumping From A Height, And Drowning. Certain Radiologic Findings Are Commonly Seen In Cases Of Attempted Suicide And Other Self-Injurious Behaviors. In Some Cases, Especially When The Patient Is Unconscious Or Is Unwilling To Provide A History, It May Not Be Apparent That Suicide Has Been Attempted Until Characteristic Imaging Findings Are Recognized. Correct Identification Of Suicide Attempts On The Basis Of Such Findings Will Ensure That These Patients Receive Appropriate Psychiatric Treatment. When A Suicide Attempt Is Unsuccessful, It Is Important To Be Familiar With The Complications That May Contribute To Delayed Mortality And Morbidity. The Radiologist Plays An Integral Role In The Acute Medical Or Surgical Management Of Patients Who Have Attempted Suicide. In Addition, Imaging Examinations May Provide Useful Forensic Information. (C) Rsna, 2012 . Radiographics.Rsna.Org",,,
30,1986,"Johnston, J.",Jfw Johnston,Journal Of Psychoactive Drugs,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Google Scholar,10.1080/02791072.1986.10471393,https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,The Narcotics We Indulge In. Part Ii,"In A Previous Number We Treated Of Tobacco And The Hop, The Two Narcotics Of The Most General And Acknowledged Use Among Our British Population. But There Are Many Others In ...",Abstract not available,,
117,2008,"Ćeranić, P.","P Skok, A Ocepek, D Ćeranić",Acta Medico-Biotechnica,"P Skok, A Ocepek, D Ćeranić - Acta medico-biotechnica, 2008 - journals.um.si",Google Scholar,10.18690/actabiomed.6 ,https://journals.um.si/index.php/amb/article/view/1293,The Role Of Emergency Endoscopy In Upper Git Foreign Body Extraction,Purpose: Foreign Bodies In The Upper Gastrointestinal Tract (Git) Rarely Cause Urgent Problems In Gastroenterology. The Purpose Of The Study Was To Assess The Percentage Of Patients In ...,"Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in whom urgent endoscopic investigation revealed true foreign bodies in the upper GIT and to evaluate the success of emergency endoscopic procedures. Methods: The study includes patients in whom urgent endoscopic investigations of the upper GIT were performed in the period 1 January 1994 to 1 May 2008. Results: 8552 patients were investigated, average age 60.6 years (SD17.1 years, range 1106 years), with 3276 (38 %) females and 5276 males (62 %). In 69 patients (0.8 %), true foreign bodies were detected in the esophagus or stomach. In these patients a total of 90 endoscopic investigations were performed: in 65/69 patients (94.2%) the foreign bodies were removed endoscopically; in 4 (5.8 %) cases the endoscopic procedures were unsuccessful. Among the foreign bodies removed were a variety metal or plastic objects, such as coins, keys, screws, hooks, batteries, razor blades, needles, lighters, buttons, and parts of kitchen, toilet or writing utensils. In patients with successful endoscopic removal of the objects, no significant complications were noted. In 4 patients (4/69, 5.8 %) mild hemorrhages from the region of the esophagogastric junction were observed. Conclusion: Endoscopic technologies allow successful removal of a variety of types of foreign bodies from the upper GIT. ",,
464,2024,"Park, K.","Park, Ki Bum; Nho, Woo Young; Yu, Byunghyuk; Park, Jungbae","Clinical Toxicology (Philadelphia, Pa.)",,PubMed,10.1080/15563650.2024.2330632,,Gastric Perforation After Polyurethane Foam Ingestion,"Introduction: Acute Intoxication Rarely Produces Conditions That Require Urgent Surgical Care. Case Summary: A 45-Year-Old Man Presented To The Emergency  Department With Severe Abdominal Pain After The Deliberate Ingestion Of 200 Cm(3)  Of Polyurethane Mixed With Methylene Diphenyl Diisocyanate And Urethane Primers.  On An Initial Laparoscopic Examination, Foreign Material Was Observed In The  Peritoneal Space With Haemoperitoneum. Emergency Exploration Was Then Undertaken  For Suspected Gastric Perforation. Full-Thickness Damage Was Identified On The  Stomach Wall During The Operation. The Material In The Gastrointestinal Tract And  Peritoneal Space Was Gently Removed. Moulded Casts Of The Entire Stomach And  Distal Oesophagus Were Extracted Successfully. The Patient Was Discharged 14 Days  After Surgery. Images: Computed Tomography Revealed Foreign Material Occupying  The Entire Gastric Chamber, As Well As Diffuse Gastric Perforation. Conclusions:  Life-Threatening Gastric Perforation Can Occur After Polyurethane Foam Ingestion.  Clinical/Medical Toxicologists And Emergency Physicians Need To Be Aware Of The  Highly Expandable Nature Of This Agent.",,,
336,2020,"Wang, K.","Wang, Kai; Zhang, Dan; Li, Xianling; Wang, Zengmeng; Hou, Guangjun; Jia, Xinjian; Niu, Huizhong; Qi, Shiqin; Deng, Qingqiang; Jiang, Bin; Bian, Hongqiang; Yang, Heying; Chen, Yajun",Bmc Pediatrics,,PubMed,10.1186/s12887-020-1990-9,,Multicenter Investigation Of Pediatric Gastrointestinal Tract Magnets Ingestion In China,"Purpose: To Describe The Incidence And Management Of Gastrointestinal Tract Buckyball Magnets Ingestions In A Multicenter Chinese Pediatric Patient  Population, And Discuss The Preventive Measures. Methods: Medical Records Of 74  Pediatric Patients From 9 Large Chinese Hospitals During The Past 10 Years, Who  Were Diagnosed As Buckyball Magnets Ingestion And Got Invasive Treatment, Were  Retrospectively Studied. The Follow-Up Was Through Telephone And Outpatient  Service To Estimate The Post-Surgery Condition. Information Collection Was  Through Online Questionnaire. Results: Among The 74 Cases, There Were 50 Boys  (68%) And 24 Girls (32%). The Median Age Was 36 (Interquartile Range (Iqr) 22-77)  Months, With A Range Of 7 Months To 11 Years, And It Showed Two Peaks, The First  Between 1 And 3 Years, And The Second Between 6 To 11 Years. The Annual Case  Number Showed A Sharp Increase Over Time, And The Total Case Number In The Last  2 Years (2017 And 2018) Showed A Greater Than 9-Fold Increase When Compared With  The First 2 Years (2013 And 2014). The Majority Of Ingestions Were Unintentional,  With Only 3 Patients Deliberately Swallowing The Buckyball Magnets. The Median  Time Of Ingestion Until The Onset Of Emergent Symptoms Was 2 (Iqr 1-5) Days, And  Ranged From 4 H To 40 Days. Twenty-One Patients Had No Symptoms, And The  Remaining Cases Presented With Abdominal Pain, Vomiting, Fever, Abdominal  Distension, Excessive Crying, Melena, And The Ceasing Of Flatus And Defecation.  Gastroscopy, Colonoscopy, Laparoscopic Surgery And Laparotomy Surgery Were  Performed In Accordance With The Algorithm From The North American Society Of  Pediatric Gastroenterology, Hepatology And Nutrition (Naspghan). Procedural And  Operative Findings Included Gastrointestinal Mucosa Erosion, Ischemia And  Necrosis, Perforation, And Abdominal Abscess, Fistula And Intestinal Obstruction.  The Median Number Of Buckyball Magnets Ingested Was 4 (Iqr 2-8), With A Range  From 1 To 39. During The Median Follow-Up Period Of 6 (Iqr 1-15) Months, 3  Patients Had Intestinal Obstruction, And One Underwent A Second Operation. The  Remaining 71 Patients Courses Were Uneventful During The Follow-Up Period. None  Of The 74 Patients Reported A Second Swallowing Of Foreign Bodies. Conclusions:  The Incidence Of Pediatric Gastrointestinal Tract Magnets Ingestion In China Is  Increasing. Management Of Such Patients Should Follow The Naspghan Algorithm.  Preventive Measures To Limit Children'S Access To Buckyball Magnets Should Be  Taken From Three Levels, Namely The National Administration, Producer, And  Consumer.",,,
