Study_ID,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
0,0,"Listed, N.",Yee A,,A Yee,Google Scholar,,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&inst=7421307413561760588&q=K9+Tactical+Emergency+Casualty+Care+a+yee&btnG=,K9 Tactical Emergency Casualty Care,,Abstract not available,True,4.0
1,1849,"Ri, Q.",Q RI,,Q RI - search.proquest.com,Google Scholar,,https://www.proquest.com/openview/eb41c2191c533ca1cb12666be281b98b/1?pq-origsite=gscholar&cbl=41361,"QUARTERLY SUMMARY OF THE IMPROVEMENTS AND DISCOVERIES IN THE MEDICAL SCIENCES.: ANATOMY AND PHYSIOLOGY. ORGANIC CHEMISTRY. MATERIA MEDICA AND PHARMACY. MEDICAL PATHOLOGY AND THERAPEUTICS, AND PRACTICAL MEDICINE. SURGICAL PATHOLOGY AND THERAPEUTICS, AND PRACTICAL SURGERY. OPHTHALMOLOGY. MIDWIFERY. CHOLERA. MEDICAL JURISPRUDENCE AND TOXICOLOGY. MISCELLANEOUS.","IMPR ovMENTs AND D 1scov ERIE s Page 1 QUARTE RI, Y SU MMARY OF ""THE IMPR ovMENTs AND D 1scov ERIE s IN THE MI EDICAL, SCIENCES . ANATOMY AND ...",Abstract not available,True,4.0
2,1883,"Howe, A.",AJ Howe,,AJ Howe - 1883 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=Ytbwai27-EMC&oi=fnd&pg=PR9&dq=A+Practical+And+Systematic+Treatise+On+Fractures+And+Dislocations+a+howe+1883&ots=ewjRr1KPpS&sig=kwjZ1Fue_VActBkABNAKBanP3eU&redir_esc=y#v=onepage&q=A%20Practical%20And%20Systematic%20Treatise%20On%20Fractures%20And%20Dislocations%20a%20howe%201883&f=false,A Practical And Systematic Treatise On Fractures And Dislocations,"37. Fracture of the shaft of the humerus...... PAGE. 123 124 38. Dressing for fracture of the shaft of the humerus............. 39. Diastasis, or separation of the lower epiphysis of the humerus.....",Abstract not available,True,2.0
3,1886,"Richardson, M.",MH RICHARDSON,The Boston Medical And Surgical Journal,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",Google Scholar,10.1056/NEJM188612161152403,https://www.nejm.org/doi/pdf/10.1056/nejm188612161152403,"A Case Of Gastrotomy. Digital Exploration Of sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at ...",Abstract not available,False,
4,1892,"Otologists, L.",L OTOLOGISTS,,L OTOLOGISTS - 1892 - cambridge.org,Google Scholar,10.1017/S1755146300162523 ,https://www.cambridge.org/core/journals/journal-of-laryngology-and-otology/article/association-meetings/d299ab7dffb53713a05750f7d0cf041a,Association Meetings.,"About twenty-five Belgian physicians comprised the meeting, which was presided over by Dr. Schiffers. Among the strangers present were Drs. Gouguenheim (Paris), Noquet (Lille), ...",Abstract not available,False,
5,1895,"Morrison, W.",WA MORRISON,The Boston Medical And Surgical Journal,"WA MORRISON - The Boston Medical and Surgical Journal, 1895 - Mass Medical Soc",Google Scholar,10.1056/NEJM189502071320604,https://www.nejm.org/doi/pdf/10.1056/nejm189502071320604,"The Value Of The Stomach-Tube In Feeding After Intubation, Based Upon Twenty-Eight Cases; Also Its Use In Post-Diphtheritic Paralysis","By this method I fed the child with the tube for four weeks, giving six ounces of cream, two ounces of brandy, three drops, three times a day, of tincture of uux vómica, and a digestive ...",Abstract not available,True,2.0
6,1901,"Roger, H.",H Roger,,H Roger - 1901 - books.google.com,Google Scholar,,https://books.google.com/books?hl=en&lr=&id=x78raaaayaaj&oi=fnd&pg=pa1&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=gzx7vpc-go&sig=-v1pc5c-qclk-kxqn_guzdzjitc,Introduction To The Study Of Medicine,"THE rapid and marvellous developments recently made along the lines of medical sciences have rendered the task of both teacher and student increasingly difficult. It is not strange, ...",Abstract not available,True,5.0
7,1907,"Killian, G.",G Killian,Annals Of Otology,"G Killian - Annals of Otology, Rhinology & Laryngology, 1907 - journals.sagepub.com",Google Scholar,10.1177/000348940701600201,https://journals.sagepub.com/doi/abs/10.1177/000348940701600201,Xx. The Treatment Of Foreign Bodies In The Respiratory Tract And Esophagus: An Address Delivered Before The American Laryngological. Rhinological And Otological ...,"The invitation of your President to deliver an address on the treatment of foreign bodies in the air-passages and esophagus is accepted with great pleasure, inasmuch as it relates to a ...",Abstract not available,False,
8,1913,"Lundberg, P.","PB Fontanarosa, GD Lundberg",,"PB Fontanarosa, GD Lundberg - academia.edu",Google Scholar,,https://d1wqtxts1xzle7.cloudfront.net/52883075/_5BDavid_W._Ramey__Bernard_E._Rollin_5D_Complementary_BookZZ.org-libre.pdf?1493539141=&response-content-disposition=inline%3B+filename%3DComplementary_and_Alternative_Veterinary.pdf&Expires=1736931407&Signature=Bt03do3z32VbKnOSmcszCVi~TpSGQNXtcsp50gPrGpuaen1RP0AIXnjk7130GisuEhTu7O65XPY~XJMYoNED7uXPZ0KqVlABsCXfc91N-19E5DR52tYoSKLRQ-Jh~pE71BzgKukLJUa-IOrH-9mxZGCNcyjRo-6o5bW2gIu01aMnQ4u~AU9H9vRHXlTyfsMofByZjTqbhOYRWy23SB-ZW49wYBVtsY6NooGbfLin2jlXI7R7h7RC0NKF3RCJ4vC91RZVdYcKGTxgj3ngpBP4ZCf9SurvSrBrcYWlg6gFf-WLmP~7DUNmibKsVBRIxjOSTV9vQWzsEJuBDLd8IxujEg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,"Complementary
and Alternative
Veterinary
Medicine
Considered","Now that I have spent 25 years teaching veterinary ethics and working closely with veterinarians in virtually every area of veterinary medicine, it seems appropriate to make some ...",Abstract not available,True,4.0
9,1915,"Jackson, C.",C Jackson,,C Jackson - 1915 - books.google.com,Google Scholar,10.1288/00005537-191707000-00009,https://books.google.com/books?hl=en&lr=&id=eva0aqaamaaj&oi=fnd&pg=pa11&dq=++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)++++++++++++++++++++++++&ots=ikdep_zegs&sig=bqezqzl_e7z3lhwvp-tf8mfxy0a,Peroral Endoscopy And Laryngeal Surgery,A number of repetitions of fundamental facts have been necessary in order to facilitate ready reference in the limited time available for the busy surgeon without perusing the entire book...,Abstract not available,True,2.0
