id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
3,1886,"Richardson, M.",Mh Richardson,The Boston Medical And Surgical Journal,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",Google Scholar,10.1056/NEJM188612161152403,https://www.nejm.org/doi/pdf/10.1056/nejm188612161152403,"A Case Of Gastrotomy. Digital Exploration Of Sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...","Many Cases Have Been Recorded Where Foreign Bod-Ies Have Become Lodged In The Oesophagus. The Most Common Seat Of Impaction Or Lodgement Is The Very Beginning Of The Tube, At ...",Abstract not available,False,,,,,,,,False,
4,1892,"Otologists, L.",L Otologists,,L OTOLOGISTS - 1892 - cambridge.org,Google Scholar,10.1017/S1755146300162523 ,https://www.cambridge.org/core/journals/journal-of-laryngology-and-otology/article/association-meetings/d299ab7dffb53713a05750f7d0cf041a,Association Meetings.,"About Twenty-Five Belgian Physicians Comprised The Meeting, Which Was Presided Over By Dr. Schiffers. Among The Strangers Present Were Drs. Gouguenheim (Paris), Noquet (Lille), ...",Abstract not available,False,,,,,,,,False,
7,1907,"Killian, G.",G Killian,Annals Of Otology,"G Killian - Annals of Otology, Rhinology & Laryngology, 1907 - journals.sagepub.com",Google Scholar,10.1177/000348940701600201,https://journals.sagepub.com/doi/abs/10.1177/000348940701600201,Xx. The Treatment Of Foreign Bodies In The Respiratory Tract And Esophagus: An Address Delivered Before The American Laryngological. Rhinological And Otological ...,"The Invitation Of Your President To Deliver An Address On The Treatment Of Foreign Bodies In The Air-Passages And Esophagus Is Accepted With Great Pleasure, Inasmuch As It Relates To A ...",Abstract not available,False,,,,,,,,False,
15,1925,"Richards, L.",L Richards,The Boston Medical And Surgical Journal,"L Richards - The Boston Medical and Surgical Journal, 1925 - Mass Medical Soc",Google Scholar,10.1056/NEJM192510221931702,https://www.nejm.org/doi/pdf/10.1056/nejm192510221931702,A Year Of Endoscopy,Has Of Lateyears Become Increasingly Serviceable Inthe Examination Of The Upper Respiratory And Alimentary Tracts. With The Progress In Efficiency Of The Instruments And The Technical ...,Abstract not available,False,,,,,,,,False,
21,1975,"Samson, R.","Rj Jones, Pc Samson",The Annals Of Thoracic Surgery,"RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",Google Scholar,10.1016/S0003-4975(10)64007-6,https://www.sciencedirect.com/science/article/pii/s0003497510640076,Esophageal Injury,The Medicolegal Literature Contains A Number Of References To Esophageal Injury. Certain Excerpts Dealing With Several Types Of Potential Actions Are Extracted: (1) Suits To Recover ...,"Abstract
The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover damages for esophageal perforation in which negligent endoscopy was claimed; (2) suits following endoscopic accidents in which lack of informed consent was claimed; and (3) suits for professional liability based on misdiagnosis, delayed diagnosis, or wrong treatment of esophageal perforation.
This review considers all possible modes of esophageal injury, based on a schema originally published in 1954 and more recently modified in 1970. For each category of injury there are detailed discussions of diagnosis and treatment. The best available knowledge of present-day modalities has been based on a survey of the literature for the past decade. When diverse methods of treatment were encountered, we have made comments consistent with our personal experience, when appropriate.",False,,,,,,,,False,
22,1976,"Kottmeier, P.",Pk Kottmeier,Current Problems In Pediatrics,"PK Kottmeier - Current problems in pediatrics, 1976 - Elsevier",Google Scholar,10.1016/S0045-9380(76)80004-7,https://www.sciencedirect.com/science/article/pii/s0045938076800047,What The Pediatrician Should Know About Pediatric Trauma,"To Study Incidence And Cause-And-Effect Relationship In Pediatric Trauma, We Reviewed All Accidental Deaths Which Occurred In Children Under The Age Of 13 Years From 1968 To 1972 In ...","Peter K. Kottmeier is Professor and Chief of Pediatric Surgery at Kings County-Downstate Medical Center, State University of New York. Doctor Kottmeier received his M.D. degree from the Medical University of Munich. After a four-year residency in pathology he obtained training in general and thoracic surgery at Downstate Medical Center and in pediatric surgery at Childrens Hospital (Ohio State University, Columbus), where he also received a Masters Degree in Medical Science. A founding member",False,,,,,,,,False,
23,1977,"Chasin, W.",Wd Chasin,Hospital Practice,"WD Chasin - Hospital Practice, 1977 - Taylor & Francis",Google Scholar,10.1080/21548331.1977.11707097,https://www.tandfonline.com/doi/abs/10.1080/21548331.1977.11707097,Pediatric Otolaryngologic Crises,"In The Second Article On Pediatric Otolaryngology, Speed Of Diagnosis Is Stressed As Vital To Prevent Permanent Aftereffects Such As Deafness Or Facial Paralysis. Aggressive Education Of ...","In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of parents in preventing emergencies is recommended.",False,,,,,,,,False,
24,1979,"Kruter, J.",Js Kruter,Issues In Comprehensive Pediatric Nursing,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Google Scholar,10.3109/01460867909110999,https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,A Comprehensive Nursing Approach To Pediatric Facial Injuries,"E. Sunburn It Is Important To Remember That Often These Categories Overlap. For Example, An Injury Resulting From A Purposeful Push Is An Intended Injury. A Flame Burn To A Child Who Was ...",Abstract not available,False,,,,,,,,False,
25,1982,"Putman, G.","Ge Newman, El Effman, Ce Putman",Current Problems In Diagnostic ...,"GE Newman, EL Effman, CE Putman - Current Problems in Diagnostic ..., 1982 - Elsevier",Google Scholar,10.1016/0363-0188(82)90028-7,https://www.sciencedirect.com/science/article/pii/0363018882900287,Pulmonary Aspiration Complexes In Adults,The Term Pulmonary Aspiration Complex Represents The Various Types Of Pulmonary Aspiration Based On The Nature Of The Material Aspirated. Pulmonary Aspiration Continues To Be An Ever...,"The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever-threatening clinical problem even though knowledge of lung defense mechanisms and predisposing factors of aspiration has been advanced to a point which allows identification of patients at risk of suffering pulmonary aspiration. The identification of patients at risk however has not permitted adequate preventive measures from being exercised. This problem persists in part because few of the predisposing factors are reversible or controllable to a degree which would preclude pulmonary aspiration. In addition, the clinical diagnosis of pulmonary aspiration is more often tentative than absolute and based on the clinical setting and changes demonstrated on serial chest radiographs. This situation emphasizes the role of the radiologist and his knowledge of radiographic findings in pulmonary aspiration in suggesting the diagnosis of pulmonary aspiration. The diagnosis may then be confirmed by additional chest radiographs or by bronchoscopy and the retrieval of the aspirated material.
An understanding of the pathophysiology of the types of pulmonary aspiration serves to increase the awareness of certain pulmonary complications from aspiration, to select appropriate diagnostic studies, and to institute specific therapy. However, the nature of the material aspirated by a patient may not be obvious initially unless the episode is witnessed and may only be determined in retrospect in some cases. Thus, radiologists play a primary role in the diagnosis of pulmonary aspiration. Frequently, radiologists must integrate the chest radiographic findings of pulmonary aspirationthe distribution, types of parenchymal opacities, and the expected temporal changes in these opacities, with the patient's clinical situation to establish a diagnosis of pulmonary aspiration (Tables 5, 6).
Until recently, therapy of pulmonary aspiration was standardized, pragmatic, and frequently lacked an understanding of the distinct types of pulmonary aspiration. Controversy still surrounds some aspects of therapy. Perhaps, with additional efforts.",False,,,,,,,,False,
26,1983,"Teplick, L.","Lr Goodman, Sk Teplick",Radiologic Clinics Of North America,"LR Goodman, SK Teplick - Radiologic Clinics of North America, 1983 - Elsevier",Google Scholar,10.1016/S0033-8389(22)01123-X,https://www.sciencedirect.com/science/article/pii/s003383892201123x,Computed Tomography In Acute Cardiopulmonary Disease,"With Increasing Experience And Better Equipment, The Role Of Thoracic Ct Is Rapidly Expanding. In Patients With Specific Clinical Problems Such As Outlined Above, Ct Is The Single Imaging ...","With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging examination most likely to give a definitive answer with a minimum of patient trauma. We anticipate that over the next few years the role of CT will expand in the diagnosis of specific acute mediastinal, parenchymal, and pleural diseases and will decrease in the evaluation of suspected vascular abnormalities, as digital angiography becomes more widely available.",False,,,,,,,,False,
27,1984,"Weher, A.",Al Weher,Otolaryngologic Clinics Of North America,"AL Weher - Otolaryngologic Clinics of North America, 1984 - Elsevier",Google Scholar,10.1016/S0030-6665(20)31989-7,https://www.sciencedirect.com/science/article/pii/s0030666520319897,Radiology Of The Larynx,Diseases Of The Larynx Cover A Wide Spectrum Of Different Entities That Are Investigated By Various Radiologic Techniques. The Indications For These Different Radiologic Examinations ...,"Diseases of the larynx cover a wide spectrum of difterent entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations depend on the clinical problems to be investigated. Their judicious application requires an understanding of the value and limitations of these various radiologic modalities. It is the purpose of this report to enumerate and discuss the different radiologic methods of examining the larynx, their indications, and interpretation of the roentgen-ographic findings. Evaluation of the patient's symptoms and indirect lar-yngoscopy form the basis for selection of the radiologic studies. Table 1 lists the number of techniques that are available for assessment of the larynx.",False,,,,,,,,False,
32,1988,"Strife, J.",Jl Strife,Radiologic Clinics Of North America,"JL Strife - Radiologic Clinics of North America, 1988 - Elsevier",Google Scholar,10.1016/S0033-8389(22)00987-3,https://www.sciencedirect.com/science/article/pii/s0033838922009873,Upper Airway And Tracheal Obstruction In Infants And Children,"The Radiologist Plays A Key Role In The Diagnosis Of Airway Obstruction In Children. Most Diagnoses Are Made On The Basis Of Plain Films. In More Complicated Or Complex Entities, Ct And ...","The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and MRI give excellent anatomic detail in defining the airway, associated soft tissues, and vascular relationships.",False,,,,,,,,False,
33,1989,"Bolte, J.","Je Schunk, H Corneli, R Bolte",American Journal Of Diseases Of ...,"JE Schunk, H Corneli, R Bolte - American Journal of Diseases of ..., 1989 - jamanetwork.com",Google Scholar,10.1001/archpedi.1989.02150170044017,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514589,Pediatric Coin Ingestions: A Prospective Study Of Coin Location And Symptoms,• Coins Are The Most Common Esophageal Foreign Body In Children. We Prospectively Evaluated 52 Consecutive Children Who Had Swallowed Coins To Determine The Incidence Of ...," Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of asymptomatic esophageal coins and the rate of spontaneous passage. All patients had a roentgenogram; coins were removed from the esophagus if the patient was symptomatic. Children with asymptomatic esophageal coins were allowed less than 24 hours to pass the coin to the stomach. Thirty children had esophageal coins; of these, 9 (30%) were asymptomatic. The presence of symptoms was significantly associated with esophageal coins, but the absence of symptoms did not reliably exclude the possibility of an esophageal coin. All children who swallow coins should undergo roentgenographic evaluation.",False,,True,3.0,False,,Unclear,Could well include intentional coin ingestion,False,
38,1992,"Clarkston, W.",Wk Clarkston,Postgraduate Medicine,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Google Scholar,10.1080/00325481.1992.11701481,https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,"Gastrointestinal Foreign Bodies: When To Remove Them, When To Watch And Wait","Preview Many Foreign Bodies Traverse The Gastrointestinal Tract Without Incident, But Others Require Immediate Endoscopic Or Surgical Removal. Which Types Of Objects Pose The Greatest ...","Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest risk, and how can they be safely removed? What is the appropriate way to handle sharp objects? Button batteries? Packets of cocaine? Dr Clarkston addresses these and other questions in this article.",False,,,,,,,,False,
