Study_ID,Publication Year,Author,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bib_Search_Complete,Publication Year_clean,Author_clean,Title_clean,Publication Title_clean
492,1941,"Macmanus, Joseph E.",Perforations of the intestine by ingested foreign bodies: Report of two cases and review of the literature,The American Journal of Surgery,Bibliography Search,1,9,0,0,,,14/04/2025 17:11,Historical review and case report. Does not report intention. ,,,,,10.1016/S0002-9610(41)90652-9,N,N,1941,"macmanus, joseph e.",perforations of the intestine by ingested foreign bodies: report of two cases and review of the literature,the american journal of surgery
493,1962,"Perelman, H.",Toothpick perforations of the gastrointestinal tract,The Journal of Abdominal Surgery,Bibliography Search,,,,,,,,,,,,,,,,,,,
494,1967,"Sloop, R. D.; Thompson, J. C.",Aorto-esophageal fistula: report of a case and review of literature,Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,,,,,
495,1969,"Johnson, Wilbur E.",On Ingestion of Razor Blades,JAMA,Bibliography Search,0,,,1,1,,14/04/2025 14:35,,Case Report,Single prisoner,"New Jersey State Prison Hospital, Trenton","Trenton, New Jersey, USA",10.1001/jama.1969.03160110135030,Y,N,1969,"johnson, wilbur e.",on ingestion of razor blades,jama
496,1969,"Schechter, D. C.; Gilbert, L.",Injuries of the heart and great vessels due to pins and needles,Thorax,Bibliography Search,1,2,0,,,,15/04/2025 10:26,Insertion of pins into thoracic wall,,,,,10.1136/thx.24.2.246,N,N,1969,"schechter, d. c.; gilbert, l.",injuries of the heart and great vessels due to pins and needles,thorax
497,1971,"Balch, Charles M.; Silver, Donald",Foreign Bodies in the Appendix,Archives of Surgery,Bibliography Search,1,2,0,0,0,,14/04/2025 16:07,No mention of deliberate cases,,,,,10.1001/archsurg.1971.01350010016004,N,N,1971,"balch, charles m.; silver, donald",foreign bodies in the appendix,archives of surgery
498,1974,"Witzel, L.; Scheurer, U.; Mühlemann, A.; Halter, F.",Removal of razor blades from stomach with fibreoptic endoscope,British Medical Journal,Bibliography Search,0,,0,1,1,,15/04/2024 10:39,,Case Report,Single prisoner,Department of Surgery,"Berne, Switzerland",10.1136/bmj.2.5918.539,Y,N,1974,"witzel, l.; scheurer, u.; m√ºhlemann, a.; halter, f.",removal of razor blades from stomach with fibreoptic endoscope,british medical journal
499,1977,"Devanesan, J.; Pisani, A.; Sharma, P.; Kazarian, K. K.; Mersheimer, W. L.",Metallic foreign bodies in the stomach,"Archives of Surgery (Chicago, Ill.: 1960)",Bibliography Search,0,,0,1,1,,15/04/2024 10:45,,Case Report,Single psychiatric inpatient,"New York Medical College-Metropolitan Hospital Center, New York","New York, USA",10.1001/archsurg.1977.01370050124025,Y,N,1977,"devanesan, j.; pisani, a.; sharma, p.; kazarian, k. k.; mersheimer, w. l.",metallic foreign bodies in the stomach,"archives of surgery (chicago, ill.: 1960)"
500,1977,"Neil, J. F.; Horn, T. L.; Himmelhoch, J. M.","Psychotic pica, nicotinism, and complicated myocardial infarction",Diseases of the Nervous System,Bibliography Search,,,,,,,,,,,,,,,,,,,
501,1978,"Nandi, P.; Ong, G. B.",Foreign body in the oesophagus: review of 2394 cases,The British Journal of Surgery,Bibliography Search,1,9,1,0,0,,15/04/2024 10:58,No mention of intention,Retrospective Chart Review,General population,Queen Mary Hospital,Hong Kong,10.1002/bjs.1800650103,N,N,1978,"nandi, p.; ong, g. b.",foreign body in the oesophagus: review of 2394 cases,the british journal of surgery
502,1980,"Ctercteko, G.; Mok, C. K.",Aorta-esophageal fistula induced by a foreign body: the first recorded survival,The Journal of Thoracic and Cardiovascular Surgery,Bibliography Search,,,,,,,,,,,,,,,,,,,
503,1982,"Danford, D. E.; Huber, A. M.",Pica among mentally retarded adults,American Journal of Mental Deficiency,Bibliography Search,,,,,,,,,,,,,,,,,,,
504,1982,"James, A. H.; Allen-Mersh, T. G.",Recognition and management of patients who repeatedly swallow foreign bodies,Journal of the Royal Society of Medicine,Bibliography Search,0,,1,1,1,,15/04/2025 11:35,,Retrospective Case Series,Mixed psychiatric and non-psychiatric,"Department of Surgery, Charing Cross Hospital,","London, UK",10.1177/014107688207500207,Y,N,1982,"james, a. h.; allen-mersh, t. g.",recognition and management of patients who repeatedly swallow foreign bodies,journal of the royal society of medicine
505,1983,"Ertan, A.; Kedia, S. M.; Agrawal, N. M.; Akdamar, K.",Endoscopic removal of a toothbrush,Gastrointestinal Endoscopy,Bibliography Search,1,2,0,1,0,,15/04/2025 11:45,"Non-intentional - ""swallowing a toothbrush during one of his seizure episodes""",Case Report,Single psychiatric patient,Tulane University School of Medicine,"New Orleans, Lousiana, USA",10.1016/s0016-5107(83)72564-2,N,N,1983,"ertan, a.; kedia, s. m.; agrawal, n. m.; akdamar, k.",endoscopic removal of a toothbrush,gastrointestinal endoscopy
506,1983,"Fishbain, D. A.; Rotondo, D. J.",Foreign body ingestion associated with delusional beliefs,The Journal of Nervous and Mental Disease,Bibliography Search,1,10,0,1,1,,15/04/2025 11:53,Does not report outcomes for individual ingestions.,Case Report,Single psychiatric prisoner,Miami School of Medicine,"Miami, Florida, USA",10.1097/00005053-198305000-00012,N,N,1983,"fishbain, d. a.; rotondo, d. j.",foreign body ingestion associated with delusional beliefs,the journal of nervous and mental disease
507,1983,"Roark, G D; Subramanyam, K; Patterson, M",Ingested foreign material in mentally disturbed patients,Southern medical journal,Bibliography Search,0,,,1,1,,10/04/2025 09:01,,Retrospective Case Series,Psychiatric patients,University of Texas,"Galveston, Texas, USA",10.1097/00007611-198309000-00015,Y,N,1983,"roark, g d; subramanyam, k; patterson, m",ingested foreign material in mentally disturbed patients,southern medical journal
508,1983,"Vizcarrondo, F. J.; Brady, P. G.; Nord, H. J.",Foreign bodies of the upper gastrointestinal tract,Gastrointestinal Endoscopy,Bibliography Search,1,,,0,0,,15/04/2025 12:09,"Mixed intentional, non-intentional and food bolus. No information on rates of intentional ingestion so unable to differentiate empirical data. Exclude.",Retrospective Chart Review,All patients with a foreign body of the upper gastrointestinal tract endoscopically,Tampa General Hospital and the James A. Haley Veterans Hospital,"Tampa, Florida, USA",10.1016/s0016-5107(83)72586-1,N,N,1983,"vizcarrondo, f. j.; brady, p. g.; nord, h. j.",foreign bodies of the upper gastrointestinal tract,gastrointestinal endoscopy
509,1984,"Gracia, C.; Frey, C. F.; Bodai, B. I.",Diagnosis and management of ingested foreign bodies: a ten-year experience,Annals of Emergency Medicine,Bibliography Search,0,,1,1,1,,15/04/2025 12:12,,Retrospective Chart Review,"Mixed population, adult and child with inteional and non-intentional ingestion","University of California, Davis, Medical Center","Davis, California, USA",10.1016/s0196-0644(84)80380-7,Y,N,1984,"gracia, c.; frey, c. f.; bodai, b. i.",diagnosis and management of ingested foreign bodies: a ten-year experience,annals of emergency medicine
510,1984,"Price, W. A.; Giannini, A. J.",Attempted suicide by ingestion of dentures,The Journal of Clinical Psychiatry,Bibliography Search,,,,,,,,,,,,,,,,,,,
511,1984,"Selivanov, V.; Sheldon, G. F.; Cello, J. P.; Crass, R. A.",Management of foreign body ingestion,Annals of Surgery,Bibliography Search,1,9,,0,0,,15/04/2025 13:23,,,,,,10.1097/00000658-198402000-00010,N,N,1984,"selivanov, v.; sheldon, g. f.; cello, j. p.; crass, r. a.",management of foreign body ingestion,annals of surgery
512,1986,"Adams, D. B.",Endoscopic removal of entrapped coins from an intraluminal duodenal diverticulum 20 years after ingestion,Gastrointestinal Endoscopy,Bibliography Search,1,9,,0,0,,15/04/2025 13:58,"Not explicitly intentional - ""ahistory of ingestion of aquarter 20 years previously was elicited.""",Case Report,,,,10.1016/s0016-5107(86)71926-3,N,N,1986,"adams, d. b.",endoscopic removal of entrapped coins from an intraluminal duodenal diverticulum 20 years after ingestion,gastrointestinal endoscopy
513,1986,"Bloom, R. R.; Nakano, P. H.; Gray, S. W.; Skandalakis, J. E.",Foreign bodies of the gastrointestinal tract,The American Surgeon,Bibliography Search,,,,,,,,,,,,,,,,,,,
514,1988,"Kirk, A. D.; Bowers, B. A.; Moylan, J. A.; Meyers, W. C.",Toothbrush swallowing,"Archives of Surgery (Chicago, Ill.: 1960)",Bibliography Search,1,2,,1,0,,15/04/2025 14:04,All accidental,Case Series,,,,10.1001/archsurg.1988.01400270122020,N,N,1988,"kirk, a. d.; bowers, b. a.; moylan, j. a.; meyers, w. c.",toothbrush swallowing,"archives of surgery (chicago, ill.: 1960)"
515,1988,"Paul, R. I.; Jaffe, D. M.",Sharp object ingestions in children: illustrative cases and literature review,Pediatric Emergency Care,Bibliography Search,1,2,1,1,0,,15/04/2025 14:06,Accidental,Review,,,,10.1097/00006565-198812000-00004,N,N,1988,"paul, r. i.; jaffe, d. m.",sharp object ingestions in children: illustrative cases and literature review,pediatric emergency care
516,1988,"Price, J.; Dewar, G.a.; Metreweli, Prof. C.",Airgun Pellet Appendicitis,Australasian Radiology,Bibliography Search,1,9,,0,0,,14/04/2025 16:08,Not explicitly intentional,Case Report,,,,10.1111/j.1440-1673.1988.tb02755.x,N,N,1988,"price, j.; dewar, g.a.; metreweli, prof. c.",airgun pellet appendicitis,australasian radiology
517,1988,"Webb, W. A.",Management of foreign bodies of the upper gastrointestinal tract,Gastroenterology,Bibliography Search,1,5,,0,0,,15/04/2025 14:12,"Review, no empirical evidence",Review,,,,10.1016/0016-5085(88)90632-4,N,N,1988,"webb, w. a.",management of foreign bodies of the upper gastrointestinal tract,gastroenterology
