"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7VWJBGR4","webpage","","","Frequent Deliberate Self-Harm: Repetition, Suicide and Cost after Three or More Years - C R Rodger, 1995","","","","","https://journals.sagepub.com/doi/abs/10.1177/003693309504000104","","","2025-03-12 15:31:06","2025-03-12 15:31:08","2025-03-12 15:31:06","","","","","","","","","","","","","","","","","","","","","","","/Users/jackgedge/Zotero/storage/452B2CT7/003693309504000104.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4U9LPE4","journalArticle","1990","Soong, C. V.; Harvey, C.; Doherty, M.","Self-mutilating behaviour and deliberate ingestion of foreign bodies","The Ulster Medical Journal","","0041-6193","","","","1990-10","2025-03-12 15:31:47","2025-03-12 15:31:47","","213-216","","2","59","","Ulster Med J","","","","","","","","eng","","","","","PubMed","","PMID: 2278122 PMCID: PMC2448293","","","http://www.ncbi.nlm.nih.gov/pubmed/2278122","","Humans; Adult; Male; Stomach; Radiography; Endoscopy; Foreign Bodies; Self Mutilation; Intellectual Disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T85ZC3LC","journalArticle","1982","James, A. H.; Allen-Mersh, T. G.","Recognition and management of patients who repeatedly swallow foreign bodies","Journal of the Royal Society of Medicine","","0141-0768","10.1177/014107688207500207","","Repeated swallowing of foreign bodies, in adults, is part of a syndrome comprising personality disorder, drug overdose, and other self-inflicted injuries. The management should be conservative, as in many cases the foreign body will pass naturally or can be left in the bowel, if necessary for several years. Surgical intervention should be reserved for the complications of perforation, severe haemorrhage and persistent complete bowel obstruction, or for the removal of a toxic substance from the bowel. Five cases are reported which illustrate the natural history and management of the problem.","1982-02","2025-03-12 15:32:53","2025-03-12 15:32:53","","107-110","","2","75","","J R Soc Med","","","","","","","","eng","","","","","PubMed","","PMID: 7069668 PMCID: PMC1437284","","/Users/jackgedge/Zotero/storage/HUTPLI46/James and Allen-Mersh - 1982 - Recognition and management of patients who repeate.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/7069668","","Humans; Adult; Female; Male; Adolescent; Stomach; Foreign Bodies; Deglutition; Intestines; Wounds, Penetrating; Self Mutilation; Compulsive Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4WQPK9V","journalArticle","1991","Karp, J. G.; Whitman, L.; Convit, A.","Intentional ingestion of foreign objects by male prison inmates","Hospital & Community Psychiatry","","0022-1597","10.1176/ps.42.5.533","","","1991-05","2025-03-12 15:33:23","2025-03-12 15:33:23","","533-535","","5","42","","Hosp Community Psychiatry","","","","","","","","eng","","","","","PubMed","","PMID: 2060920","","","http://www.ncbi.nlm.nih.gov/pubmed/2060920","","Humans; Adult; Male; Adolescent; Combined Modality Therapy; Hallucinations; Foreign Bodies; Prisoners; Personality Disorders; Digestive System; Schizophrenic Psychology; Suicide, Attempted; Pica; Adjustment Disorders; Homicide; Impulsive Behavior; Violence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8S3EXGAD","journalArticle","2024","","Bite the bullet: Lead poisoning after ingestion of 206 lead bullets","ResearchGate","","","","https://www.researchgate.net/publication/11770473_Bite_the_bullet_Lead_poisoning_after_ingestion_of_206_lead_bullets","Download Citation | Bite the bullet: Lead poisoning after ingestion of 206 lead bullets | A 45-y-o male with a history of schizophrenia was admitted to a local VA psychiatric unit. Five days later, endoscopy due to abdominal pain,... | Find, read and cite all the research you need on ResearchGate","2024-10-22","2025-03-12 15:37:41","2025-03-12 15:37:41","2025-03-12 15:37:41","","","","","","","Bite the bullet","","","","","","","en","","","","","www.researchgate.net","","","","/Users/jackgedge/Zotero/storage/VBPVNGNY/11770473_Bite_the_bullet_Lead_poisoning_after_ingestion_of_206_lead_bullets.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAF9ZEMC","journalArticle","2015","Upadhyay, Surjya Prasad; Zahir, Mohammad; Muttari, Hasan Al; Mallick, Piyush N.","A rare case of unusual migrated foreign bodies in kidney and their successful extraction using retrograde percutaneous nephrostomy","Qatar Medical Journal","","0253-8253, 2227-0426","10.5339/qmj.2015.7","https://www.qscience.com/content/journals/10.5339/qmj.2015.7","Foreign body ingestion is a common presentation in the emergency room and most cases are without any major symptoms, or go unnoticed and later cause severe complications that can potentially threaten patient life. We report a case of multiple migrated metallic foreign bodies in the right kidney presenting as right renal colic and gross haematuria one year after its accidental ingestion, treated successfully with retrograde percutaneous nephrostomy.","2015-04-15","2025-03-30 10:11:25","2025-03-30 10:11:28","2025-03-30 10:11:25","7","","1","2015","","","","","","","","","","en","","","","","www.qscience.com","","Publisher: Hamad bin Khalifa University Press (HBKU Press)","","/Users/jackgedge/Zotero/storage/CZU7UAE3/Upadhyay et al. - 2015 - A rare case of unusual migrated foreign bodies in .pdf; /Users/jackgedge/Zotero/storage/APBJXYQF/qmj.2015.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q37TSEHW","journalArticle","2020","Mohammed, Ayad Ahmad","Ingestion of huge number of metallic nails impacted in the stomach and cecum in a mentally abnormal woman: Case report","International Journal of Surgery Case Reports","","2210-2612","10.1016/j.ijscr.2020.04.019","","BACKGROUND: Foreign bodies may be ingested unconsciously, intentionally or in patients who have psychological abnormalities. The majority of foreign bodies are passed smoothly with no problems if they passed the esophagus, however some may be lodged in areas of anatomical narrowing which may require endoscopic or surgical intervention. CASE PRESENTATION: A 37-year -old mentally abnormal woman presented to the emergency department complaining from abdominal pain for 2 days. The family reported a history of ingestion of multiple metallic nails one week before presentation. Abdominal examination showed generalized tenderness and guarding. Plain abdominal X-ray showed multiple metallic nails in the upper abdomen and the right lower abdomen. Laparotomy was performed, one of the nails was causing perforation of the gastric wall, huge number of metallic nails were extracted from the stomach and cecum, appendectomy was performed. CONCLUSION: Ingestion of sharp and long foreign bodies usually requires surgical intervention, after surgery close observation and psychological consultation is required to prevent repeated ingestions.","2020","2025-03-30 10:17:58","2025-03-30 10:17:58","","60-63","","","70","","Int J Surg Case Rep","Ingestion of huge number of metallic nails impacted in the stomach and cecum in a mentally abnormal woman","","","","","","","eng","","","","","PubMed","","PMID: 32413769 PMCID: PMC7226636","","/Users/jackgedge/Zotero/storage/I8B2J6Y2/Mohammed - 2020 - Ingestion of huge number of metallic nails impacte.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32413769","","Endoscopy; Foreign bodies; Laparotomy; Acute abdomen; Metallic nails; Plain abdominal X-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KAUG3ZG","journalArticle","2021","AlMuhsin, Ahmed M.; Alsalman, Fatima; Bubshait, Ahmad; Hajar, Rami O. Abu; AlMuhsin, Ahmed M.; Alsalman, Fatima; Bubshait, Ahmad; Hajar, Rami O. Abu","Surgical Management of Massive Metal Bezoar","Cureus","","2168-8184","10.7759/cureus.12597","https://www.cureus.com/articles/49260-surgical-management-of-massive-metal-bezoar","Ingestion of foreign bodies is common within the pediatric population; in adults, it occurs more commonly in those with a psychiatric background. Diagnosis of such cases can be readily made based on plain abdominal X-rays. As reported, many foreign bodies pass through the gastrointestinal tract without complications, obstruction, bleeding, and perforation. The ultimate decision of the best management approach for such cases should be made based on the available expertise as well as the patient’s specific factors. Observation, endoscopic removal, and surgical intervention are all acceptable approaches in cases of metal foreign body ingestion. We report a case of a 29-year-old male patient brought to the emergency department following ingestion of multiple sharp nails. He underwent surgical exploration, which resulted in the retrieval of 73 metallic nails.","2021-01-09","2025-03-30 10:19:11","2025-03-30 10:19:11","2025-03-30 10:19:11","","","1","13","","","","","","","","","","en","","","","","www.cureus.com","","Publisher: Cureus","","/Users/jackgedge/Zotero/storage/DB3GMFIU/AlMuhsin et al. - 2021 - Surgical Management of Massive Metal Bezoar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUQSXXVZ","journalArticle","2023","Ngu, Natalie Lee Yee; Karp, Jadon; Taylor, Kirstin","Patient characteristics, outcomes and hospital-level healthcare costs of foreign body ingestion from an Australian, non-prison referral centre","BMJ Open Gastroenterology","","2054-4774","10.1136/bmjgast-2022-001087","https://bmjopengastro.bmj.com/content/10/1/e001087","Objective Foreign body ingestion (FBI) occurs infrequently but can be associated with rare risks including perforation. There is limited understanding of the impact of adult FBI in Australia. We aim to evaluate patient characteristics, outcomes and hospital costs of FBI. Design A retrospective cohort study of patients with FBI was performed at a non-prison referral centre in Melbourne, Australia. International Classification of Disease-10 coding identified patients with gastrointestinal FBI over financial years 2018–2021. Exclusion criteria were food bolus, medication foreign body, object in anus or rectum, or non-ingestion. Criteria for ‘emergent’ classification were oesophagus, size >6 cm, disc batteries, airway compromise, peritonitis, sepsis and/or suspected viscus perforation. Results Thirty-two admissions attributed to 26 patients were included. The median age was 36 years (IQR: 27–56), 58% were male and 35% had a prior psychiatric or autism spectrum disorder. There were no deaths, perforations or surgery. Gastroscopy was performed in 16 admissions and 1 was scheduled following discharge. Rat-tooth forceps were used in 31% and an overtube was used in 3 cases. The median time from presentation to gastroscopy was 673 minutes (IQR: 380–1013). Management was adherent to European Society of Gastrointestinal Endoscopy guidelines in 81%. After excluding admissions with FBI as a secondary diagnosis, median admission cost was $A1989 (IQR: $A643–$A4976) and total admission costs over the 3 years was $A84 448. Conclusion FBI in an Australian, non-prison referral centre is infrequent, can often be safely managed expectantly, and has limited impact on healthcare utilisation. Early, outpatient endoscopy could be considered for non-urgent cases, which may reduce costs while maintaining safety.","2023-02-01","2025-03-30 10:21:11","2025-03-30 10:21:11","2025-03-30 10:21:11","e001087","","1","10","","","","","","","","","","en","© Author(s) (or their employer(s)) 2023. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.. http://creativecommons.org/licenses/by-nc/4.0/This is an open access article distributed in accordance with the Creative Commons Attribution Non Commercial (CC BY-NC 4.0) license, which permits others to distribute, remix, adapt, build upon this work non-commercially, and license their derivative works on different terms, provided the original work is properly cited, appropriate credit is given, any changes made indicated, and the use is non-commercial. See: http://creativecommons.org/licenses/by-nc/4.0/.","","","","bmjopengastro.bmj.com","","Publisher: BMJ Specialist Journals Section: Endoscopy PMID: 36796876","","/Users/jackgedge/Zotero/storage/QE26MYIT/Ngu et al. - 2023 - Patient characteristics, outcomes and hospital-lev.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/36796876","","epidemiology; endoscopy; gastroscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EVZ7ZJ6","journalArticle","2023","Jin, Shengjian; Horiguchi, Taigo; Ma, Xiaolong; Yuan, Shichao; Liu, Qingguo","Metallic foreign bodies ingestion by schizophrenic patient: a case report","Annals of Medicine and Surgery","","2049-0801","10.1097/MS9.0000000000000497","https://journals.lww.com/annals-of-medicine-and-surgery/fulltext/2023/04000/metallic_foreign_bodies_ingestion_by_schizophrenic.130.aspx","Introduction and Importance:            The ingestion of foreign objects is a widespread health issue, with a higher occurrence in adults with psychosis.           Case Presentation:            The authors present the case of a 39-year-old man who arrived at the hospital with symptoms of abdominal distension and occasional black stools for a week. The patient was known to have schizophrenia but had not received regular hospital follow-up or treatment for the past 5 years. He had a history of exogenous stimulation, which led him to surreptitiously swallow metallic objects. Upon physical examination, he displayed abdominal distension and mild tenderness in the upper abdomen. Radiographs revealed multiple foreign objects in his stomach, leading to the decision for laparotomy, gastric opening, and removal of the foreign objects under general anesthesia.           Clinical Discussion:            Mental illnesses, including schizophrenia, bipolar disorder, major depression, and multiple substance abuse, are recognized as being significant risk factors for ingesting foreign bodies. In such cases, it is crucial to intervene quickly. For patients presenting with psychiatric symptoms, the involvement of family caregivers is of even greater importance than endoscopic or surgical treatments.           Conclusion:            Foreign body ingestion is more prevalent in individuals with psychosis, highlighting the importance of ongoing care and follow-up for patients with mental illness.","2023-04","2025-03-30 10:22:52","2025-03-30 10:22:52","2025-03-30 10:22:52","1270","","4","85","","","Metallic foreign bodies ingestion by schizophrenic patient","","","","","","","en-US","","","","","journals.lww.com","","","","/Users/jackgedge/Zotero/storage/UNQQD4FS/Jin et al. - 2023 - Metallic foreign bodies ingestion by schizophrenic.pdf; /Users/jackgedge/Zotero/storage/TRLLHEDK/metallic_foreign_bodies_ingestion_by_schizophrenic.130.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
