"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IDBMLS5S","journalArticle","2023","Jaini, Paresh A.; Haliburton, James; Rush, A. John","Management challenges of recurrent foreign body ingestions in a psychiatric patient: A case report","Journal of Psychiatric Practice","","1527-4160","10.1097/PRA.0000000000000694","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-57644-011&site=ehost-live","Intentional foreign body ingestions (FBIs) are commonly seen in adult patients with intellectual disabilities, substance use, severe psychiatric conditions, or external motivations, but these cases are rarely reported in the psychiatric literature. We present the case of a patient with an extensive history of FBIs and suicide attempts and a multitude of psychiatric diagnoses including borderline personality disorder, major depressive disorder, posttraumatic stress disorder from significant abuse in foster care, obsessive-compulsive disorder, and pica. During the single hospitalization described in this report, she had multiple incidents of self-harm, aggression, and 9 FBIs. A multidisciplinary team involving psychiatry, emergency medicine, gastroenterology, surgery, internal medicine, nursing, social work, behavioral health technicians, case management, chaplain, the legal department, police officers, and hospital maintenance was necessary for care coordination. Interventions included 8 endoscopies and an abdominal surgery to retrieve swallowed foreign bodies, pain management, psychopharmacological and psychotherapeutic interventions for agitation, and environmental precautions to minimize the risk of ingestion. Ultimately, to prevent further trauma and limit additional opportunities for FBI, a collaborative decision was made with the patient to discharge her to her home with outpatient psychologist and psychiatrist support. This case describes the complexities of hospital management of a patient with intentional recurrent FBI, highlighting the importance of a critical assessment of risk versus benefit for prolonging hospitalization. Development of practical management protocols and risk assessments for continued hospitalization is necessary for patients with recurrent intentional FBIs. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","2023-03","2024-12-18 05:06:23","2024-12-18 05:06:23","","167-173","","2","29","","Journal of Psychiatric Practice","","","","","","","","","","","psyh","2023-57644-011","EBSCOhost","","Publisher: Lippincott Williams & Wilkins","","","","Attempted Suicide; Case Management; Consultation Liaison Psychiatry; consultation-liaison psychiatry; foreign body ingestion; Intervention; Nonsuicidal Self-Injury; parasuicidal behaviors; pica; Pica; Psychiatric Hospitalization; Psychiatric Patients; self-harm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7VVA29C","journalArticle","2019","Robertson, Alexander R.","Self‐harm by sharp foreign body ingestion","Suicide and Life-Threatening Behavior","","0363-0234","10.1111/sltb.12474","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-29144-001&site=ehost-live","Objective: Ingestion of sharp foreign bodies is a less frequently encountered method of self-harm. This study aims to follow up patients presenting with foreign body (FB) ingestion requiring urgent endoscopic intervention under general anaesthetic in theatre, characterise each patient and establish whether admission or removal of the FB promotes further self-harm. Method: Eleven adult patients, totalling 38 presentations over a 28-month period were identified. Each was followed up from an initial presentation requiring endoscopy. Result: 9/11 (81.9%) where transferred either from prison or psychiatric care with an extensive history of multimodal and usually violent self-harm. Of these 8/9 (88.9%) had a formal psychiatric diagnosis linked to their previous self-harm. Objects retrieved included pens, razor blades, cutlery, wiring, batteries, a metal screw and a TV aerial. The median time between presentations with self-harm was 11 days. Those discharged from the emergency department re-presented after a median of 7.5 days. This was longer, at 14 days, if admitted to hospital; with those having endoscopic procedures re-presenting after a median of 11 days. Conclusions: Inpatient endoscopic removal of the FB was not associated with an earlier presentation with further self-harm when compared with discharge straight form A+E, but was frequently repeated, often in a characterised manner. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2019-06","2024-12-18 05:06:24","2024-12-18 05:06:24","","735-738","","3","49","","Suicide and Life-Threatening Behavior","","","","","","","","","","","psyh","2018-29144-001","EBSCOhost","","Publisher: Wiley-Blackwell Publishing Ltd.","","","","Adult; Attempted Suicide; Emergency Service, Hospital; endoscopy; Female; Foreign Bodies; foreign object ingestion; Humans; Ingestion; Intervention; Male; Mental Disorders; Nonsuicidal Self-Injury; Prisoners; Prisons; Self-Injurious Behavior; self‐harm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FH6NGWAY","journalArticle","2023","Kaazan, P.; Seow, W.; Tan, Z.; Logan, H.; Philpott, H.; Huynh, D.; Warren, N.; McIvor, C.; Holtmann, G.; Clark, S. R.; Tse, E.","Deliberate foreign body ingestion in patients with underlying mental illness: A retrospective multicentre study","Australasian Psychiatry","","1039-8562","10.1177/10398562231189431","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2024-18582-013&site=ehost-live","Objective: Deliberate foreign body ingestion (DFBI) is characterised by recurrent presentations among patients with mental health conditions, intellectual disabilities and in prisoners. We aimed to profile the characteristics and evaluate the care of such patients in this study. Methods: Adult patients with an endoscopic record of attempted foreign body retrieval between January 2013 and September 2020 were identified at three Australian hospitals. Those with a documented mental health diagnosis were included and their standard medical records reviewed. Presentation history, demographics, comorbidities and endoscopic findings were recorded and described. Results: A total of 166 admissions were accounted for by 35 patients, 2/3 of which had borderline personality disorder (BPD). Repetitive presentations occurred in more than half of the cohort. There was an increased trend of hospital admissions throughout the years. At least half of the cohort had a documented mental health review during their admission. An average of 3.3 (2.9) foreign bodies were ingested per single episode. Endoscopic intervention was performed in 76.5% of incidents. The combined Length of stay for all patients was 680 days. Conclusion: Deliberate foreign body ingestion in mental health patients is a common, recurring and challenging problem that is increasing in frequency and requires collaborative research to further guide holistic management. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","2023-10","2024-12-18 05:06:24","2024-12-18 05:06:24","","619-624","","5","31","","Australasian Psychiatry","","","","","","","","","","","psyh","2024-18582-013","EBSCOhost","","Publisher: Sage Publications","","","","Borderline personality disorder; Borderline Personality Disorder; foreign body ingestion; Ingestion; Mental Disorders; Mental Health; Mentally Ill Offenders; Neurodevelopmental Disorders; Personality disorders; Symptoms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPRMGNFV","journalArticle","2011","Poynter, Brittany A.; Hunter, Jon J.; Coverdale, John H.; Kempinsky, Cheryl A.","Hard to swallow: A systematic review of deliberate foreign body ingestion","General Hospital Psychiatry","","0163-8343","10.1016/j.genhosppsych.2011.06.011","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-21449-016&site=ehost-live","Objective: Deliberate foreign body ingestion (DFBI) is often impulsively driven, repetitive and refractory to intervention and frequently necessitates multiple medical interventions. As such, the frustrations among health care providers are great, and the financial toll on health care is significant. Nevertheless, the literature on DFBI is sparse, and suggestions for treatment planning and management are limited. The authors sought to investigate and uncover efficacious treatments and strategies for preventing reoccurrence in DFBI. We build on earlier work by offering both broad and diagnosis-specific management strategies. Method: A literature review was performed addressing the presentation, management and prevention of reoccurrences of DFBI. Four cases of DFBI are presented illustrating those psychiatric diagnoses (psychosis, malingering, obsessive–compulsive disorder and borderline personality disorder) most frequently encountered in hospital practice. Both broad and specific treatment approaches are presented. Results: Patients engaging in DFBI are best managed through a multidisciplinary approach, following acute medical management. Successful strategies for the prevention of reoccurrences of DFBI are inconclusive. Conclusion: Understanding the function of this behavior is critical in developing treatment for patients who engage in these dangerous, potentially life-threatening, self-injurious behaviors. An amalgam of medical, pharmacological and cognitive–behavioral interventions is recommended, as is additional research. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2011-09","2024-12-18 05:06:24","2024-12-18 05:06:24","","518-524","","5","33","","General Hospital Psychiatry","","","","","","","","","","","psyh","2011-21449-016","EBSCOhost","","Publisher: Elsevier Science","","","","deliberate foreign body ingestion; diagnosis; Diagnosis; Eating; efficacious treatments; Female; Foreign Bodies; Health Care Costs; Humans; Ingestion; Male; Mental Disorders; Nonsuicidal Self-Injury; Self-Injurious Behavior; swallowing; Swallowing; Treatment Effectiveness Evaluation; Treatment Outcome; treatment strategies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMK9FULW","journalArticle","2013","Navinés, Ricard; Gutierrez, Fernando; Arranz, Belen; Moreno-España, Jose; Ímaz, María Luisa; Soler, Victoria; Vázquez, Mireia; Pascual, Juan Carlos; Martín-Santos, Rocío; Kahn, David A.","Long-term and bizarre self-injurious behavior: An approach to underlying psychological mechanisms and management","Journal of Psychiatric Practice","","1527-4160","10.1097/01.pra.0000426329.34149.b6","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-02999-008&site=ehost-live","Repeated self-harm usually presents with associated psychopathology, mostly in the form of obsessive-compulsive disorder, malingering, or personality disorders, and may persist for many years. This case presentation focuses on self-harm involving the deliberate ingestion of foreign bodies. This behavior remains poorly understood, and the relevant literature focuses almost entirely on gastroenterological and surgical management, with little or no discussion of underlying psychological mechanisms, psychopathology, or psychotherapeutic intervention. The goal of this article is to begin to fill that gap by presenting the case of a young woman who was diagnosed with borderline personality disorder and followed for 20 years, who repeatedly swallowed objects as a form of self-harming behavior. The nosological status and possible functions of this behavior are discussed, as are the difficulties of caring for patients with such long-standing, repeated self-injury. This case illustrates how the boundaries between different self-injurious behaviors are blurred and also how different self-injurious behaviors are likely to share common patterns, functional integrity, and meanings. It should also serve to remind us how far we have to go in terms of understanding, classifying, and successfully treating certain patients who present with long-term and bizarre self-injurious behavior. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2013-01","2024-12-18 05:06:24","2024-12-18 05:06:24","","65-71","","1","19","","Journal of Psychiatric Practice","","","","","","","","","","","psyh","2013-02999-008","EBSCOhost","","Publisher: Lippincott Williams & Wilkins","","","","Adult; borderline personality disorder; Borderline Personality Disorder; deliberate ingestion; disease management; Disease Management; Female; Foreign Bodies; gastroenterological treatment; Humans; Nonsuicidal Self-Injury; psychopathology; Psychopathology; self-harm; self-injurious behavior; Self-Injurious Behavior; Suicide, Attempted; surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCQSLZEZ","journalArticle","2018","Tanimoto, C.; Yayama, S.; Suto, S.; Matoba, K.; Kajiwara, T.; Inoue, M.; Endo, Y.; Yamakawa, M.; Makimoto, K.","Self-harm and suicide attempts in a Japanese psychiatric hospital","East Asian Archives of Psychiatry","","2078-9947","","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-22650-004&site=ehost-live","Objective: Self-harm and attempted suicide are risk factors for suicide in psychiatric hospital in-patients. This study aimed to analyse the circumstances of self-harm and suicide attempts in a Japanese psychiatric hospital so as to improve management and care. Methods: Incident reports of self-harm and suicide attempts during a 12.4-year period from November 2000 to March 2013 were reviewed. A descriptive analysis was conducted in terms of age, sex, and diagnosis of patients, as well as level, ward, situations, and causes of incidents. Results: During the study period, 90 cases of self-harm and attempted suicide involving 58 patients were reported. The rate of self-harm and suicide attempts was 0.05 per 1000 patient-days. The types of self-harm and suicide attempts included hanging (n = 25), wrist cutting (n = 19), ingestion of foreign objects (n = 17), and others (n = 29). The single case of completed suicide involved hanging, in a patient with schizophrenia. Among 55 patients with relevant data, the most common clinical diagnosis was mood disorder (41.8%), followed by schizophrenia (36.4%). Mood disorder was 3.5 times as prevalent in females as in males (14 vs. 4). Fourteen patients with mood disorder (n = 8) or schizophrenia (n = 6) were repeatedly involved in 46 of 89 cases of self-harm or attempted suicide; 11 were female. One woman with mood disorder attempted suicide 9 times within the same year. The top 3 management and care factors related to self-harm and suicide attempts were failure to adhere to preventive procedures (28%), insufficient therapeutic communication (28%), and difficulty in predicting suicide (20%). Conclusion: Self-harm and suicide attempts at this psychiatric hospital occurred at a rate of 0.05 per 1000 patient-days between late 2000 and early 2013. Efforts are needed to increase compliance with suicide prevention procedures and therapeutic communication, so as to improve management and care of psychiatric in-patients and prevent them from committing suicide. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2018-03","2024-12-18 05:06:24","2024-12-18 05:06:24","","23-27","","1","28","","East Asian Archives of Psychiatry","","","","","","","","","","","psyh","2018-22650-004","EBSCOhost","","Publisher: Hong Kong Academy of Medicine","","","","Adult; Attempted Suicide; Comorbidity; Female; Hospitals, Psychiatric; Humans; Japan; Male; Middle Aged; Mood Disorders; Nonsuicidal Self-Injury; Prevalence; Psychiatric Hospitals; Psychiatric Nurses; psychiatric nursing; Risk Factors; risk management; Risk Management; Schizophrenia; Self-Injurious Behavior; self-injurious behaviour; Sex Factors; suicide; Suicide, Attempted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHSRXUAF","book","2012","Walsh, Barent W.","Treating self-injury: A practical guide, 2nd ed","","978-1-4625-0539-5","","","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-19591-000&site=ehost-live","This practitioner resource is acclaimed for its clear, compassionate, and hopeful approach to working with clients who self-injure. Barent W. Walsh provides current, evidence-based knowledge about this increasingly prevalent problem and how to treat it effectively. Fully revised to incorporate the latest research and clinical strategies, the second edition uses a stepped-care framework to match interventions to client needs. It features new chapters on the relationship between suicide and self-injury; formal assessment; family therapy; residential treatment for adolescents; and severe types of self-injury. Walsh is joined by several colleagues who have contributed chapters in their respective areas of expertise. Part I offers a practical introduction to self-injury: what specific behaviors clinicians are likely to encounter, which populations are most at risk and why, and connections to suicidality. Part II, the core of the volume, addresses assessment and treatment. Chapters on a wide range of cognitive-behavioral interventions include vivid case examples that illuminate the thoughts and feelings of self-injurers and show what the therapeutic strategies look like in action. Clinicians get essential guidance for tailoring interventions for clients with different symptom presentations, levels of impairment, and co-occurring problems. Part III covers special topics, including managing self-injury in school settings and correctional facilities. Chapters also present vital information on dangerous behaviors such as the 'choking game,' foreign body ingestion, and major self-injury. Rounding out the volume, the appendices contain helpful resources, including assessment instruments and a manual for teaching breathing techniques to manage distress. These and other reproducible materials in the book can be downloaded and printed in a convenient 8 1/2' x 11' size (www.guilford.com/p/walsh5). From a highly regarded leader in the field, this invaluable guide belongs on the desks of clinical psychologists, psychiatrists, counselors, and clinical social workers treating adolescents and adults, as well as graduate students and trainees across the mental health disciplines. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2012","2024-12-18 05:06:24","2024-12-18 05:06:24","","","","","","","","","","","","","The Guilford Press","New York, NY","","","","psyh","2012-19591-000","EBSCOhost","","","","","","assessment; clinicians; Clinicians; Cognitive Behavior Therapy; cognitive-behavioral interventions; Diagnosis; Intervention; Measurement; Nonsuicidal Self-Injury; self-injury; treatment; Treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPTGT3RT","journalArticle","2018","Jarmon, Eric; Vieux, Ulrick","Deliberate foreign body ingestion","Psychiatric Annals","","0048-5713","10.3928/00485713-20180906-01","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-56877-005&site=ehost-live","Presents a case report of a 37-year-old man with a history of schizoaffective disorder, antisocial personality traits, small bowel obstruction, and multiple endoscopies and exploratory laparotomies was brought to the emergency department (ED) by two correctional officers from a local forensic psychiatric hospital. According to one of the correctional officers, the patient was observed earlier in a remote part of the courtyard at the psychiatric hospital arms wrapped around his abdomen. The officer requested that an abdominal X-ray be ordered due to patient’s history of swallowing unknown objects. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2018-10","2024-12-18 05:06:24","2024-12-18 05:06:24","","485-487","","10","48","","Psychiatric Annals","","","","","","","","","","","psyh","2018-56877-005","EBSCOhost","","Publisher: SLACK","","","","Antisocial Behavior; antisocial personality traits; Colon Disorders; foreign body ingestion; Ingestion; schizoaffective disorder; Schizoaffective Disorder; small bowel obstruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWBTBBH6","journalArticle","2012","Klein, Carolina A.","Intentional ingestion and insertion of foreign objects: A forensic perspective","Journal of the American Academy of Psychiatry and the Law","","1093-6793","","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-10200-015&site=ehost-live","Intentional ingestion and insertion of foreign objects is a topic that has generated mounting interest among medical professionals over the past two decades. When featured in the literature, it has been typically discussed in medical subdisciplines, such as emergency medicine, surgery, gastroenterology, and urology. However, in-depth exploration of this multidimensional phenomenon in the field of psychiatry has thus far been limited. This article presents illustrative clinical vignettes from forensic practice of deliberate ingestion/insertion of objects and then examines specific aspects of this behavior that are critical to achieving a better understanding of it. The clinical, legal, and ethics-related implications surrounding this conduct are also explored. By taking a comprehensive approach, the aim is to foster a greater appreciation of this syndrome by clinicians and ultimately to arrive at improved practice guidelines surrounding these cases, including a more informed therapeutic plan and an enhanced management approach. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2012-01-01","2024-12-18 05:06:24","2024-12-18 05:06:24","","119-126","","1","40","","Journal of the American Academy of Psychiatry and the Law","","","","","","","","","","","psyh","2012-10200-015","EBSCOhost","","Publisher: American Academy of Psychiatry & the Law","","","","Adult; Anxiety Disorders; Behavior Therapy; Combined Modality Therapy; Comorbidity; Confidentiality; Cross-Sectional Studies; Drug and Narcotic Control; Ethics, Medical; Expert Testimony; Factitious Disorders; Foreign Bodies; foreign objects; forensic evaluation; Forensic Evaluation; Forensic Psychiatry; Health Personnel; Humans; Ingestion; Intention; intentional ingestion; Male; Mental Disorders; Middle Aged; Motivation; psychiatry; Psychotic Disorders; Psychotropic Drugs; Self-Injurious Behavior; Suicidal Ideation; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7K6LVHI","journalArticle","1995","Marasco, M.; Cocco, G.; Pinacchio, W.; De Pascalis, M.","Self-mutilation acts in prison: 3-year time trends (1992–1994) in the male district prison 'Nuovo Complessa' Rebibbia - Rome (Italy)","International Medical Journal","","1341-2051","","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1998-01046-005&site=ehost-live","Studied the incidence and time trends of self-mutilation in Rebibbia, a male prison in Rome, during 1992–1994. Self-mutilating acts (monthly and yearly rates) were analyzed by category: hunger strike, knife wounds, ingestion of foreign bodies, attempted hanging, and suicide. Results show that self-mutilation behaviors in the studied prison population appeared to be infrequent, and self-mutilation related to psychopathological factors (attempted hanging, suicide) showed no apparent increase. The observed upwards trend mainly concerned types of self-mutilation described as linked to socio-environmental factors. Suicide appeared relatively rare. These findings suggest that, notwithstanding the overcrowded Italian jails in recent years, the prison health care staff have managed to deal adequately with the inmates' psychiatric problems. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","1995-09","2024-12-18 05:06:24","2024-12-18 05:06:24","","203-207","","3","2","","International Medical Journal","","","","","","","","","","","psyh","1998-01046-005","EBSCOhost","","Publisher: Japan International Cultural Exchange Foundation JICEF","","","","1992–1994; Attempted Suicide; Epidemiology; Human Males; Incarcerated; incidence of self mutilating behaviors including attempted hanging & suicide & knife wounds; Italy; male prisoners; Nonsuicidal Self-Injury; Self-Inflicted Wounds; Trends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
