id,Publication Year,Authors,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments
3,1886,Mh Richardson,"A Case Of Gastrotomy. Digital Exploration Of Sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...",The Boston Medical And Surgical Journal,Google Scholar,FALSE,,,TRUE,TRUE,,29/01/2025,Record of first gastrotomy for intention ingestion. Timeline of further historical ingestions.
4,1892,L Otologists,Association Meetings.,,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
7,1907,G Killian,Xx. The Treatment Of Foreign Bodies In The Respiratory Tract And Esophagus: An Address Delivered Before The American Laryngological. Rhinological And Otological ...,Annals Of Otology,Google Scholar,TRUE,9,,FALSE,,,29/01/2025,"Case series in 'Oesophagus' Section. Intention not explicitly intentional. All appear to be accidental. Chidlren swallowing coins, adults for food bolus impaction and dental implants."
15,1925,L Richards,A Year Of Endoscopy,The Boston Medical And Surgical Journal,Google Scholar,TRUE,9,TRUE,FALSE,,,29/01/2025,Case series. All children. All appear to be coins and pins. Age <4. Intention not explicitly intentional. 
21,1975,"Rj Jones, Pc Samson",Esophageal Injury,The Annals Of Thoracic Surgery,Google Scholar,TRUE,5,,,,,29/01/2025,
22,1976,Pk Kottmeier,What The Pediatrician Should Know About Pediatric Trauma,Current Problems In Pediatrics,Google Scholar,TRUE,5,,,,,29/01/2025,Cool case of baby that swallowed a .38 bullet in utero after obtaining facial gunshot wound.
23,1977,Wd Chasin,Pediatric Otolaryngologic Crises,Hospital Practice,Google Scholar,TRUE,5,,,,,29/01/2025,
24,1979,Js Kruter,A Comprehensive Nursing Approach To Pediatric Facial Injuries,Issues In Comprehensive Pediatric Nursing,Google Scholar,TRUE,5,,,,,29/01/2025,Textbook on paediatric facial injuries.
25,1982,"Ge Newman, El Effman, Ce Putman",Pulmonary Aspiration Complexes In Adults,Current Problems In Diagnostic ...,Google Scholar,TRUE,2,,,,,29/01/2025,Focusses on pulmonary aspiration with case studies.
26,1983,"Lr Goodman, Sk Teplick",Computed Tomography In Acute Cardiopulmonary Disease,Radiologic Clinics Of North America,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
27,1984,Al Weher,Radiology Of The Larynx,Otolaryngologic Clinics Of North America,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
32,1988,Jl Strife,Upper Airway And Tracheal Obstruction In Infants And Children,Radiologic Clinics Of North America,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
33,1989,"Je Schunk, H Corneli, R Bolte",Pediatric Coin Ingestions: A Prospective Study Of Coin Location And Symptoms,American Journal Of Diseases Of ...,Google Scholar,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned.
38,1992,Wk Clarkston,"Gastrointestinal Foreign Bodies: When To Remove Them, When To Watch And Wait",Postgraduate Medicine,Google Scholar,TRUE,5,,,,,29/01/2025,"Review Article. Some cases, but no empirical evidence."
39,1993,"T Ken, Y Sunichi, U Toshiro, T Tomoo...",Endoscopic Removal Of Foreign Bodies In The Mentally And Physically Handicapped,Chinese Medical ...,Google Scholar,FALSE,,,FALSE,TRUE,,29/01/2025,Case report of endoscopic management of multiple ingestions. Severe mental and physical impairment.
40,1993,"Rd Kaye, Rg Grifka, R Towbin",Intervention In The Thorax In Children,Radiologic Clinics Of North America,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
41,1994,Rs Lan,Non-Asphyxiating Tracheobronchial Foreign Bodies In Adults,European Respiratory Journal,Google Scholar,TRUE,2,,,,,29/01/2025,Aspiration focus.
46,1996,"O'Sullivan, S. T.; Reardon, C. M.; Mcgreal, G. T.; Hehir, D. J.; Kirwan, W. O.; Brady, M. P.",Deliberate Ingestion Of Foreign Bodies By Institutionalised Psychiatric Hospital Patients And Prison Inmates,Irish Journal Of Medical Science,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,Case series or 36 prisoners who intentionally ingested objects.
50,1996,"Ps Lemberg, Dh Darrow...",Aerodigestive Tract Foreign Bodies In The Older Child And Adolescent,Annals Of Otology ...,Google Scholar,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Not explicitly intentional. Intention not recorded.
51,1996,"Losanoff, J. E.; Kjossev, K. T.",Gastrointestinal 'Crosses'. A New Shade From An Old Palette,"Archives Of Surgery (Chicago, Ill. : 1960)",PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,Case series. Gastrointestinal crosses causing multiple perforation in a prison in one week
52,1997,"Bf Gilchrist, Ep Valerie, M Nguyen, C Coren...","Pearls And Perils In The Management Of Prolonged, Peculiar, Penetrating Esophageal Foreign Bodies In Children",Journal Of Pediatric ...,Google Scholar,TRUE,6,,,,,29/01/2025,Duplicate study
