"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C8NFAG7J","journalArticle","1886","Mh Richardson","A Case Of Gastrotomy. Digital Exploration Of Sophagus, And Removal Of Plate Of Teeth; Recovery: Remarks Upon The Operation, And Observations Upon The ...","The Boston Medical And Surgical Journal","","","10.1056/NEJM188612161152403","","Many Cases Have Been Recorded Where Foreign Bod-Ies Have Become Lodged In The Oesophagus. The Most Common Seat Of Impaction Or Lodgement Is The Very Beginning Of The Tube, At ...","1886","2025-01-28 08:43:18","2025-01-28 08:43:18","","","","","","","The Boston Medical And Surgical Journal","","","","","","","","","","","Google Scholar","","","","","","/Users/jackgedge/Zotero/storage/52TRW5X6/Mh Richardson - 1886 - A Case Of Gastrotomy. Digital Exploration Of Sopha.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPINRGNK","journalArticle","1996","O'Sullivan, S. T.; Reardon, C. M.; Mcgreal, G. T.; Hehir, D. J.; Kirwan, W. O.; Brady, M. P.","Deliberate Ingestion Of Foreign Bodies By Institutionalised Psychiatric Hospital Patients And Prison Inmates","Irish Journal Of Medical Science","","","10.1007/bf02943095","","Deliberate And Recurrent Foreign Body Ingestion Is A Common Problem Among Institutionalised Patients. We Review Our Experience With 36 Cases Of Deliberate  Foreign Body Ingestion By Prisoners Or Psychiatric Patients, Thirty Of Whom Were  Institutionalised At The Time Of Ingestion. Symptoms Were Frequently Severe In  The Prison Inmate Group But, In Contrast, Psychiatric Patients Presented With  Few, If Any, Symptoms. A Majority Of Objects Pass Spontaneously Or Remain In Situ  Without Complication. Twenty-Four Patients Were Discharged Following Initial  Evaluation And Without Specific Treatment. Eight Of These Were Reviewed  Electively And Discharged Within One Week. Twelve Patients Were Admitted For  Observation, Seven Of Whom Were Discharged Within 48 Hrs. Upper Gastrointestinal  Endoscopy Was Performed In Four Patients And An Intragastric Foreign Body  Identified In Two Cases. Laparotomy Was Performed In Two Cases For Unresolving  Mechanical Intestinal Obstruction. Management Should Be Conservative When  Possible, With Surgery Indicated Only For Complications.","1996","2025-01-28 08:43:19","2025-01-28 08:43:19","","","","","","","Irish Journal Of Medical Science","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/C6JDW8DI/O'Sullivan et al. - 1996 - Deliberate Ingestion Of Foreign Bodies By Institut.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URGBR6TL","journalArticle","1996","Losanoff, J. E.; Kjossev, K. T.","Gastrointestinal 'Crosses'. A New Shade From An Old Palette","Archives Of Surgery (Chicago, Ill. : 1960)","","","10.1001/archsurg.1996.01430140056015","","Background: We Present Our Experience With An As Yet Undescribed Type Of Intentionally Ingested Metallic Foreign Body That Was Specially Designed To  Arrest In Its Passage And Cause Perforation Of The Gastrointestinal Tract. The  Two Halves Of A Standard Paper Clip Are Tied Crosswise With A Rubber Band,  Forming An Elastic ""Cross."" With Its Branches Squeezed To Lie Parallel, The Cross  Is Wrapped Into A Small Strip Of Paper And Ingested. After Being Released From  Its Wrapper, The Branches Of The Cross Spring Back To Their Original Position And  Cause Perforation Of The Bowel Wall. Design: Case Series. Setting: University  Hospital, Bulgaria. Patients: Five Male Prisoners From The Same Jail Undergoing  Laparotomy For Foreign Body Removal During 1 Week In January 1994. Interventions:  Laparotomy, Removal Of The Foreign Bodies Through Incisions Of The Bowel Wall,  Immediate Restoration Of The Gastrointestinal Tract Continuity, And Peritoneal  Lavage And Drainage. Outcome Measures: Morbidity And Mortality. Results: Two Of  The Patients Were Initially Observed But Subsequently Underwent Surgery For  Perforations Of The Gastrointestinal Tract. Three Of The Patients Underwent  Immediate Operative Treatment. There Were 20 Total Crosses Ingested; All Foreign  Objects Impacted And Perforated The Stomach (50%), First Duodenal Portion (25%),  And Fourth Duodenal Portion (20%). There Was No Morbidity Or Mortality Among The  Five Patients Treated. Conclusions: Because Ingested Crosses That Have Been  Released From Their Wrappers Never Move Distally, The Only Definitive Solution Is  To Operate Early.","1996","2025-01-28 08:43:19","2025-01-28 08:43:19","","","","","","","Archives Of Surgery (Chicago, Ill. : 1960)","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/YZD7FMMT/Losanoff and Kjossev - 1996 - Gastrointestinal 'Crosses'. A New Shade From An Ol.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z78SRZB8","journalArticle","1997","Losanoff, J. E.; Kjossev, K. T.; Losanoff, H. E.","Oesophageal ""Cross""--A Sinister Foreign Body","Journal Of Accident & Emergency Medicine","","","10.1136/emj.14.1.54","","A Young Jail Inmate Purposely Ingested A Foreign Body Formed Of Sewing Needles, Specially Designed To Be Arrested In The Gut And Cause Perforation. Immediate  Surgical Removal Of Such Ingested Foreign Objects Is Recommended Because The  Chances Of Distal Passage Are Nil.","1997","2025-01-28 08:43:19","2025-01-28 08:43:19","","","","","","","Journal Of Accident & Emergency Medicine","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/5RDQUZV5/Losanoff et al. - 1997 - Oesophageal Cross--A Sinister Foreign Body.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUJ76RVL","journalArticle","1998","Goldman, R. D.; Schachter, P.; Katz, M.; Bilik, R.; Avigad, I.","A Bizarre Bezoar: Case Report And Review Of The Literature","Pediatric Surgery International","","","10.1007/s003830050492","","A Bizarre Case Of A Foreign-Body Bezoar Is Presented. A 16-Year-Old Girl Swallowed Large Amounts Of Toilet Paper As A Means Of Dieting. She Presented With  A Palpable Abdominal Mass, Multiple Bezoars In The Bowel, And Paper Excretion In  The Feces Before Admitting Intentional Ingestion Of Toilet-Paper Balls.  Administration Of Gastrografin Via A Nasogastric Tube And Enemas Resulted In  Gradual Excretion Of The Paper Balls.","1998","2025-01-28 08:43:19","2025-01-28 08:43:19","","","","","","","Pediatric Surgery International","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/RULCSSL5/Goldman et al. - 1998 - A Bizarre Bezoar Case Report And Review Of The Li.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFR85EGW","journalArticle","1998","Csaky, G; Szederkenyi, I; Botos, A; Kiss, I","Laparoscopic Removal Of A Foreign Body From The Jejunum","Surgical Laparoscopy & Endoscopy","","","10.1097/00019509-199802000-00016","","Swallowed Foreign Bodies Evacuate Spontaneously; Therefore, Their Removal Is Necessary Only If A Complication Is Under Suspicion Or Has Ensued, A Man Of 22 Years Swallowed, With Suicidal Intentions, The 9-Cm-Long And 1.5-Cm-Wide Blade Of His Pocket Knife, Which According To Repeated X-Ray Investigations, Was Impacted Partly Through The Pylorus Into The Duodenum. Because Of The Symptoms, Perforation Could Nor Be Excluded, So Laparoscopic Removal Was Decided On. The Blade Meanwhile Passed Into The Jejunum And Was Localized Intraoperatively With A C-Arm Fluoroscope. After Jejunotomy And Removal Of The Blade, The Opening Of The Small Bowel Was Closed With Intracorporeal Hand-Suturing Technique. Postoperative Recovery Was Quick And Uneventful. On The Evidence Of The Case History Presented, The Laparoscopic Removal Of A Foreign Body From The Gastrointestinal Tract Can Be Judged A Convenient Procedure.","1998","2025-01-28 08:43:19","2025-01-28 08:43:19","","","","","","","Surgical Laparoscopy & Endoscopy","","","","","","","","","","","Web of Science","","","","","","/Users/jackgedge/Zotero/storage/P63CRHUV/Csaky et al. - 1998 - Laparoscopic Removal Of A Foreign Body From The Je.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBUS6RIW","journalArticle","2004","Butterworth, J. R.; Wright, K.; Boulton, R. A.; Pathmakanthan, S.; Goh, J.","Management Of Swallowed Razor Blades-Retrieve Or Wait And See?","Gut","","","10.1136/gut.2003.024810","","","2004","2025-01-28 08:43:19","2025-01-28 08:43:19","","","","","","","Gut","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/95JJK63V/Butterworth et al. - 2004 - Management Of Swallowed Razor Blades-Retrieve Or W.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ3IS29I","journalArticle","2004","Tupesis, J. P.; Kaminski, A.; Patel, H.; Howes, D.","A Penny For Your Thoughts: Small Bowel Obstruction Secondary To Coin Ingestion","Journal Of Emergency Medicine","","","10.1016/j.jemermed.2004.03.013","","We Report A Case Of Small Bowel Obstruction Secondary To Coin Ingestion. A 22-Year-Old Woman Presented To The Emergency Department (Ed) With A 3-Week  History Of Abdominal Pain. Upon Initial History The Patient Denied Any Foreign  Body Ingestion. Only After Computed Tomography (Ct) Scanning Of The Abdomen And  Pelvis Did The Patient Admit To Deliberate Ingestion Of A Single United States  Penny Coin. During Surgical Evaluation It Was Found That The Coin Had Lodged Near  The Ileocecal Valve And An Inflammatory Mass Had Formed Around The Intraluminal  Coin, Causing A 10 X 7 Cm Fibrous Tumor To Completely Obstruct The Small Bowel.  It Is Thought That Oxidation Of The Coin, With Subsequent Exposure Of Its High  Zinc Content, Instigated The Inflammatory Cascade.","2004","2025-01-28 08:43:20","2025-01-28 08:43:20","","","","","","","Journal Of Emergency Medicine","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/XZP8DAB8/Tupesis et al. - 2004 - A Penny For Your Thoughts Small Bowel Obstruction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5NSISPN","journalArticle","2006","Alao, A. O.; Abraham, B.","Foreign Body Ingestions In A Schizophrenic Patient","West African Journal Of Medicine","","","10.4314/wajm.v25i3.28286","","The Topic Of Foreign Body Ingestion Has Received Extensive Coverage In The Areas Of Surgery, Emergency Medicine And Pediatrics. A Subset Of This Topic, The  Intentional Ingestion Of Foreign Bodies, However, Is Much Less Common, And  Involves Subtleties In Evaluation And Management Not Usually Seen In Accidental  Ingestions. Here, We Report A Case Of Ingestion Of A Rolled, Metal Tuna Can Lid  In A Male Prison Inmate Previously Diagnosed With Depression And Paranoid  Schizophrenia. Following Evaluation By The Surgical Team, The Foreign Body Was  Removed By Laparotomy And The Patient Was Discharged Back To The Prison Without  Complication. In Many Cases, Ingestions Ofthis Type Involve A Command  Hallucination Ordering The Patient To Swallow The Foreign Body. Interestingly,  The Patient In The Present Case Reported Auditory Hallucinations Commanding Him  Not To Swallow The Can Lid.","2006","2025-01-28 08:43:20","2025-01-28 08:43:20","","","","","","","West African Journal Of Medicine","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/PCGWXQ39/Alao and Abraham - 2006 - Foreign Body Ingestions In A Schizophrenic Patient.pdf; /Users/jackgedge/Zotero/storage/AJXIYFED/Alao and Abraham - 2006 - Foreign Body Ingestions In A Schizophrenic Patient.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2YFNXYP","journalArticle","2006","Ayantunde, A. A.; Oke, T.","A Review Of Gastrointestinal Foreign Bodies","International Journal Of Clinical Practice","","","10.1111/j.1368-5031.2006.00709.x","","Gastrointestinal Tract (Git) Foreign Bodies Represent A Significant Clinical Problem In The Emergency Department, Causing A High Degree Of Financial Burden,  Morbidity And Mortality. A Large Variety Of Foreign Bodies Are Accidentally  Ingested Or Inserted Into The Git In Different Age Groups. This A Retrospective  Review Of 38 Patients Who Presented To The Emergency Department With Git Foreign  Bodies Between January 2001 And December 2004. Computer Database And Case Note  Search Of Patients' Personal Data, Nature Of The Foreign Objects And Mode Of  Entry To The Git Were Recorded. There Were 30 Males And Eight Females (M : F  Ratio Of 3.75:1) With An Age Range Of 10 Months To 87 Years (Median Age 25.5  Years). Foreign Body Ingestion/Insertion Was Accidental In 14 Patients,  Deliberate In 11, For Anal Erotism In 11 And As A Result Of Assault In Two Cases.  The Median Time Before Presentation Was 12 H, And The Mean Length Of Hospital  Stay Was 1.7 Days. Treatment Was Conservative In 15 Patients; Five Patients Had  Gastroscopic Retrieval; 15 Patients Underwent Examination Under Anaesthetic,  Retrieval And Proctosigmoidoscopy And Three Patients Underwent Laparotomy For  Impacted Foreign Bodies. Git Foreign Body Ingestion Or Insertion Is Common;  However, Majority Of Cases Can Be Successfully Managed Conservatively.","2006","2025-01-28 08:43:20","2025-01-28 08:43:20","","","","","","","International Journal Of Clinical Practice","","","","","","","","","","","PubMed","","","","","","/Users/jackgedge/Zotero/storage/KZBE2228/Ayantunde and Oke - 2006 - A Review Of Gastrointestinal Foreign Bodies.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
