Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1886,"RICHARDSON, M.",MH RICHARDSON,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",The Boston Medical and Surgical Journal,"A Case of Gastrotomy. Digital Exploration of Œsophagus, and Removal of Plate of Teeth; Recovery: Remarks upon the Operation, and Observations upon the …","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at …",https://www.nejm.org/doi/pdf/10.1056/NEJM188612161152403,Google Scholar,,,
1906,"Lartigau, A.",AJ Lartigau,"AJ Lartigau - California State Journal of Medicine, 1906 - ncbi.nlm.nih.gov",California State Journal of Medicine,The Relation of Bacteria to the Development of Gall-Stones—A Report of Experimental Studies with a Review of the Literature,"* Although published after Mignot's comtnunication, Gilbert and Fo irnier were probably the first to experimentally obtain gall-stones. is CALIFORNIA STATE JOURNAL OF MEDICINE …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1651194/,Google Scholar,,,
1915,"Watson, F.",FS Watson,"FS Watson - The Boston Medical and Surgical Journal, 1915 - Mass Medical Soc",The Boston Medical and Surgical Journal,Perforation of the stomach and intestine by foreign bodies that have been swallowed,"munity, for at least partial support. The plan is not to give such service free, but to urge all patients to pay the cost, probably from $10 to $15 for complete nursing and medical care, or …",https://www.nejm.org/doi/pdf/10.1056/NEJM191504291721703,Google Scholar,,,
1917,"Turner, W.",WY Turner,"WY Turner - The British Medical Journal, 1917 - JSTOR",The British Medical Journal,Lumbar hernia,,,Google Scholar,,,
1917,"Staddon, C.",CS Staddon,"CS Staddon - The British Medical Journal, 1917 - JSTOR",The British Medical Journal,Abdominal Wound: Faecal Smelling Gas,,,Google Scholar,,,
1917,"O'Neill, C.",CS O'Neill,"CS O'Neill - British Medical Journal, 1917 - ncbi.nlm.nih.gov",British Medical Journal,Fragment Of Shell In The Arterial Circulation,"Sgt. P. was wounded at7 pm on August 7th, 1917, and was admitted to a casualty clearinig station on the morning of August 8th ip a very collapsed condition with a runining pulse of …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2349499/,Google Scholar,,,
1917,"Shaxby, J.",JH Shaxby,"JH Shaxby - The British Medical Journal, 1917 - JSTOR",The British Medical Journal,A Screen Method Of Localization,,,Google Scholar,,,
1924,"Patterson, E.",EJ Patterson,"EJ Patterson - The Laryngoscope, 1924 - Wiley Online Library",The Laryngoscope,Foreign bodies in air passages and esophagus. Review of cases in history and literature.,"Dr. Ellf, n J. Patterson, Pittsburgh, Pa. Considering the relative frequency of foreign bod)'accidents recorded in the daily news of the present day, it seems that the rarity of record of such …",https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-192410000-00002,Google Scholar,,,
1926,"Clerf, L.",LH Clerf,"LH Clerf - The Laryngoscope, 1926 - Wiley Online Library",The Laryngoscope,Foreign bodies in the tracheobronchial tree. report of cases in which bronchoscopy was not done,"Dr. Louis' H. Clerf, Philadelphia. Coughing up of a foreign bod)"" from the trachea or bronchus is a very fortunate occurrence and constitutes the best spontaneous solution of airy case of …",https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-192603000-00015,Google Scholar,,,
1938,"Fitzgerald, B.","BH Neiman, JE Fitzgerald","BH Neiman, JE Fitzgerald - The American Journal of Surgery, 1938 - Elsevier",The American Journal of Surgery,Foreign body in the myocardium,The case of a 27 year old woman is reported. Sixteen months prior to her death she had jumped through a window. She sustained what seemed to be lacerations of the wall of her chest …,https://www.sciencedirect.com/science/article/pii/S0002961038912073,Google Scholar,,,
1940,"Dansey-Browning, G.",GC Dansey-Browning,"GC Dansey-Browning - BMJ Military Health, 1940 - militaryhealth.bmj.com",BMJ Military Health,"Some Ophthalmic Phoblems in Egypt, with Special Reference to Mechanization",The frequency of these necessitates special attention being paid to the universal fitting of safety glass and the systematic examination of the visual acuity and judgment of all automobile …,https://militaryhealth.bmj.com/content/74/6/335.abstract,Google Scholar,,,
1942,"Miller, E.",ER Miller,"ER Miller - Radiology, 1942 - pubs.rsna.org",Radiology,A Simple Foreign Body Localization Device Applicable to Standard Fluoroscopes,"When an attempt was made to use some of the previously described methods of foreign body localization on our own GE fluoroscopic table, it was found that we could use none of them …",https://pubs.rsna.org/doi/abs/10.1148/39.4.464,Google Scholar,,,
1943,"Gillette, D.",DF Gillette,"DF Gillette - Transactions of the American Ophthalmological …, 1943 - ncbi.nlm.nih.gov",Transactions of the American Ophthalmological …,A new treatment of foreign bodies of the cornea,"The animals were destroyed and the corneas removed fifteen minutes after a topical application of the silver solution. The corneas were then fixed, sectioned and stained. The …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1315103/,Google Scholar,,,
1959,"Lehtinen, A.","A Oksala, A Lehtinen","A Oksala, A Lehtinen - The British Journal of Ophthalmology, 1959 - ncbi.nlm.nih.gov",The British Journal of Ophthalmology,Use of the echogram in the location and diagnosis of intra-ocular foreign bodies,"IT is often difficult to locate an intra-ocular foreign body. Sometimes it may be seen and localized by biomicroscopy, ophthalmoscopy, gonioscopy, or diaphanoscopy. Yet radiological …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC509891/,Google Scholar,,,
