Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1865,"Roper, A.",AG Roper,"AG Roper - British Medical Journal, 1865 - ncbi.nlm.nih.gov",British Medical Journal,Cold Injections into the Uterus,"March11, 186.] REVIEWS AND NOTICES.[Buitish Medicl Journal. thoric, a few leeches tb the upper part of the thi hs, applied two days before the expected period, wl be deirable. With …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2325636/,Google Scholar,,,
1878,"Johnson, G.",G Johnson,"G Johnson - The Lancet, 1878 - scholar.archive.org",The Lancet,FOREIGN BODIES IN THE AIR-PASSAGES.,"The physical signs of a foreign body in the bronchus are-gatural resonance on percussion, with total absence, or feebleness, of the respiratory murmur over one lung, accord-ing to the …",https://scholar.archive.org/work/kyb4fvtnkvbgndddleyswauqva/access/ia_file/crossref-pre-1909-scholarly-works/10.1016%252Fs0140-6736%252802%252943569-6.zip/10.1016%252Fs0140-6736%252802%252943725-7.pdf,Google Scholar,,,
1881,"Bradford, H.",HW Bradford,"HW Bradford - The Boston Medical and Surgical Journal, 1881 - Mass Medical Soc",The Boston Medical and Surgical Journal,"The Electro-Magnet in Ophthalmology, with the Description of a New Magnet","The core is composed of soft Norway iron, one third of an inch in diameter, and two and one half inchesin length; to one end of this solid cylinder is riveted a flat circular disc of the same …",https://www.nejm.org/doi/pdf/10.1056/NEJM188103311041302,Google Scholar,,,
1886,"RICHARDSON, M.",MH RICHARDSON,"MH RICHARDSON - The Boston Medical and Surgical Journal, 1886 - Mass Medical Soc",The Boston Medical and Surgical Journal,"A Case of Gastrotomy. Digital Exploration of Œsophagus, and Removal of Plate of Teeth; Recovery: Remarks upon the Operation, and Observations upon the …","Many cases have been recorded where foreign bod-ies have become lodged in the oesophagus. The most common seat of impaction or lodgement is the very beginning of the tube, at …",https://www.nejm.org/doi/pdf/10.1056/NEJM188612161152403,Google Scholar,,,
1906,"Lartigau, A.",AJ Lartigau,"AJ Lartigau - California State Journal of Medicine, 1906 - ncbi.nlm.nih.gov",California State Journal of Medicine,The Relation of Bacteria to the Development of Gall-Stones—A Report of Experimental Studies with a Review of the Literature,"* Although published after Mignot's comtnunication, Gilbert and Fo irnier were probably the first to experimentally obtain gall-stones. is CALIFORNIA STATE JOURNAL OF MEDICINE …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1651194/,Google Scholar,,,
1918,"Allport, F.",F Allport,"F Allport - American Journal of Ophthalmology, 1918 - ajo.com",American Journal of Ophthalmology,The magnet extraction of foreign bodies from the the eyeball,"A critical review of the subject based upon the following papers which appeared in the British Journal of Ophthalmology, January, 1917: 1. ""The Removal of Foreign Bodies by Means of …",https://www.ajo.com/article/S0002-9394(18)90111-X/abstract,Google Scholar,,,
1922,"Jackson, C.",C Jackson,"C Jackson - Annals of Surgery, 1922 - journals.lww.com",Annals of Surgery,New mechanical problems in the bronchoscopic extraction of foreign bodies from the lungs and oesophagus,"IN the early days of bronchoscopy and oesophagoscopy no thought was given to the matter or the mechanical problems of the disentanglement, disinpaction or version of foreign bodies…",https://journals.lww.com/annalsofsurgery/citation/1922/01000/NEW_MECHANICAL_PROBLEMS_IN_THE_BRONCHOSCOPIC.1.aspx,Google Scholar,,,
1926,"Patterson, E.",EJ Patterson,"EJ Patterson - The Laryngoscope, 1926 - Wiley Online Library",The Laryngoscope,History of bronchoscopy and esophago‐scopy for foreign body,"Dr. Ellen J. Patterson, Pittsburgh, Pa. In a previous paper were presented historical data on foreign bodies in the air and'food passages in the pre-endoscopic days. The purpose of the …",https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-192603000-00001,Google Scholar,,,
1926,"Kleinberg, S.",S Kleinberg,"S Kleinberg - Annals of Surgery, 1926 - journals.lww.com",Annals of Surgery,Paraffinoma of the knee,"intensive search of the literature, however, I have not come across a case like the one now reported, in which a successful attempt was made to produce a swelling and inflammation of …",https://journals.lww.com/annalsofsurgery/citation/1926/10000/Paraffinoma_of_the_Knee.19.aspx,Google Scholar,,,
1939,"Decker, H.",HR Decker,"HR Decker - Journal of Thoracic Surgery, 1939 - Elsevier",Journal of Thoracic Surgery,Foreign bodies in the heart and pericardium—should they be removed?,"Oelbet states that of all patients seeking surgical aid for heart injuries, 10 per cent have foreign bodies in the heart or perlcardium. Several hundred reports of these cases of foreign …",https://www.sciencedirect.com/science/article/pii/S0096558820320432,Google Scholar,,,
1941,"Panneton, P.",P Panneton,"P Panneton - American Journal of Ophthalmology, 1941 - Elsevier",American Journal of Ophthalmology,Local Treatment of Gonorrheal Conjunctivitis with Sulfanilamide Powder,"It can be said with reason that gonorrheal conjunctivitis (purulent ophthal mia) has been the great source of patients for hospitals for the blind. Actually, its malignancy, tenacity, and …",https://www.sciencedirect.com/science/article/pii/S0002939441906505,Google Scholar,,,
1941,"Horowitz, S.","S Mufson, EA Horowitz","S Mufson, EA Horowitz - New England Journal of Medicine, 1941 - Mass Medical Soc",New England Journal of Medicine,Intussusception of the jejunum due to carcinoid tumor,"Tumors of the small intestine are relatively in-frequent as compared with tumors of the other parts of the gastrointestinal tract. Raiford1 in 1932, in a very full discussion of tumors of the …",https://www.nejm.org/doi/pdf/10.1056/NEJM194104032241406,Google Scholar,,,
1945,"Samuel, D.","DB McGrigor, E Samuel","DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",The British Journal of Radiology,War wounds of the chest,"That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars. …",https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,Google Scholar,,,
1947,"Haik, G.",GM Haik,"GM Haik - Journal of the American Medical Association, 1947 - jamanetwork.com",Journal of the American Medical Association,Intraocular foreign bodies: Wartime experiences applied to a peacetime problem,"No ophthalmologist who served in an active theater of operations during World War II can fail to have definite ideas about the management of intraocular foreign bodies, whatever may …",https://jamanetwork.com/journals/jama/article-abstract/297715,Google Scholar,,,
