id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason ID_JGE,Exclude_MS,Reason ID_MS
456,2023,"Alevizakos, V.","Alevizakos, V; Achilles, N; Rahlf, B; Jehn, P; Von See, C; Schiller, M",Journal Of Oral Implantology,,Web of Science,10.1563/aaid-joi-d-20-00249,,Comparing Original And Universal Screwdrivers And How They Affect Friction In The Screw,"The Present Study Focused On Investigating Whether Universal Screwdriver Kits Cause Less Friction Between The Screwdriver And The Abutment Screw Than Original Screwdrivers. For This Purpose, 2 Original Screwdrivers (Straumann And Bego) And A Universal Screwdriver Kit (Bredent) Were Investigated. On 1 Implant Per Screwdriver, 26 Abutments Were Properly Attached One After The Other With The Corresponding Abutment Screws. After Tightening The Abutment Screw, The Force Required To Pull The Screwdriver Off The Screw Head Was Determined With A Spring Balance. For Both Manufacturers, Greater Pull-Off Forces Were Measured When Using The Original Screwdrivers Than When Using The Universal Screwdriver. The Pull-Off Force (Mean +/- Sd) Required For The Straumann Original Screwdriver Was 3.7 +/- 1.4 N, While That Required For The Universal Screwdriver Was 0.1 +/- 0.1 N (P < .001). The Pull-Off Force Was 1.5 +/- 1.5 N For The Bego Original Screwdriver And 0.7 +/- 0.9 N For The Universal Screwdriver (P = .19). Using Original Manufacturer-Supplied Screwdrivers Could Thus Minimize The Risk Of The Screwdriver Slipping Out Of The Screw Head During Dental Treatment And Being Swallowed Or Aspirated By The Patient.",,True,2.0,True,2.0
310,2019,"Robertson, A.","Robertson, Alexander R.",Suicide & Life-Threatening Behavior,,PubMed,10.1111/sltb.12474,,Self-Harm By Sharp Foreign Body Ingestion,"Objective: Ingestion Of Sharp Foreign Bodies Is A Less Frequently Encountered Method Of Selfharm. This Study Aims To Follow Up Patients Presenting With Foreign  Body (Fb) Ingestion Requiring Urgent Endoscopic Intervention Under General  Anaesthetic In Theatre, Characterise Each Patient And Establish Whether Admission  Or Removal Of The Fb Promotes Further Self-Harm. Method: Eleven Adult Patients,  Totalling 38 Presentations Over A 28-Month Period Were Identified. Each Was  Followed Up From An Initial Presentation Requiring Endoscopy. Result: 9/11  (81.9%) Where Transferred Either From Prison Or Psychiatric Care With An  Extensive History Of Multimodal And Usually Violent Self-Harm. Of These 8/9  (88.9%) Had A Formal Psychiatric Diagnosis Linked To Their Previous Self-Harm.  Objects Retrieved Included Pens, Razor Blades, Cutlery, Wiring, Batteries, A  Metal Screw And A Tv Aerial. The Median Time Between Presentations With Self-Harm  Was 11 Days. Those Discharged From The Emergency Department Re-Presented After A  Median Of 7.5 Days. This Was Longer, At 14 Days, If Admitted To Hospital; With  Those Having Endoscopic Procedures Re-Presenting After A Median Of 11 Days.  Conclusions: Inpatient Endoscopic Removal Of The Fb Was Not Associated With An  Earlier Presentation With Further Self-Harm When Compared With Discharge Straight  Form A+E, But Was Frequently Repeated, Often In A Characterised Manner.",,False,,False,
175,2012,"Lee, J.","Lee, Jun Hyung; Kim, Hyun Cheol; Yang, Dal Mo; Kim, Sang Won; Jin, Wook; Park, Seong Jin; Kim, Hyoung Jung",Clinical Imaging,,PubMed,10.1016/j.clinimag.2011.11.017,,What Is The Role Of Plain Radiography In Patients With Foreign Bodies In The Gastrointestinal Tract?,"Foreign Bodies (Fbs) In The Gastrointestinal (Gi) Tract Can Show A Wide Range Of Clinical Manifestations Ranging From Spontaneous Evacuation To Severe  Complication. Plain Radiography Is A Straightforward And Important Initial  Imaging Modality In Cases Of Fb Ingestion Or Insertion And Is Also Helpful For  Follow-Up Purposes. Careful Evaluations Of The Plain Radiographs Can Determine  The Presence And Nature Of Fbs, And Help Predict Their Precise Locations And  Facilitate Risk Assessment. In This Review, A Wide Variety Of Fbs In The Gi Tract  Are Illustrated, And The Role Of Plain Radiography In Patient Management Is  Discussed.",,False,,False,
333,2020,"Michiwaki, Y.","Michiwaki, Y; Kikuchi, T; Kamiya, T; Toyama, Y; Inoue, M; Hanyuu, K; Takai, M; Koshizuka, S",Computer Methods In Biomechanics And Biomedical Engineering-Imaging And Visualization,,Web of Science,10.1080/21681163.2019.1647458,,Computational Modeling Of Child'S Swallowing To Simulate Choking On Toys,"Choking Occurs More Frequently In Children And Senior Citizens Than In Other Groups. Obstruction Materials Are Varied, Including Food Or Foreign Bodies Such As Toys And Coins. The Number Of Choking Accidents Has Not Decreased Because Its Mechanism Remains Unclear; The Manner In Which Such Accidents Occur Cannot Be Observed. The Purpose Of This Study Is To Visualize Choking On Toys By Using A Computer Simulation, Swallow Vision (R), After Creating A New Child Model Of Swallowing. An Organ Model For The Simulation Was Created From The Ct Of A 9-Month-Old Boy And Videofluorographic Images During Swallowing For A 9-Month-Old Girl. The Organ Models Were Defined As Hyperelastic And Contained Particles That Moved By Forced Displacement. The Toy Models Were Spheres With Diameters Of 10 And 15 Mm And Different Coefficients Of Friction And Restitution. The Applied Calculation Method Was The Hamiltonian Moving Particle Simulation. The Results Demonstrated That The Simulation Could Visualize How A Toy Model Obstructed The Upper Airway In The Pharynx And Larynx. Moreover, The Ball Size And The Coefficients Of Friction And Restitution Affected The Site Obstructed. As Choking Accidents Were Successfully Visualized Using The Swallow Vision (R), The Computer Simulation Is Expected To Advance Research On Understanding The Choking Mechanism.",,True,4.0,True,3.0
155,2011,"Hsu..., M.","Md Catherine Lewis, Hk Hsu...",Journal Of The National ...,"MD Catherine Lewis, HK Hsu... - Journal of the National ..., 2011 - search.proquest.com",Google Scholar,10.1016/s0027-9684(15)30390-4 ,https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most Cases Of Foreign-Body Aspiration Are Accidental Events In Children, Whereas The Majority Of Adults Will Have Neurological Dysfunction, Trauma, Alcohol Abuse, Or Psychological ...","Most cases of foreign-body aspiration are accidental events
in children, whereas the majority of adults will have neu-
rological dysfunction, trauma, alcohol abuse, or psycho-
logical disorders. 1 Much has been written about psychiat-
ric patients engaging in self-mutilation such as cutting and
burning, but little is recorded about deliberate aspiration of
objects in these patients, who clinically can be separated
into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4)
personality disorders. The immediate psychological gain for
these patients is unclear, as the act is insidious with no evi-
dence of intentional harm or immediate danger. Thus, they
are considered as being parasuicidal events designed to
diminish other psychological processes. 2 Aspirated objects
that are not immediately dislodged by coughing, chok-
ing, or gagging require surgical intervention. Most of these
patients usually come to the attention of a psychiatrist, but
such intervention does not prevent recurrences. We discuss
a schizophrenic patient who aspirated multiple coins while
under psychiatric treatment for prior episodes of aspiration
of coins, ingestion of objects, and insertion of others in his
urethra and rectum, while also reviewing some of the diag-
nostic and therapeutic challenges inherent in the manage-
ment of these patients.",False,,False,
9,1915,"Jackson, C.",C Jackson,,C Jackson - 1915 - books.google.com,Google Scholar,10.1288/00005537-191707000-00009,https://books.google.com/books?hl=en&lr=&id=eva0aqaamaaj&oi=fnd&pg=pa11&dq=++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)++++++++++++++++++++++++&ots=ikdep_zegs&sig=bqezqzl_e7z3lhwvp-tf8mfxy0a,Peroral Endoscopy And Laryngeal Surgery,A Number Of Repetitions Of Fundamental Facts Have Been Necessary In Order To Facilitate Ready Reference In The Limited Time Available For The Busy Surgeon Without Perusing The Entire Book...,Abstract not available,True,2.0,True,3.0
104,2007,"Peek, T.","Tj Divers, Sf Peek",,"TJ Divers, SF Peek - 2007 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=PbEWJrEtECIC&oi=fnd&pg=PA3&dq=Rebhun%27S+Diseases+Of+Dairy+Cattle+peek+t+2007&ots=eTlzly18AO&sig=tQYtapj1yuc5pd7TimjyHbm-pEI&redir_esc=y#v=onepage&q=Rebhun'S%20Diseases%20Of%20Dairy%20Cattle%20peek%20t%202007&f=false,Rebhun'S Diseases Of Dairy Cattle,"Rebhun'S Diseases Of Dairy Cattle, 2Nd Edition Is Your All-In-One Guide To Bovine Disease Management. With Thorough, Up-To-Date Coverage Of Differential Diagnosis Methods, ...",Abstract not available,True,4.0,True,4.0
199,2014,"Sahn, B.","Sahn, Benjamin; Mamula, Petar; Ford, Carol A.",Journal Of Adolescent Health : Official Publication Of The Society For Adolescent Medicine,,PubMed,10.1016/j.jadohealth.2014.01.022,,Review Of Foreign Body Ingestion And Esophageal Food Impaction Management In Adolescents,"Foreign Body Ingestion Is A Common Clinical Scenario Among Patients Of All Ages. The Immediate Risk To The Patient Ranges From Negligible To Life Threatening.  Initial And Follow-Up Management Strategies Depend On Multiple Patient And  Ingested Object-Related Factors. Available Literature On This Topic Tends To  Focus On The Small Child Or Adult, Leaving The Clinician Caring For Adolescents  To Extrapolate This Information To Guide Decision Making For Individual Patients.  This Article Reviews Foreign Body Ingestion Literature With Important  Implications To The Adolescent Patient And Raises Awareness Of Some Highly  Dangerous Objects Such As Large Button Batteries, High-Powered Magnets, Long  Sharps, Narcotic Packages, And Super Absorbent Objects. An Additional Focus  Includes The Management Of Esophageal Food Impaction. We Highlight The Unique  Aspects To The Care Of The Adolescent With Intentional Ingestion And Co-Morbid  Psychiatric Illness. The Article Concludes By Discussing The Challenges To  Prevention Of Ingestion In The At-Risk Patient.",,False,,False,
192,2013,"Dalal, P.","Dalal, Poorvi P.; Otey, Andrew J.; Mcgonagle, Emily A.; Whitmill, Melissa L.; Levine, Edward J.; Mckimmie, Ryan L.; Thomas, Alicia C.; Cook, Charles H.; Papadimos, Thomas J.; Reilley, Thomas E.; Bergese, Sergio D.; Steinberg, Steven M.; Stawicki, Stanislaw P. A.; Evans, David C.",Journal Of Surgical Research,,PubMed,10.1016/j.jss.2013.04.078,,Intentional Foreign Object Ingestions: Need For Endoscopy And Surgery,"Background: Intentional Ingestion Of Foreign Objects (Iifo) Is Common In The Incarcerated Population. This Study Was Undertaken In Order To Better Define  Clinical Patterns Of Iifo Among Prisoners. We Sought To Determine Factors  Associated With The Need For Endoscopic And Surgical Therapy For Iifo. Methods:  After Obtaining Permission To Conduct Iifo Research In Incarcerated Populations,  Study Patients Were Identified By Icd-9 Codes. Patient Charts Were Reviewed For  Demographics; Past Medical History; Iifo Characteristics; And Diagnostic,  Endoscopic, And Surgical Findings. Univariate And Multivariate Analyses Were  Performed Using Statistical Software. Results: Thirty Patients With 141 Episodes  Of Iifo Were Identified. The Mean Number Of Ingested Items Per Episode Was 4.60.  Endoscopy Was Performed In 97 Of 141 Iifo Instances, With Failure To Retrieve The  Ingested Object In 21 Of 97 Cases (22%). Eleven Instances (7.8%) Required  Surgical Intervention. On Multivariate Analyses, Hospital Admission Was  Associated With Elevated White Blood Cell Count (Odds Ratio [Or] 1.4, P < 0.05)  And Number Of Items Ingested (Or 1.3, P < 0.05). The Need For Endoscopy Was  Independently Associated With Ingestion Of Multiple Objects (Or 3.3, P < 0.05)  And Elevated White Blood Cell Count (Or 1.3, P < 0.05). Surgical Therapy Was  Significantly Associated With Elevated White Blood Cell Count (Or 1.6, P < 0.01)  And With Increasing Number Of Ingested Items (Or 1.07 Per Item, P < 0.05).  Endoscopy Is Associated With Significantly Lower Odds Of Surgery (Or 0.13,  P < 0.01). Conclusions: Intentional Ingestion Of Foreign Objects Continues To  Pose A Significant Human And Economic Burden. The Need For Admission Or Therapy  Is Frequently Associated With Leukocytosis. Further Investigation Is Warranted  Into Resource-Appropriate Triage Of Patients Who Present With Iifo.",,False,,False,
101,2007,"Gitlin, D.",Gitlin D.F.; Caplan J.P.; Rogers M.P.; Avni-Barron O.; Braun I.; Barsky A.J.,Psychosomatics,,SCOPUS,10.1176/appi.psy.48.2.162,,Foreign-Body Ingestion In Patients With Personality Disorders,[No Abstract Available],,False,,False,
