id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
204,2014,"Kim, A.","Kim, Andrew; Ahn, Kang-Min",Implant Dentistry,,PubMed,10.1097/id.0000000000000100,,Endoscopic Removal Of An Aspirated Healing Abutment And Screwdriver Under Conscious Sedation,"Purpose: Aspiration Of Foreign Bodies During Dental Treatment Is A Medical Emergency That Requires Prompt Removal. In This Study, Aspiration Of Screwdriver  And Healing Abutment Is Reported With Literature Review. Materials And Methods: A  26-Year-Old Male Patient Was Referred From A Local Dental Clinic With The  Suspicion Of Ingestion Of A Screwdriver And Healing Abutment During The  Second-Stage Surgery. The Patient Reported Symptoms Including Dyspnea, Cough, And  Foreign Body Sensation. On The Chest Radiograph, A Radiopaque Foreign Body  Resembling The Screwdriver And Healing Abutment Was Observed At The Right Mid  Lung. Results: Bronchoscopic Examination Using Flexible Cable Was Performed Under  Conscious Sedation, And Microforceps Were Used To Remove The Instruments.  Aspirated Screwdriver And Healing Abutment Were Removed Safely Under Intravenous  Sedation. The Patient Did Not Have Any Symptoms Associated With Lung Aspiration  After Removal Of The Foreign Body During Follow-Up Periods. Conclusion:  Bronchoscopic Removal Is The Most Recommended Procedure For Removal Of The  Aspirated Foreign Body. This Can Be Performed Under Conscious Sedation.  Precautions, Such As Tethering The Screwdriver, Are Recommended During Implant  Procedures.",,,
375,2021,"Yu, M.","Yu, Mh; Li, Kx; Zhou, Ss; Wang, Hy; Le, Mx; Li, C; Liu, Dl; Tan, Yy",International Journal Of General Medicine,,Web of Science,10.2147/ijgm.s338643,,Endoscopic Removal Of Sharp-Pointed Foreign Bodies With Both Sides Embedded Into The Duodenal Wall In Adults: A Retrospective Cohort Study,"Purpose: Sharp-Pointed Fbs With Both Sides Embedded In The Duodenal Wall Are Rare. Compared With Smooth Edged Fbs, Sharp Objects Are More Likely To Be Associated With Significant Adverse Events, When Penetrating The Wall Of The Digestive Tract. The Clinical Features Of Patients Who Experienced Sharp-Pointed Fbs Embedded In Both Sides Of The Duodenum Were Retrospectively Analyzed, As Were The Efficacy And Safety Of Endoscopic Removal Of These Fbs. Patients And Methods: This Retrospective Study Included 21 Adults With Both Sides Of Sharp-Pointed Fbs Embedded Into The Duodenal Wall Who Were Admitted To The Second Xiangya Hospital In China Between January 1, 1996, And May 31, 2021. Data Associated With The Endoscopic Removal Of These Fbs Were Collected From The Electronic Medical Record System (Emrs) Of The Hospital. Results: The Incidence Rate Of Duodenal Total Fbs And Fbs Embedded In Both Sides Was 8.87% And 1.03%, Respectively. The Success Rate Of Endoscopic Treatment Was 100.00% In 124 Patients Without Embedded Duodenal Fbs And 97.14% In 35 Patients With One Side Embedded Duodenal Fbs. Of The 21 Patients With Fbs Embedded In Both Sides Of The Duodenal Wall, Endoscopic Removal Was Successful In 85.71% Of Patients, Whereas 14.29% Required Surgery. Fbs Removed From These Patients Included Toothpicks In 12; Needles In 3; Jujube Pits In 2; And A Chopstick, Dentures, Fish Bones, And Chicken Bones In One Each. Most Of These 21 Fbs Were Located In The Bulb And Descending Duodenum, Followed By The Third Part Of Duodenum. Conclusion: Sharp-Edged Fbs With Both Sides Embedded In The Duodenal Wall Are Rare. Endoscopic Removal May Be Considered As A Feasible, Safe, And Effective Method Of Removing Sharp-Pointed Fbs With Both Sides Embedded In The Duodenal Wall. And If Endoscopic Removal Is Unsuccessful, Surgical Management Can Be A Secondary Option.",,,
108,2007,"Dahshan, A.","Dahshan, Ahmed H.; Kevin Donovan, Gerard",Journal Of Clinical Gastroenterology,,PubMed,10.1097/01.mcg.0000225622.09718.5f,,Bougienage Versus Endoscopy For Esophageal Coin Removal In Children,"Background: Foreign Body Ingestion Is A Common Pediatric Problem. Coins Are By Far The Most Common Ingested Foreign Bodies. When Ingested Coins Become Lodged In  The Esophagus, They May Cause Serious Complications If They Are Not Removed In A  Timely Manner. Endoscopic Removal Is The Preferred Treatment In Many Pediatric  Centers As Its Safety And Effectiveness Are Well Established. Objectives: We  Performed This Study To Evaluate Safety And Effectiveness Of An Alternative  Method Of Managing Esophageal Coins, Using Bougienage Technique. Methods:  Previously Healthy Children Presenting To The Local Emergency Room With  Uncomplicated, Witnessed Coin Ingestion Of Less Than 24 Hours Duration Were  Prospectively Recruited With An Intent-To-Treat Analysis. A Single Oral Passage  Of A Hurst Bougie Dilator Was Performed By A Gastroenterologist To Dislodge The  Esophageal Coin Into The Stomach. If Bougienage Was Successful (X-Ray Showing  Coin In The Stomach), Patients Were Discharged And Instructions Were Given For  Monitoring Stools Until Passage Of The Coin Through Anus Was Confirmed. If  Bougienage Was Unsuccessful, The Child Developed Symptoms At Any Time Or If A  Coin Remained Intragastric For 4 Weeks, Endoscopic Removal Was Planned. Children  Whose Parents Declined To Participate In The Bougienage Treatment Received The  Standard Endoscopic Removal And Their Hospital Records Were Used As Controls.  Results: A Total Of 10 Children Were Enrolled In This Study, With A Mean Age Of  3.2 Years (11 Mo To 10 Y), 6 Boys And 4 Girls. All Received Little Or No  Sedation. Nine Children (90%) Were Successfully Treated Using Bougienage, All Of  Whom Spontaneously Passed The Ingested Coins, With A Mean Duration Of 2.6 Days (1  To 7 D) Without Subsequent Intervention. A Single Case Failed Bougienage And  Underwent Endoscopic Removal. Three Children Declined Bougienage Treatment And  Underwent Endoscopic Removal. There Were No Reported Minor Or Major Adverse  Events With Any Of Our Cases. The Mean Health Care Cost For The Hospital Visit  For Bougienage Treatment Was $1210, Compared With $3100 For The Endoscopic  Removal (P<0.001). Furthermore, The Mean Time Spent In The Hospital From  Diagnosis To Discharge Was 2 Hours For Bougienage-Treated Patients Compared With  8 Hours For Endoscopic Treatment (P<0.001). Conclusions: Bougienage Of Impacted  Esophageal Coins Is An Effective, Safe, And More Economic Treatment Modality For  Selected Pediatric Patients With Uncomplicated Coin Ingestion. This Simple  Technique May Provide A Valuable Tool To Emergency Room Physicians Or Primary  Care Doctors Especially When Endoscopy Is Not Readily Available.",,,
388,2021,De L.,"De Luca, Luca; Maltoni, Stefania",Clinical Journal Of Gastroenterology,,PubMed,10.1007/s12328-020-01236-y,,"Is Naso-Pharyngeal Swab Always Safe For Sars-Cov-2 Testing? An Unusual, Accidental Foreign Body Swallowing","Long And Sharp Objects Can Be Foreign Body Intentionally Or Accidentally Ingested. Timing Of Endoscopy Relies On Foreign Body Shape And Size, Localization  In Gastrointestinal Tract, Patient'S Clinical Conditions, Occurrence Of Symptoms,  Or Onset Of Complications. We Present A Case Of A 47-Year-Old Male With No Known  Comorbidity, Who Accidentally Swallowed A Portion Of A Naso-Pharyngeal Swab  Half-Broken During The Second Diagnostic Test For Sars-Cov-2. The Intact Swab Had  A Total Length Of 15 Cm And Was Made Of Wood. The Patient Was Asymptomatic,  Laboratory Tests Were Normal, And Neck-Chest-Abdominal X-Ray And Ct Scan Were  Negative For Major Complications. Upper Gastrointestinal Endoscopy Was Promptly  Performed To Prevent The Long Sharp Swab From Crossing The Pylorus Leading To  Serious Complications And, Therefore, Risk Surgical Intervention. The Patient Was  Intubated And The Procedure Was Carried Out Under General Anesthesia. In The  Gastric Body, Broken Naso-Pharyngeal Swab Was Detected Among The Food Debris, And  Using A Latex Rubber Hood, The 7.5 Cm Foreign Body Was Removed With A Retrieval  Alligator-Tooth Forceps. Our Hospital Is Located In A High-Risk Area Of Covid-19  Outbreak Where Many Naso-Pharyngeal Swabs Are Performed, And To Our Knowledge,  This Is The First Report Of Swab Ingestion During Sars-Cov-2 Test.",,,
180,2012,"Huston, A.","A Chiao, M Huston",24C Throat Pain,"A Chiao, M Huston - An Introduction to Clinical Emergency ..., 2012 - books.google.com",Google Scholar,,"https://books.google.lk/books?hl=en&lr=&id=pyAlcOfBhjIC&oi=fnd&pg=PA321&dq=A+Chiao,+M+Huston+An+Introduction+to+Clinical+Emergency+2012+&ots=HD14eC6JOl&sig=62Vu0kHdIilmZEqrjgIxsyVQhHM&redir_esc=y#v=onepage&q=A%20Chiao%2C%20M%20Huston%20An%20Introduction%20to%20Clinical%20Emergency%202012&f=false",24C Throat Pain,"Throat Pain Is One Of The Most Common Complaints Seen By All Health Care Providers, With Pharyngitis Being The Most Common Cause Of Throat Pain. Viruses Are The Most Common Cause ...","Scope of the problem
Throat pain is one of the most common complaints seen by all health care providers, with pharyngitis being the most common cause of throat pain. Viruses are the most common cause of pharyngitis, accounting for approximately 40% of cases. Group A beta-hemolytic streptococcus (GABHS) accounts for up to 40% of pediatric pharyngitis, but less than 15% of adult cases.
Although most patients presenting with sore throat
have
mild, self-limiting illness, throat pain may be the sign of a life-threatening condition. Recognizing and treating both common and serious causes of sore throat is an essential skill for emergency providers.",,
419,2022,"Apikotoa, S.","Apikotoa, Sharie; Ballal, Helen; Wijesuriya, Ruwan",International Journal Of Surgery Case Reports,,PubMed,10.1016/j.ijscr.2022.106755,,Endoscopic Foreign Body Retrieval From The Caecum - A Case Report And Push For Intervention Guidelines,"Introduction And Importance: Endoscopic Foreign Body Retrieval In The Upper Gastrointestinal Tract Is Well Established, However Indications For Endoscopy For  Retained Foreign Bodies In The Lower Gastrointestinal Tract And Specifically The  Right Colon Is Still Being Navigated [3]. A Pubmed And Google Scholar Search  Discovered A Variety Of Case Reports Detailing Various Methods And Indications  For Endoscopic Retrieval Of Right Sided Colonic Foreign Bodies. This Case Report  Endeavors To Supplement The Literature So That Guidelines Can One Day Be  Established For Colonoscopic Retrieval Of Right-Sided Foreign Bodies. Case  Presentation: 36-Year-Old Male Prisoner Swallowed 6.5 Cm Nail Clippers With A  Long-Standing History Of Intentional Foreign Body Ingestion (Fbi) Including  Multiple Laparotomies For Foreign Body Retrievals. Computerized Tomography (Ct)  Was Used Initially To Confirm The Position Of The Nail Clippers. After Almost Two  Weeks Of Failure Of The Foreign Body (Fb) To Move Beyond The Caecum As  Demonstrated On Plain Abdominal X-Rays, The Patient Had A Colonoscopy With  Successful Retrieval Of The Fb. Clinical Discussion: This Case Report Hopes To  Encourage The Consideration Of Colonoscopy For Retrieval Of Right Sided Colonic  Foreign Bodies That Have Failed To Pass On Their Own And Where An Operation May  Come With Increased Risk (Multiple Laparotomies, Multiple Comorbidities, And  Higher Anaesthetic Risk For A General Anaesthetic). Colonoscopy/Endoscopy Still  Has Inherent Risk And This Patient Did Have An Episode Of Temporary Laryngospasm  That Required Intubation And Monitoring In The Intensive Care Unit Post  Operatively. Despite This The Patient Recovered And Was Discharged Day One Post  Procedure Without Further Complication. The Case Report Has Been Reported In Line  With The Scare 2020 Criteria (Agha Et Al., 2020 [2]). Conclusion: Indications For  Consideration Of Endoscopic Retrieval Of Foreign Bodies In The Right Colon Have  Not Been Entirely Detailed As Endoscopy Is For Upper Gastrointestinal Foreign  Bodies. This Case Report Documents The Indications For Endoscopy In The Clinical  Context Of A Recurrent Fbi And A History Of Multiple Laparotomies With Failure Of  The Fb To Move Beyond The Caecum.",,,
347,2020,"Hernandez, P.","Hernandez, Patricia V.; Snyder, Diana L.; Ghorab, Saba; Patel, Neej J.; Hinni, Michael L.; Horsley-Silva, Jennifer L.","Mayo Clinic Proceedings. Innovations, Quality & Outcomes",,PubMed,10.1016/j.mayocpiqo.2019.10.005,,Removal Of A Large Stone In The Upper Thoracic Esophagus,"Ingestion Of A Foreign Body Is A Common Occurrence. Flexible Endoscopy Is Most Commonly Used For Treatment, But Certain Large Foreign Bodies Are More Easily  Retrieved With Rigid Endoscopy. We Present A Technically Challenging Case Of  Intentional Ingestion Of A Large Stone That Required Retrieval From The Upper  Thoracic Esophagus Using Rigid Endoscopy. This Case Highlights The Importance Of  Alternative Methods To Manage Large Foreign Bodies And Of Collaboration Of  Medical Subspecialties.",,,
462,2023,"Huang, J.","Huang, James Guoxian; Tanpowpong, Pornthep",World Journal Of Gastroenterology,,PubMed,10.3748/wjg.v29.i18.2717,,Paediatric Gastrointestinal Endoscopy In The Asian-Pacific Region: Recent Advances In Diagnostic And Therapeutic Techniques,"There Has Been A Rapid Expansion In The Knowledge Of Paediatric Gastroenterology Over The Recent Decade, With A Fast-Growing Repertoire Of Diagnostic Techniques  And Management Strategies For A Wide Spectrum Of Childhood Gastrointestinal (Gi)  Diseases. Paediatric Gi Endoscopy Is A Core Competency Every Paediatric  Gastroenterologist Should Possess, And Represents One Of The Most Common  Procedures Performed In Children For Both Diagnostic And Therapeutic Purposes.  Yet There Remains A Dearth Of Literature On The Utility And Outcomes Of  Paediatric Gi Endoscopy In The Asia-Pacific Region. Data On The Diagnostic Value  Of Paediatric Gi Endoscopy Would Be An Important Aspect Of Discussion, With The  Emergence Of Inflammatory Bowel Disease (Ibd) And Eosinophilic Gi Disease As  Increasingly Common Endoscopic Diagnoses. Time-Based Trends In Paediatric Gi  Endoscopy Do Point Towards More Ibd And Gastroesophageal Reflux Disease-Related  Complications Being Diagnosed, With A Declining Incidence Of Gi Bleeding.  However, The Real-World Diagnostic Value Of Endoscopy In Asia Must Be  Contextualised To The Region-Specific Prevalence Of Paediatric Gi Diseases.  Helicobacter Pylori Infection, Particularly That Of Multidrug-Resistant Strains,  Remains A Highly Prevalent Problem In Specific Regions. Paediatric Functional Gi  Disorders Still Account For The Majority Of Childhood Gi Complaints In Most  Centres, Hence The Diagnostic Yield Of Endoscopy Should Be Critically Evaluated  In The Absence Of Alarm Symptoms. Gi Therapeutic Endoscopy Is Also Occasionally  Required For Children With Ingested Foreign Bodies, Intestinal Polyposis Or  Oesophageal Strictures Requiring Dilation. Endoscopic Haemostasis Is A  Potentially Life-Saving Skill In Cases Of Massive Gi Bleeding Typically From  Varices Or Peptic Ulcers. Advanced Endoscopic Techniques Such As Capsule  Endoscopy And Balloon-Assisted Enteroscopy Have Found Traction, Particularly In  East Asian Centres, As Invaluable Diagnostic And Therapeutic Tools In The  Management Of Ibd, Obscure Gi Bleeding And Intestinal Polyposis. State Of The Art  Endoscopic Diagnostics And Therapeutics, Including The Use Of Artificial  Intelligence-Aided Endoscopy Algorithms, Real-Time Confocal Laser Endomicroscopy  And Peroral Endoscopic Myotomy, Are Expected To Gain More Utility In Paediatrics.  As Paediatric Gastroenterology Matures As A Subspecialty In Asia, It Is Essential  Current Paediatric Endoscopists And Future Trainees Adhere To Minimum Practice  Standards, And Keep Abreast Of The Evolving Trends In The Diagnostic And  Therapeutic Value Of Endoscopy. This Review Discusses The Available Published  Literature On The Utility Of Paediatric Gi Endoscopy In Asia Pacific, With The  Relevant Clinical Outcomes.",,,
363,2021,"Stubington, T.","Stubington, Tj; Kamani, T",European Archives Of Oto-Rhino-Laryngology,,Web of Science,10.1007/s00405-020-06569-5,,Food Bolus And Oesophageal Foreign Body: A Summary Of The Evidence And Proposed Management Process,"Purpose Food Bolus And Oesophageal Foreign Bodies Are A Common Presentation That May Be Managed By Otolaryngologists, Gastroenterologists, Acute Medicine Physicians And Accident And Emergency. The Condition Is Highly Variable With Presentations Ranging From Well Patients Whose Obstruction Spontaneously Passes To Peri-Arrest With Severe Aspiration Or Impending Airway Compromise. Management Of This Condition Is Heterogeneous And Often Depends On The Specialty The Patient Is Originally Admitted Under. There Exist European And American Guidelines From The Perspective Of Gastroenterology, But There Are No Uk-Based Guidelines And Limited Consideration Of The Role Of The Otolaryngologists And Rigid Oesophagoscopy. Methods An Extensive Literature Search Was Carried Out To Generate Conclusions On Key Management Questions For Food Bolus And Oesophageal Foreign Bodies. This Was Then Summarised Into Both A Written Summary Of The Evidence And A Graphical Decision Tree. Results This Paper Is A Review Article And Presents Conclusions Regarding Management Options For Food Bolus And Oesophageal Foreign Bodies. Conclusion This Article Considers The Current Evidence Surrounding Investigation And Management Of Oesophageal Food Bolus And Foreign Body. It Draws Conclusions Regarding Presentation, Investigation And Subsequent Operative Treatment. As Part Of This Process, We Propose A Graphical Decision Tree To Assist In Management Decisions.",,,
382,2021,"Lone, S.","Lone, Sa; Hameed, A; Shiekh, Fa",Clinical Case Reports,,Web of Science,10.1002/ccr3.3846,,Foreign Body Esophagus In A Young Infant,"Unattended Children, Mostly From Low-Socioeconomic Contexts, Who Present With Sudden Onset Obstructive Respiratory And/Or Gastrointestinal Symptoms, Should Be At High Suspicion For Foreign Body Ingestion. Prompt Diagnosis Helps Avoid Mismanagement And Can Potentially Avoid Dire Outcomes.",,,
