id,id,Exclude_JGE,Reason ID_JGE,Exclude_MS,Reason ID_MS,Exclude_GC,Reason ID_GC,Exclude_FINAL
0,0,True,4.0,True,2.0,,,True
1,1,True,4.0,,,,,True
2,2,True,2.0,True,2.0,,,True
3,3,False,,,,,,False
4,4,False,,,,,,False
5,5,True,2.0,,,,,True
6,6,True,5.0,,,,,True
7,7,False,,,,,,False
8,8,True,4.0,,,,,True
9,9,True,2.0,True,3.0,,,True
10,10,True,1.0,,,,,True
11,11,True,5.0,True,2.0,,,True
12,12,True,1.0,,,,,True
13,13,True,5.0,,,,,True
14,14,True,5.0,,,,,True
15,15,False,,,,,,False
16,16,True,3.0,,,,,True
17,17,True,4.0,,,,,True
18,18,True,4.0,,,,,True
19,19,True,1.0,,,,,True
20,20,True,1.0,,,,,True
21,21,False,,,,,,False
22,22,False,,,,,,False
23,23,False,,,,,,False
24,24,False,,,,,,False
25,25,False,,,,,,False
26,26,False,,,,,,False
27,27,False,,,,,,False
28,28,True,7.0,,,,,True
29,29,True,3.0,,,,,True
30,30,True,2.0,True,2.0,,,True
31,31,True,1.0,,,,,True
32,32,False,,,,,,False
33,33,False,,True,3.0,False,,False
34,34,True,2.0,,,,,True
35,35,True,7.0,,,,,True
36,36,True,2.0,,,,,True
37,37,True,5.0,,,,,True
38,38,False,,,,,,False
39,39,False,,,,,,False
40,40,False,,,,,,False
41,41,False,,,,,,False
42,42,True,8.0,,,,,True
43,43,True,7.0,,,,,True
44,44,True,4.0,,,,,True
45,45,True,5.0,,,,,True
46,46,False,,,,,,False
47,47,True,2.0,,,,,True
48,48,True,2.0,,,,,True
49,49,True,2.0,,,,,True
50,50,False,,,,,,False
51,51,False,,,,,,False
52,52,False,,,,,,False
53,53,False,,,,,,False
54,54,False,,,,,,False
55,55,False,,True,3.0,False,,False
56,56,True,2.0,,,,,True
57,57,False,,,,,,False
58,58,False,,,,,,False
59,59,False,,,,,,False
60,60,False,,,,,,False
61,61,False,,,,,,False
62,62,True,2.0,,,,,True
63,63,True,2.0,True,2.0,,,True
64,64,False,,,,,,False
65,65,False,,,,,,False
66,66,False,,,,,,False
67,67,True,2.0,,,,,True
68,68,True,2.0,True,2.0,,,True
69,69,True,1.0,,,,,True
70,70,True,4.0,,,,,True
71,71,False,,,,,,False
72,72,False,,True,2.0,True,2.0,True
73,73,False,,True,3.0,False,,False
74,74,True,4.0,,,,,True
75,75,True,5.0,,,,,True
76,76,True,5.0,True,2.0,,,True
77,77,False,,True,3.0,False,,False
78,78,False,,,,,,False
79,79,True,2.0,True,2.0,,,True
80,80,False,,,,,,False
81,81,False,,,,,,False
82,82,False,,,,,,False
83,83,True,2.0,,,,,True
84,84,False,,False,,,,False
85,85,False,,,,,,False
86,86,True,5.0,,,,,True
87,87,False,,,,,,False
88,88,False,,,,,,False
89,89,False,,,,,,False
90,90,False,,,,,,False
91,91,True,7.0,,,,,True
92,92,False,,,,,,False
93,93,False,,False,,,,False
94,94,True,1.0,,,,,True
95,95,False,,,,,,False
96,96,False,,,,,,False
97,97,False,,,,,,False
98,98,False,,,,,,False
99,99,False,,,,,,False
100,100,False,,,,,,False
101,101,False,,False,,,,False
102,102,True,5.0,,,,,True
103,103,False,,,,,,False
104,104,True,4.0,True,4.0,,,True
105,105,True,5.0,,,,,True
106,106,True,2.0,,,,,True
107,107,True,5.0,,,,,True
108,108,False,,,,,,False
109,109,True,2.0,,,,,True
110,110,True,2.0,,,,,True
111,111,True,5.0,,,,,True
112,112,True,2.0,,,,,True
113,113,False,,,,,,False
114,114,False,,,,,,False
115,115,True,4.0,,,,,True
116,116,True,2.0,,,,,True
117,117,False,,,,,,False
118,118,True,2.0,,,,,True
119,119,False,,,,,,False
120,120,True,5.0,,,,,True
121,121,True,2.0,,,,,True
122,122,False,,,,,,False
123,123,False,,,,,,False
124,124,False,,,,,,False
125,125,True,2.0,,,,,True
126,126,True,2.0,,,,,True
127,127,True,4.0,,,,,True
128,128,True,2.0,,,,,True
129,129,True,1.0,,,,,True
130,130,False,,,,,,False
131,131,False,,,,,,False
132,132,True,7.0,,,,,True
133,133,False,,,,,,False
134,134,True,,,,,,True
135,135,True,2.0,,,,,True
136,136,True,2.0,,,,,True
137,137,True,2.0,True,2.0,,,True
138,138,False,,,,,,False
139,139,False,,,,,,False
140,140,True,4.0,True,2.0,,,True
141,141,False,,,,,,False
142,142,False,,,,,,False
143,143,True,2.0,,,,,True
144,144,False,,,,,,False
145,145,False,,,,,,False
146,146,False,,,,,,False
147,147,False,2.0,,,,,False
148,148,False,,,,,,False
149,149,False,,,,,,False
150,150,True,2.0,,,,,True
151,151,False,,,,,,False
152,152,False,,,,,,False
153,153,True,2.0,,,,,True
154,154,True,2.0,,,,,True
155,155,False,,False,,,,False
156,156,True,3.0,,,,,True
157,157,False,,,,,,False
158,158,True,5.0,,,,,True
159,159,True,2.0,,,,,True
160,160,False,,,,,,False
161,161,False,,,,,,False
162,162,False,,,,,,False
163,163,True,5.0,,,,,True
164,164,False,,,,,,False
165,165,True,4.0,,,,,True
166,166,False,,,,,,False
167,167,False,,,,,,False
168,168,False,,,,,,False
169,169,False,,,,,,False
170,170,True,2.0,,,,,True
171,171,False,,,,,,False
172,172,False,,,,,,False
173,173,True,1.0,True,2.0,,,True
174,174,True,2.0,,,,,True
175,175,False,,False,,,,False
176,176,False,,,,,,False
177,177,True,2.0,,,,,True
178,178,True,2.0,,,,,True
179,179,False,,,,,,False
180,180,True,5.0,,,,,True
181,181,False,,,,,,False
182,182,True,5.0,False,,False,,False
183,183,False,,,,,,False
184,184,False,,,,,,False
185,185,False,,,,,,False
186,186,True,2.0,,,,,True
187,187,False,,,,,,False
188,188,False,,,,,,False
189,189,False,,,,,,False
190,190,False,,,,,,False
191,191,True,4.0,,,,,True
192,192,False,,False,,,,False
193,193,True,2.0,,,,,True
194,194,False,,,,,,False
195,195,False,,False,,,,False
196,196,True,2.0,,,,,True
197,197,False,,,,,,False
198,198,True,2.0,,,,,True
199,199,False,,False,,,,False
200,200,False,,,,,,False
201,201,False,,,,,,False
202,202,False,,,,,,False
203,203,False,,,,,,False
204,204,False,,True,3.0,True,2.0,True
205,205,False,,,,,,False
206,206,True,5.0,,,,,True
207,207,True,7.0,,,,,True
208,208,True,5.0,True,2.0,,,True
209,209,True,2.0,,,,,True
210,210,False,,,,,,False
211,211,False,,,,,,False
212,212,False,,,,,,False
213,213,False,,,,,,False
214,214,False,,,,,,False
215,215,False,,,,,,False
216,216,False,,,,,,False
217,217,False,,,,,,False
218,218,True,5.0,,,,,True
219,219,False,,,,,,False
220,220,True,2.0,,,,,True
221,221,False,,,,,,False
222,222,False,,,,,,False
223,223,True,2.0,,,,,True
224,224,False,,,,,,False
225,225,False,,False,,,,False
226,226,False,,,,,,False
227,227,False,,,,,,False
228,228,False,,,,,,False
229,229,False,,,,,,False
230,230,True,4.0,,,,,True
231,231,False,,,,,,False
232,232,False,,,,,,False
233,233,False,,,,,,False
234,234,False,,,,,,False
235,235,True,7.0,,,,,True
236,236,False,,,,,,False
237,237,False,,,,,,False
238,238,False,,,,,,False
239,239,True,2.0,,,,,True
240,240,False,,,,,,False
241,241,True,5.0,,,,,True
242,242,False,,,,,,False
243,243,False,,,,,,False
244,244,False,,,,,,False
245,245,False,,,,,,False
246,246,False,,,,,,False
247,247,True,4.0,,,,,True
248,248,True,2.0,,,,,True
249,249,False,,,,,,False
250,250,False,,True,3.0,True,3.0,True
251,251,False,,,,,,False
252,252,False,,,,,,False
253,253,False,,,,,,False
254,254,False,,,,,,False
255,255,False,2.0,,,,,False
256,256,True,1.0,,,,,True
257,257,False,,,,,,False
258,258,False,,,,,,False
259,259,False,,,,,,False
260,260,False,,,,,,False
261,261,True,4.0,,,,,True
262,262,False,,,,,,False
263,263,False,,,,,,False
264,264,False,,,,,,False
265,265,False,,,,,,False
266,266,True,2.0,,,,,True
267,267,False,,,,,,False
268,268,False,,,,,,False
269,269,True,2.0,,,,,True
270,270,False,,,,,,False
271,271,False,,,,,,False
272,272,False,,,,,,False
273,273,True,7.0,,,,,True
274,274,True,5.0,,,,,True
275,275,False,,,,,,False
276,276,False,,,,,,False
277,277,False,,,,,,False
278,278,True,5.0,,,,,True
279,279,False,,,,,,False
280,280,True,2.0,,,,,True
281,281,False,,,,,,False
282,282,False,,,,,,False
283,283,False,,,,,,False
284,284,False,,,,,,False
285,285,False,,,,,,False
286,286,False,,,,,,False
287,287,False,,True,3.0,False,,False
288,288,False,,,,,,False
289,289,False,,False,,,,False
290,290,True,4.0,,,,,True
291,291,True,2.0,,,,,True
292,292,False,,,,,,False
293,293,False,,,,,,False
294,294,False,,,,,,False
295,295,False,,,,,,False
296,296,False,,,,,,False
297,297,False,,,,,,False
298,298,False,,,,,,False
299,299,False,,,,,,False
300,300,True,4.0,,,,,True
301,301,False,,,,,,False
302,302,False,,,,,,False
303,303,True,5.0,,,,,True
304,304,True,3.0,,,,,True
305,305,False,,,,,,False
306,306,True,7.0,,,,,True
307,307,True,2.0,,,,,True
308,308,False,,,,,,False
309,309,True,3.0,,,,,True
310,310,False,,False,,,,False
311,311,True,2.0,,,,,True
312,312,True,,True,7.0,,,True
313,313,False,,,,,,False
314,314,False,,False,,,,False
315,315,False,,,,,,False
316,316,False,,,,,,False
317,317,False,,,,,,False
318,318,False,,,,,,False
319,319,False,,,,,,False
320,320,False,,True,3.0,True,3.0,True
321,321,True,4.0,,,,,True
322,322,False,,,,,,False
323,323,False,,,,,,False
324,324,False,,,,,,False
325,325,True,3.0,,,,,True
326,326,False,,,,,,False
327,327,False,,,,,,False
328,328,True,2.0,,,,,True
329,329,False,,,,,,False
330,330,False,,,,,,False
331,331,False,,True,3.0,False,,False
332,332,False,,,,,,False
333,333,True,4.0,True,3.0,,,True
334,334,False,,,,,,False
335,335,False,,,,,,False
336,336,False,,,,,,False
337,337,False,,,,,,False
338,338,False,,,,,,False
339,339,True,3.0,,,,,True
340,340,False,,,,,,False
341,341,False,,,,,,False
342,342,False,,,,,,False
343,343,False,,,,,,False
344,344,False,,,,,,False
345,345,False,,,,,,False
346,346,False,,,,,,False
347,347,False,,,,,,False
348,348,True,2.0,,,,,True
349,349,False,,,,,,False
350,350,False,,,,,,False
351,351,True,4.0,,,,,True
352,352,False,,,,,,False
353,353,False,,,,,,False
354,354,True,5.0,,,,,True
355,355,False,,,,,,False
356,356,False,,,,,,False
357,357,False,,,,,,False
358,358,False,,,,,,False
359,359,True,3.0,,,,,True
360,360,False,,,,,,False
361,361,False,,,,,,False
362,362,False,,,,,,False
363,363,False,,,,,,False
364,364,False,,,,,,False
365,365,True,4.0,,,,,True
366,366,False,,,,,,False
367,367,False,,False,,,,False
368,368,False,,,,,,False
369,369,False,,,,,,False
370,370,False,,,,,,False
371,371,False,,,,,,False
372,372,False,,,,,,False
373,373,False,,,,,,False
374,374,False,,,,,,False
375,375,False,,,,,,False
376,376,False,,,,,,False
377,377,False,,,,,,False
378,378,False,,,,,,False
379,379,False,,,,,,False
380,380,False,,,,,,False
381,381,False,,,,,,False
382,382,False,,,,,,False
383,383,False,,,,,,False
384,384,False,,,,,,False
385,385,False,,,,,,False
386,386,True,2.0,,,,,True
387,387,False,,,,,,False
388,388,True,3.0,,,,,True
389,389,True,4.0,,,,,True
390,390,False,,,,,,False
391,391,False,,,,,,False
392,392,False,,,,,,False
393,393,False,,,,,,False
394,394,False,,,,,,False
395,395,True,7.0,,,,,True
396,396,False,,,,,,False
397,397,False,,,,,,False
398,398,False,,,,,,False
399,399,False,,,,,,False
400,400,True,2.0,,,,,True
401,401,False,,,,,,False
402,402,True,3.0,,,,,True
403,403,False,,,,,,False
404,404,False,,,,,,False
405,405,False,,,,,,False
406,406,False,,,,,,False
407,407,True,2.0,,,,,True
408,408,False,,,,,,False
409,409,True,2.0,,,,,True
410,410,False,,,,,,False
411,411,False,,,,,,False
412,412,False,,,,,,False
413,413,True,2.0,,,,,True
414,414,False,,,,,,False
415,415,True,7.0,,,,,True
416,416,False,,,,,,False
417,417,False,,,,,,False
418,418,False,,,,,,False
419,419,False,,,,,,False
420,420,True,1.0,,,,,True
421,421,False,,,,,,False
422,422,True,2.0,,,,,True
423,423,True,4.0,,,,,True
424,424,False,,,,,,False
425,425,True,2.0,,,,,True
426,426,False,,,,,,False
427,427,False,,,,,,False
428,428,False,,,,,,False
429,429,False,,,,,,False
430,430,True,5.0,,,,,True
431,431,True,2.0,True,2.0,,,True
432,432,True,4.0,,,,,True
433,433,False,,,,,,False
434,434,False,,,,,,False
435,435,True,2.0,,,,,True
436,436,False,,,,,,False
437,437,True,4.0,,,,,True
438,438,False,,True,3.0,False,,False
439,439,True,2.0,,,,,True
440,440,False,,,,,,False
441,441,False,,,,,,False
442,442,False,,,,,,False
443,443,False,,,,,,False
444,444,False,,,,,,False
445,445,False,,,,,,False
446,446,False,,,,,,False
447,447,False,,,,,,False
448,448,True,4.0,,,,,True
449,449,False,,,,,,False
450,450,False,,True,3.0,True,3.0,True
451,451,True,7.0,,,,,True
452,452,False,,,,,,False
453,453,False,,,,,,False
454,454,True,3.0,,,,,True
455,455,False,,,,,,False
456,456,True,2.0,True,2.0,,,True
457,457,False,,,,,,False
458,458,True,2.0,,,,,True
459,459,False,,,,,,False
460,460,True,7.0,,,,,True
461,461,True,2.0,,,,,True
462,462,False,,True,2.0,True,5.0,True
463,463,False,,,,,,False
464,464,False,,,,,,False
465,465,False,,,,,,False
466,466,True,3.0,,,,,True
467,467,True,7.0,,,,,True
468,468,False,,,,,,False
469,469,False,,,,,,False
470,470,False,,,,,,False
471,471,False,4.0,,,,,False
472,472,True,4.0,,,,,True
473,473,True,2.0,,,,,True
474,474,False,,,,,,False
475,475,True,3.0,,,,,True
476,476,True,3.0,,,,,True
477,477,False,,,,,,False
478,478,False,,False,,,,False
479,479,False,,,,,,False
480,480,False,,,,,,False
481,481,False,,,,,,False
482,482,True,2.0,True,2.0,,,True
483,483,False,,,,,,False
484,484,True,3.0,,,,,True
485,485,False,,False,,,,False
486,486,False,,,,,,False
487,487,False,,,,,,False
488,488,False,,,,,,False
489,489,False,,False,,,,False
490,490,False,,,,,,False
491,491,False,,,,,,False
492,492,False,,,,,,False
493,493,True,7.0,True,2.0,,,True
494,494,True,4.0,,,,,True
