Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
1975,"Davidoff, E.","Davidoff, Elliott; Towne, Jonathan B.",New York State Journal Of Medicine,Ingested foreign bodies,"Discusses 7 case histories of White male federal prisoners, ages 20-25, representing 18 instances of intentional ingestion of foreign bodies. 4 types of ingesters are indicated: psychotics, children, accidental swallowers, and manipulative swallowers. A high mortality rate has been reported among psychotic patients due to the number and bizarreness of the objects and the difficulty of making a firm diagnosis of such patients. The nonpsychotic patient who has swallowed a foreign body as a manipulative gesture is a type seen among prison populations. Diagnosis is facilitated by the intention of obtaining secondary gain. There is a marked tendency to repeat the action. Prison population manipulative swallowers are often uncooperative, demanding or refusing surgery at times. Their behavior makes patient management deviate from the ideal of expectant treatment. (18 ref) (PsycInfo Database Record (c) 2022 APA, all rights reserved)",,PsycINFO
1989,"Friedman, E.","Friedman, E. M.",Pediatric Clinics Of North America,Caustic ingestions and foreign bodies in the aerodigestive tract of children,"Caustic ingestions, both accidental and intentional, continue to cause significant morbidity and mortality. This article recommends the best methods of  managing caustic ingestion and the related problems of foreign bodies in the  digestive tracts of small children, and also stresses the need for prevention as  the best defense.",10.1016/s0031-3955(16)36796-7,PubMed
1991,"Brusis, T.","Brusis, T.; Luckhaupt, H.",Laryngo- Rhino- Otologie,History of esophagoscopy,"Since the middle of the 19th century very many experts have endeavoured to develop the oesophagoscopy following two different principles of oesophagus  examination. Some tried to transfer the technique of indirect laryngoscopy on the  oesophagus by using a larynx speculum. In order to achieve an insight into the  oesophagus they separated its closed upper end by means of special retracting  instruments. Various instruments were developed for this purpose (by Voltolini,  Semeleder, Stoerk, Bevan, Waldenburg, Mackenzie) which however not proved to be  effective. Mostly angled or jointed tubes came into use which were stretched  after insertion. More successful were those applying simple straight tubes.  Except for Stoerk it was Kussmaul who had a sword-swallower swallow a tube  instead of a sword. Today flexible fiberglass endoscopes are used as well as  rigid tubes.",10.1055/s-2007-997999,PubMed
1994,"Scharman, E.","Scharman, E. J.; Lembersky, R.; Krenzelok, E. P.",American Journal Of Emergency Medicine,Efficiency of whole bowel irrigation with and without metoclopramide pretreatment,"Whole bowel irrigation (WBI) with a polyethylene glycol electrolyte lavage solution (PEG-ELS) is a gastrointestinal (GI) decontamination procedure used  after selected ingestions of toxic substances. The purpose of this study was to  evaluate the ability of WBI, with and without metoclopramide pretreatment, to  clear the GI tract of foreign bodies using previously established WBI end points,  ie, the presence of a clear effluent or the administration of 2 L/h PEG-ELS for 5  hours. Eleven healthy, adult, male volunteers participated in this controlled,  two-phase, blinded, crossover study. Ten fluorescent coffee beans were ingested  after an overnight fast followed 1 hour later by 10 mg of metoclopramide syrup or  an equivalent volume of placebo; 30 minutes later, WBI with PEG-ELS was begun at  2 L/h. All volunteers received 10 L of PEG-ELS during a 5-hour period. No  statistically significant difference (P > .05) was found between the two  pretreatments. For the metoclopramide group, the mean number of beans passed was  equal to 3.8 (+/- 2.5 standard deviation [SD]; 1 to 8 R); the mean number at  clear effluent was equal to 2.3. For the placebo group, the mean number of beans  passed was equal to 3.5 (+/- 1.9 SD; 2 to 7 R), and the mean number at clear  effluent was equal to 2.3. In conclusion, the presence of a clear effluent or the  administration of 10 L of PEG-ELS are not valid markers for the termination of  WBI if complete elimination of a foreign body is required. Pretreatment with 10  mg of oral metoclopramide does not enhance the efficiency of WBI.",10.1016/0735-6757(94)90144-9,PubMed
1996,"Leder, S.","Leder, S. B.",Head & Neck,Gag reflex and dysphagia,"BACKGROUND: The gag reflex is a protective response that prevents foreign objects or noxious material from entering the pharynx, larynx, or trachea; it is not  elicited during a normal swallow. Although no data have been reported to support  a relationship between the gag reflex and dysphagia, the gag reflex is  nevertheless routinely assessed during the bedside dysphagia evaluation. The  purpose of the present study was to investigate whether absence of a gag reflex  is a predictor of dysphagia. METHOD: Fourteen consecutive adult subjects referred  for a bedside dysphagia evaluation because they were considered to be at  increased risk for aspiration, specifically due to absence of a gag reflex, were  investigated. In addition, the gag reflex was assessed in 69 normal adult  volunteers. RESULTS: Although all subjects were referred for bedside dysphagia  evaluations specifically because they had no gag reflex, 86% (12/14) were  nevertheless able to eat at least a puree diet. In addition, 86% (12/14) of  subjects with no gag reflex had normal velar movement, reinforcing the  physiologic differences between velar functioning during phonation and the gag  reflex. The gag reflex, traditionally considered part of the bedside dysphagia  evaluation, was absent in 13% (9/69) of nondysphagic subjects, raising further  doubts regarding its clinical relevancy. CONCLUSION: The absence of a gag reflex  does not appear to be a predictor of dysphagia.",10.1002/(sici)1097-0347(199603/04)18:2<138::aid-hed5>3.0.co;2-2,PubMed
1996,"Losanoff, J.","Losanoff, J. E.; Kjossev, K. T.","Archives Of Surgery (Chicago, Ill. : 1960)",Gastrointestinal 'crosses'. a new shade from an old palette,"BACKGROUND: We present our experience with an as yet undescribed type of intentionally ingested metallic foreign body that was specially designed to  arrest in its passage and cause perforation of the gastrointestinal tract. The  two halves of a standard paper clip are tied crosswise with a rubber band,  forming an elastic ""cross."" With its branches squeezed to lie parallel, the cross  is wrapped into a small strip of paper and ingested. After being released from  its wrapper, the branches of the cross spring back to their original position and  cause perforation of the bowel wall. DESIGN: Case series. SETTING: University  hospital, Bulgaria. PATIENTS: Five male prisoners from the same jail undergoing  laparotomy for foreign body removal during 1 week in January 1994. INTERVENTIONS:  Laparotomy, removal of the foreign bodies through incisions of the bowel wall,  immediate restoration of the gastrointestinal tract continuity, and peritoneal  lavage and drainage. OUTCOME MEASURES: Morbidity and mortality. RESULTS: Two of  the patients were initially observed but subsequently underwent surgery for  perforations of the gastrointestinal tract. Three of the patients underwent  immediate operative treatment. There were 20 total crosses ingested; all foreign  objects impacted and perforated the stomach (50%), first duodenal portion (25%),  and fourth duodenal portion (20%). There was no morbidity or mortality among the  five patients treated. CONCLUSIONS: Because ingested crosses that have been  released from their wrappers never move distally, the only definitive solution is  to operate early.",10.1001/archsurg.1996.01430140056015,PubMed
1996,"O'Sullivan, S.","O'Sullivan, S. T.; Reardon, C. M.; McGreal, G. T.; Hehir, D. J.; Kirwan, W. O.; Brady, M. P.",Irish Journal Of Medical Science,Deliberate ingestion of foreign bodies by institutionalised psychiatric hospital patients and prison inmates,"Deliberate and recurrent foreign body ingestion is a common problem among institutionalised patients. We review our experience with 36 cases of deliberate  foreign body ingestion by prisoners or psychiatric patients, thirty of whom were  institutionalised at the time of ingestion. Symptoms were frequently severe in  the prison inmate group but, in contrast, psychiatric patients presented with  few, if any, symptoms. A majority of objects pass spontaneously or remain in situ  without complication. Twenty-four patients were discharged following initial  evaluation and without specific treatment. Eight of these were reviewed  electively and discharged within one week. Twelve patients were admitted for  observation, seven of whom were discharged within 48 hrs. Upper gastrointestinal  endoscopy was performed in four patients and an intragastric foreign body  identified in two cases. Laparotomy was performed in two cases for unresolving  mechanical intestinal obstruction. Management should be conservative when  possible, with surgery indicated only for complications.",10.1007/bf02943095,PubMed
1996,"Rider, G.","Rider, G.; Wilson, C. L.",Risk Analysis : An Official Publication Of The Society For Risk Analysis,"Small parts aspiration, ingestion, and choking in small children: findings of the small parts research project","Obtaining information on current child injury trends and their associated issues is an important factor in developing products that meet or surpass acceptable toy  safety boundaries. Understanding these boundaries helps determine safe product  design characteristics that reduce the risk of product-related injury. Inchcape  Testing Services developed a Small Parts Aspiration, Ingestion, and Choking  Hazards Research Project, independent of an ongoing consumer Product Safety  Commission (CPSC) project. The project's purpose was to determine, independent of  CPSC, whether a more stringent small parts regulatory standard was necessary and,  if so, to ensure that the standard was determined objectively. This article  reports on the project's findings relating to critical characteristics (size,  shape, and consistency) relative to the victim's age, of objects responsible for  child choking injuries and fatalities.",10.1111/j.1539-6924.1996.tb01466.x,PubMed
1997,"Gilchrist, B.","Gilchrist, B. F.; Valerie, E. P.; Nguyen, M.; Coren, C.; Klotz, D.; Ramenofsky, M. L.",Journal Of Pediatric Surgery,"Pearls and perils in the management of prolonged, peculiar, penetrating esophageal foreign bodies in children","BACKGROUND/PURPOSE: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are  not identified for weeks to years and present significant problems for retrieval.  The purpose of this study was to describe the diagnostic and therapeutic  strategies needed to care for children who have chronic esophageal FBs. METHODS:  Five children were identified as having retained esophageal FBs 2 months to 2  years after ingestion. During the same 3-year period, 100 children who had acute  FBs were identified and had their foreign bodies removed endoscopically. The  average age of the children was 3 years (range, 2.4 to 3.5). RESULTS: The average  age of the five children identified in this study was 3 years. The items ingested  included coins, a heart pendant, a clothespin spring, and a toy soldier.  Complications from chronically retained foreign bodies were bronchoesophageal  fistula, mediastinitis, esophageal diverticulum, and lobar atelectasis. One  patient died from an aortoesophageal fistula. In all children, endoscopic removal  was attempted. Barium esophagram was then performed, and foreign bodies were  eventually removed via right thoracotomy. CONCLUSIONS: Long-retained esophageal  FBs are extremely morbid and life threatening. History most often identifies  excess salivation, new onset asthma, and/or recurrent upper respiratory  infections. Three diagnostic adjuncts are helpful in identifying the presence of  a long retained FB: (1) Chest x-ray (PA and lateral), (2) barium swallow, and (3)  esophagoscopy. Indications for thoracotomy for removal of foreign body include  (1) Poor endoscopic visualization of FB because of inflammatory tissue and (2)  Herald bleeding during endoscopy.",10.1016/s0022-3468(97)90554-6,PubMed
1997,"Losanoff, J.","Losanoff, J. E.; Kjossev, K. T.; Losanoff, H. E.",Journal Of Accident & Emergency Medicine,"Oesophageal ""cross""--a sinister foreign body","A young jail inmate purposely ingested a foreign body formed of sewing needles, specially designed to be arrested in the gut and cause perforation. Immediate  surgical removal of such ingested foreign objects is recommended because the  chances of distal passage are nil.",10.1136/emj.14.1.54,PubMed
