Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Study_ID,Title_clean,DOI_clean
SS3P9LNU,journalArticle,2010.0,"Huang, Brian L.; Rich, Harlan G.; Simundson, Susan E.; Dhingana, Mukesh K.; Harrington, Colin; Moss, Steven F.",Intentional Swallowing of Foreign Bodies Is a Recurrent and Costly Problem That Rarely Causes Endoscopy Complications,Clinical Gastroenterology and Hepatology,,"1542-3565, 1542-7714",10.1016/j.cgh.2010.07.013,https://www.cghjournal.org/article/S1542-3565(10)00736-6/fulltext,,2010-11-01,2025-04-14 13:02:24,2025-04-14 13:02:24,2025-04-14 13:02:24,941-946,,11,8.0,,Clinical Gastroenterology and Hepatology,,,,,,,,English,,,,,www.cghjournal.org,,Publisher: Elsevier,,/Users/jackgedge/Zotero/storage/WL6JR6YQ/Huang et al. - 2010 - Intentional Swallowing of Foreign Bodies Is a Recu.pdf,,,Foreign Bodies; foreign body; foreign body ingestion; borderline personality disorder; antisocial personality disorder; ASPD; BLPD; Deliberate Ingestion; FB; FBI; self-injurious behavior; SIB; Therapeutic Upper Gastrointestinal Endoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,intentional swallowing of foreign bodies is a recurrent and costly problem that rarely causes endoscopy complications,10.1016/j.cgh.2010.07.013
JAJE26RW,journalArticle,2011.0,"Gayer, Gabriela; Petrovitch, Ivan; Jeffrey, R. Brooke",Foreign objects encountered in the abdominal cavity at CT,"Radiographics: A Review Publication of the Radiological Society of North America, Inc",,1527-1323,10.1148/rg.312105123,,"Foreign objects are not infrequently seen at computed tomography (CT) of the abdomen and pelvis and may pose a diagnostic challenge to the radiologist, who must recognize the object, characterize its nature and location, and determine its clinical significance. Most foreign objects are incidentally detected at CT, but they may mimic a wide range of pathologic conditions. Some foreign objects (eg, an object that has been swallowed either intentionally or unintentionally) are the cause of the patient's signs and symptoms and require prompt medical attention. Other objects, such as a sponge or surgical instrument that has been retained postoperatively, may have medicolegal consequences. Furthermore, certain objects, such as intentionally concealed drug packets, may go undetected unless a high degree of suspicion exists and appropriate window settings are used to review the study. The radiologist should be familiar with the wide range of foreign objects that may be encountered at abdominopelvic CT, be able to recognize them promptly, and understand their implications for patient treatment.",2011,2025-04-14 16:44:53,2025-04-14 16:45:03,,409-428,,2,31.0,,Radiographics,,,,,,,,eng,,,,,PubMed,,PMID: 21415187,,,http://www.ncbi.nlm.nih.gov/pubmed/21415187,,"Humans; Foreign Bodies; Radiography, Abdominal; Tomography, X-Ray Computed; Abdominal Injuries; Radiographic Image Enhancement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,foreign objects encountered in the abdominal cavity at ct,10.1148/rg.312105123
IXFSLK4G,journalArticle,2014.0,"Sahn, Benjamin; Mamula, Petar; Ford, Carol A.",Review of foreign body ingestion and esophageal food impaction management in adolescents,The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine,,1879-1972,10.1016/j.jadohealth.2014.01.022,,"Foreign body ingestion is a common clinical scenario among patients of all ages. The immediate risk to the patient ranges from negligible to life threatening. Initial and follow-up management strategies depend on multiple patient and ingested object-related factors. Available literature on this topic tends to focus on the small child or adult, leaving the clinician caring for adolescents to extrapolate this information to guide decision making for individual patients. This article reviews foreign body ingestion literature with important implications to the adolescent patient and raises awareness of some highly dangerous objects such as large button batteries, high-powered magnets, long sharps, narcotic packages, and super absorbent objects. An additional focus includes the management of esophageal food impaction. We highlight the unique aspects to the care of the adolescent with intentional ingestion and co-morbid psychiatric illness. The article concludes by discussing the challenges to prevention of ingestion in the at-risk patient.",2014-08,2025-04-14 11:03:20,2025-04-14 11:03:20,,260-266,,2,55.0,,J Adolesc Health,,,,,,,,eng,,,,,PubMed,,PMID: 24686070,,,http://www.ncbi.nlm.nih.gov/pubmed/24686070,,Humans; Adult; United States; Female; Male; Adolescent; Risk Factors; Young Adult; Esophagus; Comorbidity; Incidence; Foreign Bodies; Mental Disorders; Foreign body ingestion; Adolescent Behavior; Button batteries; High-powered magnets; Intentional ingestion; Narcotic packets; Super absorbent objects; Eating; Food; Esophagoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,review of foreign body ingestion and esophageal food impaction management in adolescents,10.1016/j.jadohealth.2014.01.022
HNLYABDK,journalArticle,2015.0,"Brunner, John; Russel, Marie; Herr, Keith; Benjamin, Elizabeth; Myers, Lee; Boyko, Orest; Jaffray, Paul; Reddy, Sravanthi",Nonsuicidal self-injury-related foreign bodies in the emergency department,"Seminars in ultrasound, CT, and MR",,1558-5034,10.1053/j.sult.2014.10.007,,"Nonsuicidal self-injury is a common cause of foreign bodies encountered in emergency departments, resulting in significant morbidity, mortality, and economic costs. We review the role of imaging and frequent imaging findings in nonsuicidal self-injury, illustrated by case examples from a level 1 trauma center with dedicated jail and psychiatric wards in a major US metropolitan teaching hospital.",2015-02,2025-04-14 15:45:56,2025-04-14 15:45:58,,80-87,,1,36.0,,Semin Ultrasound CT MR,,,,,,,,eng,,,,,PubMed,,PMID: 25639181,,,http://www.ncbi.nlm.nih.gov/pubmed/25639181,,"Humans; Adult; Emergency Medical Services; Female; Male; Middle Aged; Emergency Service, Hospital; Foreign Bodies; Self-Injurious Behavior; Eating; Tomography, X-Ray Computed; Suicide, Attempted; Wounds, Penetrating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,nonsuicidal self-injury-related foreign bodies in the emergency department,10.1053/j.sult.2014.10.007
S856DXTD,journalArticle,2017.0,"Chahine, Elias; Khoury, Lionel El; Baghdady, Ramez; Chouillard, Elie",Recurrent gastric metal bezoar: a rare cause of gastric outlet obstruction,Case Reports,,1757-790X,10.1136/bcr-2017-221928,https://casereports.bmj.com/content/2017/bcr-2017-221928,"A 52-year-old male patient with psychiatric medical history who presented to the emergency department five times during a period of 5 years due to gastric outlet obstruction manifested mainly by abdominal pain, vomiting and haematemesis after intentionally ingesting metals and which necessitate several surgical interventions. Lately, he presented with generalised peritonitis due to gastric perforation from metal bezoars. Chronic abdominal symptoms in patient having a psychiatric disorder can be due to foreign body ingestion. Treatment is often surgical and the whole digestive tract should be explored to avoid retained bezoars.",2017-09-27,2025-04-14 13:26:46,2025-04-14 13:26:46,2025-04-14 13:26:46,bcr,,,2017.0,,,Recurrent gastric metal bezoar,,,,,,,en,"© BMJ Publishing Group Ltd (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.. This is an Open Access article distributed in accordance with the Creative Commons Attribution Non Commercial (CC BY-NC 4.0) license, which permits others to distribute, remix, adapt, build upon this work non-commercially, and license their derivative works on different terms, provided the original work is properly cited and the use is non-commercial. See: http://creativecommons.org/licenses/by-nc/4.0/",,,,casereports.bmj.com,,Publisher: BMJ Publishing Group Section: Rare disease PMID: 28954757,,/Users/jackgedge/Zotero/storage/QHWMDMRS/Chahine et al. - 2017 - Recurrent gastric metal bezoar a rare cause of ga.pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/28954757,,emergency medicine; gastrointestinal surgery; eating disorders; stomach and duodenum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,recurrent gastric metal bezoar: a rare cause of gastric outlet obstruction,10.1136/bcr-2017-221928
IXCRTFX3,journalArticle,2018.0,"Cui, Jason; Cross, Trent; Lockwood, David",Ingested razor blades within the appendix: A rare case report,International Journal of Surgery Case Reports,,2210-2612,10.1016/j.ijscr.2018.03.018,https://www.sciencedirect.com/science/article/pii/S2210261218300981,"Introduction Foreign body ingestion is a common clinical presentation with less than 1% of the cases requiring surgical intervention. In this report, we present a rare case of razor blades lodged in the appendix as a result of intentional ingestion. Presentation of case A 25 year old male prisoner presented to our hospital with persistent right iliac fossa pain after razor blade ingestion. After 5 days of conservative management, there was no sign of transition on serial X-Rays. Laparoscopy with intraoperative image intensification confirmed the presence of the razor blades in the appendix and appendicectomy was subsequently performed without complications. Discussion Most ingested objected with diameter less than 2.5 cm and length less than 6 cm can pass through the gastrointestinal tract spontaneously in less than one week. The entry of foreign objects into the appendix is thought to be due to relative low motility of the caecum, the dependent position of the appendix and the size of the appendiceal orifice. Radiographic localisation to the appendiceal lumen was complicated by metallic artefact, but was consistent with failure to transit. Appendicectomy was felt to be the safest mode of retrieval. Conclusion Ingested foreign body lodged in the appendix is a rare event. Once the exact location is confirmed, a simple laparoscopic appendicectomy can be performed to facilitate the removal.",2018-01-01,2025-04-14 14:34:52,2025-04-14 14:34:52,2025-04-14 14:34:52,29-32,,,45.0,,International Journal of Surgery Case Reports,Ingested razor blades within the appendix,,,,,,,,,,,,ScienceDirect,,,,/Users/jackgedge/Zotero/storage/47T66669/Cui et al. - 2018 - Ingested razor blades within the appendix A rare .pdf; /Users/jackgedge/Zotero/storage/6KCXN4ID/S2210261218300981.html,,,Laparoscopy; Case report; Foreign body ingestion; Appendicectomy; Appendicitis; Razor blades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,ingested razor blades within the appendix: a rare case report,10.1016/j.ijscr.2018.03.018
BNTT8P7Q,journalArticle,2019.0,"Gollol-Raju, Narasimha Swamy; Jampala, Nannaya; Khalid, Hamza; Mudireddy, Prashant",Nonsurgical Management of an Embedded Metal Clip in Sigmoid Colon Causing Perforation and Abscess,ACG Case Reports Journal,,2326-3253,10.14309/crj.0000000000000032,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6658041/,Intentional ingestion of foreign objects is common in incarcerated individuals. Ingested foreign objects can lead to serious complications. Surgical treatment is considered mandatory once complications such as bowel perforation and abscess develop. We report an incarcerated individual with sigmoid perforation and pelvic abscess related to an ingested foreign object that was managed nonsurgically.,2019-04-11,2025-04-14 14:21:58,2025-04-14 14:22:00,2025-04-14 14:21:58,e00032,,4,6.0,,ACG Case Rep J,,,,,,,,,,,,,PubMed Central,,PMID: 31616726 PMCID: PMC6658041,,/Users/jackgedge/Zotero/storage/GBIR45B2/Gollol-Raju et al. - 2019 - Nonsurgical Management of an Embedded Metal Clip i.pdf; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6658041/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,nonsurgical management of an embedded metal clip in sigmoid colon causing perforation and abscess,10.14309/crj.0000000000000032
GE7YU7QC,journalArticle,2020.0,"Delgado Salazar, Jhony Alejandro; Naveda Pacheco, Natalia Carolina; Palacios Jaramillo, Paola Alexandra; Garzón Yépez, Santiago Danilo; Medina Loza, Victor Rafael; Romero Alvarado, Carlos Alberto; Aguilar Ayala, Bernabé Esteban; Molina, Gabriel Alejandro","Ingestion of razor blades, a rare event: a case report in a psychiatric patient",Journal of Surgical Case Reports,,2042-8812,10.1093/jscr/rjaa094,https://academic.oup.com/jscr/article/doi/10.1093/jscr/rjaa094/5839908,"Abstract             Foreign body ingestion is a common condition in clinical practice, thankfully most of the cases do not require any surgery as most foreign bodies can pass through the bowel without injuring it. Treatment depends on the size and kind of foreign bodies. When complications arise, patients may require urgent medical attention. Self-harm by sharp foreign body ingestion is a rare event that must always be promptly treated and should always be prevented. Psychiatric patients and inmates are the most affected population. A high index of suspicion is required to treat this rare condition, which may be preventable if there is adequate mental and medical therapy along with close monitoring and family support. We present the case of a 31-year-old psychiatric patient. After prompt treatment, two razor blades were surgically removed from her intestines. She fully recovered and is doing well on follow-up controls.",2020-05-01,2025-04-14 13:53:52,2025-04-14 13:53:52,2025-04-14 13:53:52,rjaa094,,5,2020.0,,,"Ingestion of razor blades, a rare event",,,,,,,en,http://creativecommons.org/licenses/by-nc/4.0/,,,,Semantic Scholar,,,,"/Users/jackgedge/Zotero/storage/CY2PZFA9/Delgado Salazar et al. - 2020 - Ingestion of razor blades, a rare event a case re.pdf; ",https://www.semanticscholar.org/paper/Ingestion-of-razor-blades%2C-a-rare-event%3A-a-case-in-Salazar-Pacheco/361c8857fc3afd4dbe30fb7642e3f7ba3d0ebaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,"ingestion of razor blades, a rare event: a case report in a psychiatric patient",10.1093/jscr/rjaa094
Q37TSEHW,journalArticle,2020.0,"Mohammed, Ayad Ahmad",Ingestion of huge number of metallic nails impacted in the stomach and cecum in a mentally abnormal woman: Case report,International Journal of Surgery Case Reports,,2210-2612,10.1016/j.ijscr.2020.04.019,,"BACKGROUND: Foreign bodies may be ingested unconsciously, intentionally or in patients who have psychological abnormalities. The majority of foreign bodies are passed smoothly with no problems if they passed the esophagus, however some may be lodged in areas of anatomical narrowing which may require endoscopic or surgical intervention. CASE PRESENTATION: A 37-year -old mentally abnormal woman presented to the emergency department complaining from abdominal pain for 2 days. The family reported a history of ingestion of multiple metallic nails one week before presentation. Abdominal examination showed generalized tenderness and guarding. Plain abdominal X-ray showed multiple metallic nails in the upper abdomen and the right lower abdomen. Laparotomy was performed, one of the nails was causing perforation of the gastric wall, huge number of metallic nails were extracted from the stomach and cecum, appendectomy was performed. CONCLUSION: Ingestion of sharp and long foreign bodies usually requires surgical intervention, after surgery close observation and psychological consultation is required to prevent repeated ingestions.",2020,2025-03-30 10:17:58,2025-03-30 10:17:58,,60-63,,,70.0,,Int J Surg Case Rep,Ingestion of huge number of metallic nails impacted in the stomach and cecum in a mentally abnormal woman,,,,,,,eng,,,,,PubMed,,PMID: 32413769 PMCID: PMC7226636,,/Users/jackgedge/Zotero/storage/I8B2J6Y2/Mohammed - 2020 - Ingestion of huge number of metallic nails impacte.pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/32413769,,Endoscopy; Foreign bodies; Laparotomy; Acute abdomen; Metallic nails; Plain abdominal X-ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,ingestion of huge number of metallic nails impacted in the stomach and cecum in a mentally abnormal woman: case report,10.1016/j.ijscr.2020.04.019
GQQZPFW3,journalArticle,2021.0,"Masood, Muaaz","Intentional Foreign Body Ingestions: A Complex, Recurrent and Costly Issue",American Journal of Case Reports,,1941-5923,10.12659/AJCR.934164,https://amjcaserep.com/abstract/full/idArt/934164,Recurrent intentional foreign body (RIFB) ingestion is a complex and costly issue among patients in prison and those with psychiatric disorders. Risk ...,2021-11-15,2025-04-14 12:54:17,2025-04-14 12:54:19,2025-04-14 12:54:17,0-0,,,22.0,,Am J Case Rep,Intentional Foreign Body Ingestions,,,,,,,en,,,,,amjcaserep.com,,"Publisher: International Scientific Information, Inc. PMID: 34780394",,"/Users/jackgedge/Zotero/storage/72BVWRVG/Masood - 2021 - Intentional Foreign Body Ingestions A Complex, Re.pdf; ",http://www.ncbi.nlm.nih.gov/pubmed/34780394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,"intentional foreign body ingestions: a complex, recurrent and costly issue",10.12659/ajcr.934164
