id,Publication Year,Authors,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments
51,1996,"Losanoff, J. E.; Kjossev, K. T.",Gastrointestinal 'Crosses'. A New Shade From An Old Palette,"Archives Of Surgery (Chicago, Ill. : 1960)",PubMed,False,,,True,True,,29/01/2025,Case series. Gastrointestinal crosses causing multiple perforation in a prison in one week
54,1997,"Losanoff, J. E.; Kjossev, K. T.; Losanoff, H. E.","Oesophageal ""Cross""--A Sinister Foreign Body",Journal Of Accident & Emergency Medicine,PubMed,False,,,True,True,,29/01/2025,Single case of gastrointestinal cross.
60,1998,"Goldman, R. D.; Schachter, P.; Katz, M.; Bilik, R.; Avigad, I.",A Bizarre Bezoar: Case Report And Review Of The Literature,Pediatric Surgery International,PubMed,False,,True,True,True,,29/01/2025,16 year old female. Toilet paper ingestion as part of diet. Study reports as bezoar.
61,1998,"Csaky, G; Szederkenyi, I; Botos, A; Kiss, I",Laparoscopic Removal Of A Foreign Body From The Jejunum,Surgical Laparoscopy & Endoscopy,Web of Science,False,,,True,True,,29/01/2025,"22 year old swallowed blade, suicidal intention."
85,2004,"Tupesis, J. P.; Kaminski, A.; Patel, H.; Howes, D.",A Penny For Your Thoughts: Small Bowel Obstruction Secondary To Coin Ingestion,Journal Of Emergency Medicine,PubMed,False,,,True,True,,29/01/2025,"""the patient admit to deliberate ingestion of a single United States penny coin."""
92,2006,"Alao, A. O.; Abraham, B.",Foreign Body Ingestions In A Schizophrenic Patient,West African Journal Of Medicine,PubMed,False,,,True,True,,29/01/2025,"""we report a case of ingestion of a rolled, metal tuna can lid in a male prison inmate previously diagnosed with depression and paranoid. schizophrenia"". Command hallucinations. ""Intention to kill kimself."
113,2008,"Sakellaridis, Timothy; Potaris, Konstantinos; Mallios, Dimitrios; Sepsas, Evangellos",An Unusual Case Of A Swallowed Thermometer Perforated In The Mediastinum,Annals Of Thoracic Surgery,PubMed,False,,,True,True,,29/01/2025,"39F ""deliberate ingestion of a thermometer in a suicide attempt"""
148,2011,"Sobnach, Sanju; Castillo, Franco; Blanco Vinent, René; Kahn, Delawir; Bhyat, Ahmed",Penetrating Cardiac Injury Following Sewing Needle Ingestion,"Heart, Lung & Circulation",PubMed,False,,,True,True,,29/01/2025,"""19 year-old asymptomatic man presented to our emergency room after intentionally ingesting eight sewing needles; he had done so in an attempt to impress his friends."""
168,2012,"Trgo, Gorana; Tonkic, Ante; Simunic, Miroslav; Puljiz, Zeljko",Successful Endoscopic Removal Of A Lighter Swallowed 17 Months Before,Case Reports In Gastroenterology,PubMed,False,,,True,True,,30/01/2025,"""This case report describes the case of a 36-year-old man addicted to heroin who purposefully swallowed a lighter (double wrapped in cellophane) and presented with hematemesis and melena 17 months after the ingestion of the foreign body."""
171,2012,"Tammana, V. S.; Valluru, N.; Sanderson, A.",All The Wrong Places: An Unusual Case Of Foreign Body Ingestion And Inhalation,Case Reports In Gastroenterology,PubMed,False,,,True,True,,30/01/2025,"""case of a 26-year-old man who was brought from a correctional facility after confessing to have swallowed a few shower curtain hooks"""
