Study_ID,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Exclude_FINAL
0,True,4.0,True,2.0,,,True
1,True,4.0,,,,,True
2,True,2.0,True,2.0,,,True
3,False,,,,,,False
4,False,,,,,,False
5,True,2.0,,,,,True
6,True,5.0,,,,,True
7,False,,,,,,False
8,True,4.0,,,,,True
9,True,2.0,True,3.0,,,True
10,True,1.0,,,,,True
11,True,5.0,True,2.0,,,True
12,True,1.0,,,,,True
13,True,5.0,,,,,True
14,True,5.0,,,,,True
15,False,,,,,,False
16,True,3.0,,,,,True
17,True,4.0,,,,,True
18,True,4.0,,,,,True
19,True,1.0,,,,,True
20,True,1.0,,,,,True
21,False,,,,,,False
22,False,,,,,,False
23,False,,,,,,False
24,False,,,,,,False
25,False,,,,,,False
26,False,,,,,,False
27,False,,,,,,False
28,True,7.0,,,,,True
29,True,3.0,,,,,True
30,True,2.0,True,2.0,,,True
31,True,1.0,,,,,True
32,False,,,,,,False
33,False,,True,3.0,False,,False
34,True,2.0,,,,,True
35,True,7.0,,,,,True
36,True,2.0,,,,,True
37,True,5.0,,,,,True
38,False,,,,,,False
39,False,,,,,,False
40,False,,,,,,False
41,False,,,,,,False
42,True,8.0,,,,,True
43,True,7.0,,,,,True
44,True,4.0,,,,,True
45,True,5.0,,,,,True
46,False,,,,,,False
47,True,2.0,,,,,True
48,True,2.0,,,,,True
49,True,2.0,,,,,True
50,False,,,,,,False
51,False,,,,,,False
52,False,,,,,,False
53,False,,,,,,False
54,False,,,,,,False
55,False,,True,3.0,False,,False
56,True,2.0,,,,,True
57,False,,,,,,False
58,False,,,,,,False
59,False,,,,,,False
60,False,,,,,,False
61,False,,,,,,False
62,True,2.0,,,,,True
63,True,2.0,True,2.0,,,True
64,False,,,,,,False
65,False,,,,,,False
66,False,,,,,,False
67,True,2.0,,,,,True
68,True,2.0,True,2.0,,,True
69,True,1.0,,,,,True
70,True,4.0,,,,,True
71,False,,,,,,False
72,False,,True,2.0,True,2.0,True
73,False,,True,3.0,False,,False
74,True,4.0,,,,,True
75,True,5.0,,,,,True
76,True,5.0,True,2.0,,,True
77,False,,True,3.0,False,,False
78,False,,,,,,False
79,True,2.0,True,2.0,,,True
80,False,,,,,,False
81,False,,,,,,False
82,False,,,,,,False
83,True,2.0,,,,,True
84,False,,False,,,,False
85,False,,,,,,False
86,True,5.0,,,,,True
87,False,,,,,,False
88,False,,,,,,False
89,False,,,,,,False
90,False,,,,,,False
91,True,7.0,,,,,True
92,False,,,,,,False
93,False,,False,,,,False
94,True,1.0,,,,,True
95,False,,,,,,False
96,False,,,,,,False
97,False,,,,,,False
98,False,,,,,,False
99,False,,,,,,False
100,False,,,,,,False
101,False,,False,,,,False
102,True,5.0,,,,,True
103,False,,,,,,False
104,True,4.0,True,4.0,,,True
105,True,5.0,,,,,True
106,True,2.0,,,,,True
107,True,5.0,,,,,True
108,False,,,,,,False
109,True,2.0,,,,,True
110,True,2.0,,,,,True
111,True,5.0,,,,,True
112,True,5.0,,,,,True
113,False,,,,,,False
114,False,,,,,,False
115,True,4.0,,,,,True
116,True,2.0,,,,,True
117,False,,,,,,False
118,True,2.0,,,,,True
119,False,,,,,,False
120,True,2.0,,,,,True
121,True,2.0,,,,,True
122,False,,,,,,False
123,False,,,,,,False
124,False,,,,,,False
125,True,2.0,,,,,True
126,True,2.0,,,,,True
127,True,4.0,,,,,True
128,True,2.0,,,,,True
129,True,1.0,,,,,True
130,False,,,,,,False
131,False,,,,,,False
132,True,7.0,,,,,True
133,False,,,,,,False
134,True,2.0,,,,,True
135,True,2.0,,,,,True
136,True,2.0,,,,,True
137,True,2.0,True,2.0,,,True
138,False,,,,,,False
139,False,,,,,,False
140,True,4.0,True,2.0,,,True
141,False,,,,,,False
142,False,,,,,,False
143,True,2.0,,,,,True
144,False,,,,,,False
145,False,,,,,,False
146,False,,,,,,False
147,False,2.0,,,,,False
148,False,,,,,,False
149,False,,,,,,False
150,True,2.0,,,,,True
151,False,,,,,,False
152,False,,,,,,False
153,True,2.0,,,,,True
154,True,2.0,,,,,True
